timeframe,param_id,exit_model,friction_case,entry_mode,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-06,134,1716.6883449031786,0.3358208955223881,-0.6652899463635168,-89.14885281271125,,,0.3402360941493159,1.0216333856504558,-1.5182287097413683
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-07,111,1354.7177166724678,0.3153153153153153,-0.6196707329284985,-68.78345135506333,,,0.365267713097233,1.1309323178480888,-1.4258695063124531
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-08,118,1450.7545582047687,0.2796610169491525,-0.7027075682247704,-82.91949305052292,,,0.3156756943355102,1.1591025928568546,-1.425527983703519
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-09,117,1501.6427525622255,0.36752136752136755,-0.5626978972062893,-65.83565397313585,,,0.41919380743297047,1.1050357247622837,-1.5317863532150549
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-10,130,1574.5492227979273,0.4230769230769231,-0.2956808792984439,-38.43851430879771,,,0.6260019768648795,1.1697964576655642,-1.3703642597387165
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-11,104,1280.4269662921347,0.4423076923076923,-0.2123806275358637,-22.087585263729824,,,0.7121994387243109,1.1882296846451135,-1.3232094958173284
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-12,190,2268.355464759959,0.3684210526315789,-0.5455400945056093,-103.65261795606577,,,0.428922430814831,1.1121564678275566,-1.5125297558666226
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2026-01,186,2258.2770083102496,0.3655913978494624,-0.5670464880440468,-105.4706467761927,,,0.4099173622495269,1.0774724478588462,-1.5147353663609682
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2026-02,149,1996.383645395491,0.3221476510067114,-0.521300841466411,-77.67382537849524,,,0.41929033582004704,1.1683938325907228,-1.3243240528995044
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2026-03,200,2394.264254011608,0.33,-0.5863189265393735,-117.26378530787468,,,0.3901515780442932,1.1366622510189412,-1.4349514468292897
