timeframe,param_id,exit_model,friction_case,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
15m,range3_ret3_vz2_cl0.7_cs0.3_body0.65,model_a,base,3.0,3.0,2.0,0.7,0.3,0.65,True,1.0,1.5,1630,-0.5556894555795245,-905.773812594625,-905.1381784933884,0.4121879079457141,1587,-0.5439926571588432,-863.316346911084,-867.2815187464363,0.41506656653084284,0.011696798420681387,-43
15m,range3_ret3_vz2_cl0.7_cs0.3_body0.65,model_a,stress,3.0,3.0,2.0,0.7,0.3,0.65,True,1.0,1.5,1632,-1.136290339994933,-1854.4258348717306,-1852.2953147079843,0.171717238986035,1588,-1.1052430128551036,-1755.1259044139044,-1754.2051365046848,0.17321252420380248,0.031047327139829273,-44
15m,range3_ret3_vz2_cl0.7_cs0.3_body0.65,model_b,base,3.0,3.0,2.0,0.7,0.3,0.65,True,1.2,2.0,1610,-0.4055416835808613,-652.9221105651867,-659.8099086308232,0.5608860578818421,1578,-0.442754094512338,-698.6659611404693,-714.3841062368184,0.5247976024198383,-0.0372124109314767,-32
15m,range3_ret3_vz2_cl0.7_cs0.3_body0.65,model_b,stress,3.0,3.0,2.0,0.7,0.3,0.65,True,1.2,2.0,1614,-0.8894389729936109,-1435.554502411688,-1434.3239429719079,0.29370668976394887,1579,-0.9235713908350928,-1458.3192261286115,-1465.1573564220987,0.27140223175709627,-0.03413241784148191,-35
15m,range3_ret3_vz2_cl0.8_cs0.2_body0.5,model_a,base,3.0,3.0,2.0,0.8,0.2,0.5,True,1.0,1.5,1315,-0.5302107367641109,-697.2271188448059,-695.6620546751992,0.4266044388337142,1286,-0.5029696188738696,-646.8189298717963,-651.09863514963,0.44318483014718335,0.027241117890241306,-29
15m,range3_ret3_vz2_cl0.8_cs0.2_body0.5,model_a,stress,3.0,3.0,2.0,0.8,0.2,0.5,True,1.0,1.5,1316,-1.1018716838457305,-1450.0631359409813,-1447.932615777235,0.17836018516059324,1287,-1.0774731440078822,-1386.7079363381442,-1385.7871684289244,0.17903887270822216,0.024398539837848343,-29
15m,range3_ret3_vz2_cl0.8_cs0.2_body0.5,model_b,base,3.0,3.0,2.0,0.8,0.2,0.5,True,1.2,2.0,1298,-0.39154754751030635,-508.2287166683777,-511.1832433873167,0.5714013613871481,1279,-0.3956953278839165,-506.09432436352915,-513.995775211879,0.5630602101252042,-0.004147780373610133,-19
15m,range3_ret3_vz2_cl0.8_cs0.2_body0.5,model_b,stress,3.0,3.0,2.0,0.8,0.2,0.5,True,1.2,2.0,1299,-0.8663502743535312,-1125.389006385237,-1123.4472061154504,0.3015476433646835,1280,-0.8678615681129813,-1110.862807184616,-1113.6601263543666,0.29334544030169046,-0.0015112937594501386,-19
15m,range3_ret3_vz2_cl0.8_cs0.2_body0.65,model_a,base,3.0,3.0,2.0,0.8,0.2,0.65,True,1.0,1.5,1187,-0.5113284525247217,-606.9468731468446,-605.3818089772374,0.441909538754087,1162,-0.48990188189839184,-569.2659867659313,-572.5660448461929,0.454392076070469,0.021426570626329855,-25
15m,range3_ret3_vz2_cl0.8_cs0.2_body0.65,model_a,stress,3.0,3.0,2.0,0.8,0.2,0.65,True,1.0,1.5,1188,-1.0984802994203253,-1304.9945957113464,-1302.8640755475992,0.1808546533889527,1162,-1.0718168562268933,-1245.45118693565,-1244.5304190264317,0.18308905489948432,0.026663443193432057,-26
