symbol,timeframe,param_id,exit_model,friction_case,entry_mode,signal_time,entry_time,exit_time,side,raw_entry,entry,raw_exit,exit,stop,target,atr_at_signal,risk,volume_z,candle_return,body_pct,close_location,gross_r,fee_r,net_r,exit_reason,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,atr_period,volume_z_lookback,require_direction,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side
SOLUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-23 11:45:00+00:00,2025-05-23 12:00:00+00:00,2025-05-23 12:15:00+00:00,short,175.95,175.862025,174.02345357142858,174.11046529821428,177.08773928571426,174.02345357142858,1.2257142857142813,1.2257142857142813,20.345545141189483,-0.030837964476408394,0.8654434250764531,0.11926605504587189,1.4290114117132875,0.11421013669405636,1.314801275019231,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
XRPUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-23 11:45:00+00:00,2025-05-23 12:00:00+00:00,2025-05-23 12:15:00+00:00,short,2.336,2.334832,2.320957,2.3221174784999996,2.3440819999999998,2.320957,0.009249999999999916,0.009249999999999916,21.62232364720091,-0.023885284515889206,0.8210227272727338,0.17187499999999734,1.3745428648649214,0.2013815990702721,1.1731612657946493,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
BTCUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-24 07:45:00+00:00,2025-05-24 08:00:00+00:00,2025-05-24 08:30:00+00:00,short,107810.1,107756.19495,107962.35923571429,108016.34041533215,107962.35923571429,107446.94852142858,206.1642857142859,206.1642857142859,1.5555966665886058,-0.004065206279123174,0.9348381601362746,0.06516183986372538,-1.2618357463361325,0.4186419284363576,-1.68047767477249,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
ETHUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-24 10:30:00+00:00,2025-05-24 10:45:00+00:00,2025-05-24 11:15:00+00:00,long,2568.61,2569.894305,2562.2257335714285,2560.944620704643,2562.2257335714285,2581.397162142857,7.66857142857147,7.66857142857147,2.519607786933267,0.004088221154785695,0.7906273620559352,0.8065003779289538,-1.1670601726433847,0.26762945216044937,-1.434689624803834,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
BTCUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-24 10:30:00+00:00,2025-05-24 10:45:00+00:00,2025-05-24 12:00:00+00:00,long,109043.5,109098.02175,108864.72175,108810.289389125,108864.72175,109447.97175,233.2999999999977,233.2999999999977,4.9030022295086635,0.0051815145269769065,0.780372532666129,0.7952460383653189,-1.2333148773039178,0.373610477735323,-1.6069253550392408,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
ADAUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-24 16:00:00+00:00,2025-05-24 16:15:00+00:00,2025-05-24 16:45:00+00:00,short,0.7552,0.7548224,0.7580366857142857,0.7584157040571429,0.7580366857142857,0.7500009714285714,0.003214285714285733,0.003214285714285733,1.8726000143531556,-0.00527634876665348,0.7142857142857086,0.28571428571429136,-1.1179168177777739,0.18831407517155443,-1.3062308929493283,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
LINKUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-24 16:00:00+00:00,2025-05-24 16:15:00+00:00,2025-05-24 16:45:00+00:00,short,15.556,15.548222,15.621007714285716,15.628818218142857,15.621007714285716,15.439043428571429,0.07278571428571455,0.07278571428571455,2.6323176510741497,-0.005246992577425181,0.7387387387387411,0.1981981981981992,-1.1073081982335502,0.17133604045299253,-1.2786442386865426,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
LTCUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-24 16:00:00+00:00,2025-05-24 16:15:00+00:00,2025-05-24 18:15:00+00:00,short,96.29,96.24185500000002,96.58971214285715,96.63800699892857,96.58971214285715,95.7200692857143,0.3478571428571432,0.3478571428571432,2.5739629516552456,-0.006295149638802884,0.8472222222222228,0.12500000000000494,-1.1388353151950354,0.2217920384381928,-1.3606273536332283,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
BTCUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-24 23:30:00+00:00,2025-05-24 23:45:00+00:00,2025-05-25 00:00:00+00:00,short,107698.9,107645.05055,107916.80769285714,107970.76609670356,107916.80769285714,107237.41483571428,271.7571428571412,271.7571428571412,1.6676505964833477,-0.0025508573715053687,0.5967497291440828,0.030985915492964054,-1.1985537648767033,0.31736544530871774,-1.515919210185421,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
SOLUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-25 00:30:00+00:00,2025-05-25 00:45:00+00:00,2025-05-25 01:00:00+00:00,short,172.22,172.13389,170.87817571428573,170.96361480214287,172.97103285714286,170.87817571428573,0.8371428571428571,0.8371428571428571,9.088807757245485,-0.01589103291713952,0.8358208955223844,0.10746268656716844,1.397939656143338,0.16393737430819116,1.2340022818351468,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
