entry_mode,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,return_volatility_pct,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_month_contribution,best_symbol,worst_symbol,best_symbol_contribution,positive_month_rate,positive_symbol_rate,window,window_start,window_end
next_close,scaled_exit_6_12,stress,12,8.0,10.0,1134,178.9172786177106,1.9459318604260183,0.9044909703030058,0.599647266313933,22.06686729723105,-2.2023194545387828,9.1357733836282,7.172801921173702,15,5.585631407356652,-3.50560050061546,2021-05,2025-02,0.24616086851308852,ADAUSDT,BTCUSDT,0.1682925398582815,0.6785714285714286,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,stress,12,8.0,10.0,1134,178.9172786177106,2.3632790475207646,1.5287638826124736,0.6525573192239859,26.799584398885468,-2.264677510032362,10.454945072997766,7.612017470280054,20,5.874274065203515,-4.230975554218412,2021-05,2025-02,0.21317135420325317,ADAUSDT,BTCUSDT,0.15659606155099773,0.7857142857142857,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,275,91.64575729927007,1.9118087802430146,1.1396173839815085,0.6763636363636364,5.25747414566829,-0.9733885825656969,5.4798540139460705,5.785512149444191,11,4.301155004413928,-3.081656362406313,2024-04,2025-02,0.374009914046605,XRPUSDT,BTCUSDT,0.18304997184868912,0.6666666666666666,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,275,91.64575729927007,2.7204180813972627,1.888862552995043,0.730909090909091,7.4811497238424725,-0.9701642803964381,7.4045817354021315,6.092583194642278,9,4.931220661200154,-3.284599736715997,2024-04,2025-02,0.22776973473867718,XRPUSDT,BTCUSDT,0.18565746996821322,0.875,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,275,91.64575729927007,1.7298678909369825,0.9584483005546752,0.6472727272727272,4.7571367000767015,-1.0544222270090966,4.963314204924975,5.7797295257153,15,4.305712376255804,-2.996939515111989,2024-04,2025-02,0.39779602581969037,XRPUSDT,LTCUSDT,0.18696258619626085,0.6666666666666666,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,stress,12,8.0,10.0,275,91.64575729927007,2.5376689864887747,1.7069445984603298,0.7054545454545454,6.97858971284413,-1.0952156249694287,6.914075944132654,6.086493653173599,9,4.921064419126797,-3.1707101978541457,2024-04,2025-02,0.23360942718341707,XRPUSDT,BTCUSDT,0.1885095889584099,0.8333333333333334,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_6,base,6,4.0,5.0,275,91.64575729927007,1.2962322206183232,0.7640749052933461,0.6618181818181819,3.564638606700389,-0.8587449301903136,4.078516822392462,5.270440339189646,11,3.4908867336405596,-2.99868306293057,2025-10,2025-02,0.32344939108252224,ADAUSDT,LTCUSDT,0.1887496067014093,0.75,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_6,base,6,4.0,5.0,275,91.64575729927007,2.1218163486579997,1.3912479441030714,0.7381818181818182,5.834994958809499,-0.8684050073936223,5.9074489668200085,5.956267030038073,9,4.2773598764585525,-3.9556188755574504,2023-08,2025-02,0.17399107555870277,XRPUSDT,BTCUSDT,0.17902248285351754,0.875,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_6,stress,6,8.0,10.0,275,91.64575729927007,1.1149066005449326,0.5832811768554037,0.6218181818181818,3.0659931514985646,-0.9064947234383964,3.5114963936548835,5.265172530121084,15,3.5271503950106355,-2.8513788692015587,2025-10,2025-02,0.359824571759807,ADAUSDT,LTCUSDT,0.19632787923121697,0.7083333333333334,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_6,stress,6,8.0,10.0,275,91.64575729927007,1.9396655566299608,1.2098273557428696,0.7236363636363636,5.334080280732392,-0.9461449950449992,5.405717374584117,5.950313736678068,9,4.177758559850323,-3.9206042807496733,2023-08,2025-02,0.18507741941721673,XRPUSDT,BTCUSDT,0.18213809055406938,0.8333333333333334,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
