window,exit_model,friction_case,horizon_bars,total_trades_next_open,average_return_pct_next_open,cumulative_return_units_next_open,sharpe_like_next_open,max_drawdown_units_next_open,total_trades_next_close,average_return_pct_next_close,cumulative_return_units_next_close,sharpe_like_next_close,max_drawdown_units_next_close,cum_return_delta_close_minus_open,avg_return_delta_close_minus_open_pct
2026_ytd,pure_horizon_6,stress,6,30,2.8135902700495588,0.8440770810148677,3.5608246769377603,-0.049794331061080124,30,2.2080013271680814,0.6624003981504245,2.8262134522334477,-0.10704637380957704,-0.18167668286444316,-0.6055889428814774
2026_ytd,scaled_exit_6_12,base,12,30,2.6355882464211944,0.7906764739263583,3.6067391188685174,-0.0535608778955765,30,2.0279789797490033,0.6083936939247011,2.8789326587228046,-0.09860723944389696,-0.1822827800016572,-0.6076092666721911
2026_ytd,scaled_exit_6_12,stress,12,30,2.452923938996333,0.7358771816988998,3.3601258562705856,-0.07020737945582288,30,1.8459219782415115,0.5537765934724534,2.623105105099395,-0.1238458935257527,-0.18210058822644637,-0.6070019607548214
full_available,pure_horizon_12,base,12,1134,2.7916374550121623,31.65716873983792,11.120566989086896,-2.6618495810947396,1134,2.3733605530992916,26.913908672145965,9.879989988599569,-1.969656787927995,-4.743260067691956,-0.4182769019128707
full_available,pure_horizon_12,stress,12,1134,2.608817176286375,29.58398677908749,10.402694724110473,-2.702396268843116,1134,2.1909583424504127,24.84546760338768,9.129798650530994,-1.987491418342174,-4.73851917569981,-0.41785883383596234
full_available,pure_horizon_6,base,6,1134,2.3000698753166673,26.082792386091008,10.348996092292376,-2.622387471945485,1134,1.8828172906921268,21.351148076448716,9.035332475030941,-2.4883763711482008,-4.7316443096422915,-0.4172525846245405
full_available,pure_horizon_6,stress,6,1134,2.1177409187551532,24.01518201868344,9.538153686245876,-2.643564908951868,1134,1.7009053784016248,19.288266991074423,8.170533391497045,-2.5074928413002073,-4.726915027609017,-0.41683554035352843
full_available,scaled_exit_6_12,base,12,1134,2.545853665164415,28.869980562964464,11.251382603031924,-2.2236928843372334,1134,2.128088921895709,24.13252837429734,9.980979547025877,-2.184699759736074,-4.737452188667124,-0.4177647432687057
full_available,scaled_exit_6_12,stress,12,1134,2.3632790475207646,26.799584398885468,10.454945072997766,-2.264677510032362,1134,1.9459318604260183,22.06686729723105,9.1357733836282,-2.2023194545387828,-4.732717101654419,-0.4173471870947463
last_3_years,pure_horizon_12,base,12,275,2.7204180813972627,7.4811497238424725,7.4045817354021315,-0.9701642803964381,275,1.9118087802430146,5.25747414566829,5.4798540139460705,-0.9733885825656969,-2.2236755781741824,-0.8086093011542481
last_3_years,pure_horizon_12,stress,12,275,2.5376689864887747,6.97858971284413,6.914075944132654,-1.0952156249694287,275,1.7298678909369825,4.7571367000767015,4.963314204924975,-1.0544222270090966,-2.2214530127674283,-0.8078010955517922
last_3_years,pure_horizon_6,base,6,275,2.1218163486579997,5.834994958809499,5.9074489668200085,-0.8684050073936223,275,1.2962322206183232,3.564638606700389,4.078516822392462,-0.8587449301903136,-2.2703563521091104,-0.8255841280396765
last_3_years,pure_horizon_6,stress,6,275,1.9396655566299608,5.334080280732392,5.405717374584117,-0.9461449950449992,275,1.1149066005449326,3.0659931514985646,3.5114963936548835,-0.9064947234383964,-2.2680871292338276,-0.8247589560850281
last_3_years,scaled_exit_6_12,base,12,275,2.4211172150276314,6.658072341325987,6.91836182940044,-0.8908063310270427,275,1.6040205004306696,4.411056376184341,5.027091234674757,-0.853050066585539,-2.247015965141646,-0.8170967145969619
last_3_years,scaled_exit_6_12,stress,12,275,2.2386672715593674,6.15633499678826,6.403409867906139,-1.0159369939299019,275,1.4223872457409577,3.9115649257876335,4.462302386106471,-0.8738010466044337,-2.2447700710006266,-0.8162800258184097
