entry_mode,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,average_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,return_volatility_pct,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_month_contribution,best_symbol,worst_symbol,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,window,window_start,window_end
next_open,pure_horizon_6,stress,6,8.0,10.0,LINKUSDT,29,9.664461678832117,1.8813548549036194,1.1781754291939883,0.6206896551724138,0.5455929079220496,-0.34787003850641707,1.2447947524725844,8.139017242990624,2,5.9266999626790025,-4.738300776001553,2024-04,2025-02,0.23573485777337497,LINKUSDT,LINKUSDT,1.0000000000000002,0.8125,1.0,0.9827586206896551,4,3.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_6,stress,6,8.0,10.0,XRPUSDT,27,8.99794708029197,2.26843642744039,1.2253783542731478,0.8148148148148148,0.6124778354089053,-0.0886596043500843,2.0558502660196636,5.733463002157969,1,3.864770335880659,-4.755432769696796,2025-10,2025-01,0.24041281225801708,XRPUSDT,XRPUSDT,1.0,0.8571428571428571,1.0,0.7592592592592593,3,2.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_6,stress,6,8.0,10.0,BTCUSDT,6,1.9995437956204378,3.764526535814817,2.9624131919655112,1.0,0.22587159214888902,0.0,2.5542506892685277,3.6101269051841545,0,3.764526535814817,0.0,2026-02,2024-04,0.38535804774605814,BTCUSDT,BTCUSDT,1.0,1.0,1.0,0.5,1,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_6,stress,6,8.0,10.0,ETHUSDT,15,4.998859489051094,2.0735161329858087,0.5499257674766601,0.7333333333333333,0.3110274199478713,-0.01480279132280321,1.985631983709997,4.044401740619489,1,3.2524289866231433,-1.1684942145168613,2023-08,2026-01,0.4035247206033789,ETHUSDT,ETHUSDT,0.9999999999999997,0.7,1.0,0.5666666666666667,2,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_6,stress,6,8.0,10.0,LTCUSDT,22,7.331660583941606,2.306932322934353,1.065862315231929,0.7272727272727273,0.5075251110455576,-0.12048226455923794,2.148663414135214,5.0359082084023585,2,4.16878445051452,-2.6580066839460925,2024-04,2025-02,0.28547727013537677,LTCUSDT,LTCUSDT,0.9999999999999998,0.8461538461538461,1.0,0.6363636363636364,2,1.8500000000000014,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,base,12,4.0,5.0,BNBUSDT,13,4.3323448905109485,3.0777598903273105,1.8826648820986633,0.7692307692307693,0.4001087857425504,-0.01558669069122251,2.6743592224332837,4.149413065027533,2,4.455743411052955,-1.515518512091503,2025-10,2023-06,0.35162700067675773,BNBUSDT,BNBUSDT,1.0,0.8888888888888888,1.0,0.6538461538461539,2,1.75,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,base,12,4.0,5.0,SOLUSDT,25,8.331432481751824,2.3043654429257883,1.0852521449438515,0.56,0.5760913607314471,-0.09475921008138155,2.1621881497369486,5.328781038796594,3,5.882216384741657,-2.249263028476228,2024-08,2025-02,0.5063410931680346,SOLUSDT,SOLUSDT,1.0,0.6153846153846154,1.0,0.9,3,2.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,base,12,4.0,5.0,ADAUSDT,32,10.664233576642335,2.6019111375386843,2.1210917208456603,0.65625,0.832611564012379,-0.2862525316492879,1.764526535279026,8.341405913093732,3,6.1385181311622885,-4.149793123015468,2025-10,2025-02,0.5458346839181591,ADAUSDT,ADAUSDT,1.0000000000000002,0.6470588235294118,1.0,1.0625,5,3.8499999999999943,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,base,12,4.0,5.0,AVAXUSDT,35,11.664005474452553,2.003397545469463,1.4976006663208,0.6857142857142857,0.701189140914312,-0.23509736673606935,2.2192360171533663,5.340693655227478,5,4.610905510796764,-3.6857107425173745,2024-04,2025-02,0.5996704410202617,AVAXUSDT,AVAXUSDT,1.0000000000000002,0.8125,1.0,1.042857142857143,5,3.549999999999997,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,base,12,4.0,5.0,LINKUSDT,29,9.664461678832117,2.2008977633009597,1.3507481694165404,0.6896551724137931,0.6382603513572783,-0.24526329636817323,1.6611411231693702,7.134973069847312,2,4.877842650991569,-3.7478686537892845,2025-10,2025-02,0.5402817343075145,LINKUSDT,LINKUSDT,1.0,0.6875,1.0,1.0862068965517242,5,4.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,base,12,4.0,5.0,XRPUSDT,27,8.99794708029197,2.779750930724817,2.223295494164198,0.7777777777777778,0.7505327512957006,-0.09449122532709109,2.6717450291001854,5.406208068466533,2,4.378027876687318,-2.814218380143936,2025-10,2024-11,0.34592638233041734,XRPUSDT,XRPUSDT,0.9999999999999999,0.8571428571428571,1.0,0.7962962962962963,3,2.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,base,12,4.0,5.0,BTCUSDT,6,1.9995437956204378,2.6237263446020136,2.0577774481574074,1.0,0.1574235806761208,0.0,3.0337929003546242,2.118401281848012,0,2.6237263446020136,0.0,2026-02,2023-08,0.38670260158274755,BTCUSDT,BTCUSDT,1.0,1.0,1.0,0.5,1,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,base,12,4.0,5.0,ETHUSDT,15,4.998859489051094,1.7755117053928977,0.7609032173038678,0.7333333333333333,0.26632675580893467,-0.030256961418910322,2.3420313183230337,2.9361380491302858,2,2.968839223299299,-1.5061389688497062,2025-10,2026-01,0.3698744490246423,ETHUSDT,ETHUSDT,0.9999999999999998,0.7,1.0,0.5666666666666667,2,1.0,last_3_years,2023-05-04T00:00:00+00:00,2026-05-04T00:00:00+00:00
