entry_mode,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,return_volatility_pct,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_month_contribution,best_symbol,worst_symbol,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,year,window_start,window_end
next_close,scaled_exit_6_12,stress,12,8.0,10.0,22,22.015068493150686,0.24771246236451064,0.5975528819878385,0.5,0.05449674172019234,-0.1464633035002582,0.5020399904996737,2.3143065480157676,8,2.3003966956786446,-1.8049717709496225,2023-08,2023-06,3.7354801590576083,LTCUSDT,SOLUSDT,1.0804046985818727,0.5,0.4444444444444444,2.590909090909091,8,6.850000000000001,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_open,scaled_exit_6_12,stress,12,8.0,10.0,22,22.015068493150686,4.461617757323451,2.464456738258557,0.9545454545454546,0.981555906611159,-0.001476759866557431,4.547408678402563,4.601926882588716,1,4.681107935608174,-0.14767598665574408,2023-08,2023-01,0.7871522754683349,AVAXUSDT,XRPUSDT,0.18562785402059884,1.0,1.0,2.590909090909091,8,6.850000000000001,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,82,81.83196721311475,4.313134385155564,3.6360847452036853,0.8536585365853658,3.5367701958275624,-0.16167209523116988,9.039235006609468,4.320840533692143,4,5.389298913844485,-1.9644920321964674,2024-04,2024-11,0.6149720983011907,AVAXUSDT,BTCUSDT,0.24987741566365712,0.8571428571428571,1.0,6.341463414634147,26,21.849999999999994,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,82,81.83196721311475,4.675592710370133,4.119956326357569,0.8780487804878049,3.8339860225035096,-0.11423516296035308,9.318037635847736,4.543799284366961,3,5.586434111480286,-1.882465377622966,2024-04,2024-11,0.5166179579345811,AVAXUSDT,BTCUSDT,0.25227229875566837,1.0,1.0,6.341463414634147,26,21.849999999999994,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,82,81.83196721311475,4.128793369107926,3.452420440778518,0.8292682926829268,3.3856105626684996,-0.17591290665063397,8.661560258315031,4.316521850340788,4,5.36034342746158,-1.85302120003839,2024-04,2024-11,0.6253027952832212,AVAXUSDT,BTCUSDT,0.2527966986924579,0.8571428571428571,1.0,6.341463414634147,26,21.849999999999994,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_open,pure_horizon_12,stress,12,8.0,10.0,82,81.83196721311475,4.490889416954827,3.9358083919244597,0.8536585365853658,3.6825293219029582,-0.13181687454104862,8.958894931944192,4.539257753577222,4,5.557075244790063,-1.7285279120840422,2024-04,2024-11,0.5221728962884709,AVAXUSDT,BTCUSDT,0.2550522085106488,1.0,1.0,6.341463414634147,26,21.849999999999994,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_close,pure_horizon_6,base,6,4.0,5.0,82,81.83196721311475,2.5212828141399592,1.7577327560513687,0.7439024390243902,2.0674519075947666,-0.2337842896456952,5.875551516956917,3.885794696602213,7,4.045974822160657,-1.9075844472534922,2024-04,2024-12,0.5893407522887693,AVAXUSDT,ETHUSDT,0.21670721266982546,0.7142857142857143,1.0,6.341463414634147,26,21.849999999999994,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_open,pure_horizon_6,base,6,4.0,5.0,82,81.83196721311475,2.9105982307707055,2.8709219449497803,0.7804878048780488,2.3866905492319783,-0.39117343487982653,5.417019907368693,4.865514325719502,6,4.608793663246071,-3.1274299735861537,2024-04,2024-12,0.44310269929885976,AVAXUSDT,ETHUSDT,0.2242424056329445,1.0,1.0,6.341463414634147,26,21.849999999999994,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_close,pure_horizon_6,stress,6,8.0,10.0,82,81.83196721311475,2.3387327550803185,1.5759458658469776,0.7073170731707317,1.917760859165861,-0.24615272452282766,5.455593055844826,3.881910841891038,7,4.068595578122053,-1.8417690672705402,2024-04,2024-12,0.605605501219742,AVAXUSDT,ETHUSDT,0.21930754551794485,0.7142857142857143,1.0,6.341463414634147,26,21.849999999999994,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_open,pure_horizon_6,stress,6,8.0,10.0,82,81.83196721311475,2.7276590506604013,2.6880224213168873,0.7804878048780488,2.236680421541529,-0.401584258838379,5.081624253027209,4.860651240504846,6,4.4241571355284215,-3.3043341399814525,2024-04,2024-12,0.44739636616218886,AVAXUSDT,ETHUSDT,0.22696930240439775,0.8571428571428571,1.0,6.341463414634147,26,21.849999999999994,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
