symbol,timeframe,entry_mode,entry_time_semantic,exit_model,friction_case,friction_mode,event_time,signal_time,signal_close_time,entry_candle_open_time,entry_time,exit_time,signal_return,event_return_pct,entry_price,exit_price,realized_vol_96,realized_vol_regime_value,realized_vol_threshold,simultaneous_down_2pct_count,breadth_count,btc_return_24h,ema50_slope_24,ema50_slope,ema200_slope_24,ema200_slope,horizon_bars,exit_legs,gross_return,fee_return,net_return,net_return_pct,taker_fee_bps_per_side,slippage_bps_per_side,concurrent_positions
BNBUSDT,15m,next_close,next_candle_close,pure_horizon_6,base,base,2021-05-20 00:15:00+00:00,2021-05-20 00:15:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 02:15:00+00:00,-0.05552242197040702,-5.552242197040702,300.42013499999996,326.59662000000003,0.04356441632421872,0.04356441632421872,0.007529848489758878,8.0,8.0,-0.14405219015392456,-0.04458075136386186,-0.04458075136386186,-0.04373373708634509,-0.04373373708634509,6,horizon:1.0@2021-05-20T02:15:00+00:00,0.08713292469561029,0.0008,0.0863329246956103,8.63329246956103,4.0,5.0,15
ETHUSDT,15m,next_close,next_candle_close,pure_horizon_6,base,base,2021-05-20 00:15:00+00:00,2021-05-20 00:15:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 02:15:00+00:00,-0.05027193826823051,-5.027193826823051,2235.647265,2439.269755,0.028051811993094727,0.028051811993094727,0.007459968923547305,8.0,8.0,-0.14405219015392456,-0.04493690773867476,-0.04493690773867476,-0.03771463982279577,-0.03771463982279577,6,horizon:1.0@2021-05-20T02:15:00+00:00,0.09107988240712017,0.0008,0.09027988240712018,9.027988240712018,4.0,5.0,15
LINKUSDT,15m,next_close,next_candle_close,pure_horizon_6,base,base,2021-05-20 00:15:00+00:00,2021-05-20 00:15:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 02:15:00+00:00,-0.053886764973602785,-5.3886764973602785,24.085036499999998,25.8000935,0.03429828896397481,0.03429828896397481,0.009602377922643963,8.0,8.0,-0.14405219015392456,-0.07323345426007266,-0.07323345426007266,-0.04783617849871147,-0.04783617849871147,6,horizon:1.0@2021-05-20T02:15:00+00:00,0.07120840360777536,0.0008,0.07040840360777537,7.040840360777537,4.0,5.0,15
LTCUSDT,15m,next_close,next_candle_close,pure_horizon_6,base,base,2021-05-20 00:15:00+00:00,2021-05-20 00:15:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 02:15:00+00:00,-0.05017533003300323,-5.017533003300323,168.534225,188.01594500000002,0.0349842254880525,0.0349842254880525,0.010157168715380699,8.0,8.0,-0.14405219015392456,-0.08027838769796614,-0.08027838769796614,-0.054888374811406515,-0.054888374811406515,6,horizon:1.0@2021-05-20T02:15:00+00:00,0.11559503715046615,0.0008,0.11479503715046616,11.479503715046615,4.0,5.0,15
XRPUSDT,15m,next_close,next_candle_close,pure_horizon_6,base,base,2021-05-20 00:15:00+00:00,2021-05-20 00:15:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 02:15:00+00:00,-0.04530950861518834,-4.530950861518834,0.94737345,1.06176885,0.02931984652284161,0.02931984652284161,0.011036842478652267,8.0,8.0,-0.14405219015392456,-0.07204318272541121,-0.07204318272541121,-0.04369091541059922,-0.04369091541059922,6,horizon:1.0@2021-05-20T02:15:00+00:00,0.12075005901843672,0.0008,0.11995005901843672,11.995005901843673,4.0,5.0,15
ADAUSDT,15m,next_close,next_candle_close,pure_horizon_6,base,base,2021-05-20 00:30:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 01:00:00+00:00,2021-05-20 02:30:00+00:00,-0.05781775733022032,-5.781775733022032,1.3910952,1.5174409,0.04251898123272564,0.04251898123272564,0.009503862506347247,9.0,9.0,-0.17162474224591984,-0.038976707809006195,-0.038976707809006195,-0.03533973963034853,-0.03533973963034853,6,horizon:1.0@2021-05-20T02:30:00+00:00,0.09082462508676614,0.0008,0.09002462508676615,9.002462508676615,4.0,5.0,24
AVAXUSDT,15m,next_close,next_candle_close,pure_horizon_6,base,base,2021-05-20 00:30:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 01:00:00+00:00,2021-05-20 02:30:00+00:00,-0.06693050360963737,-6.693050360963737,21.728859,22.803592500000004,0.04228291635504483,0.04228291635504483,0.012026272862064516,9.0,9.0,-0.17162474224591984,-0.07567833942736824,-0.07567833942736824,-0.04977950908678386,-0.04977950908678386,6,horizon:1.0@2021-05-20T02:30:00+00:00,0.04946111068234216,0.0008,0.04866111068234216,4.866111068234217,4.0,5.0,24
BNBUSDT,15m,next_close,next_candle_close,pure_horizon_6,base,base,2021-05-20 00:30:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 01:00:00+00:00,2021-05-20 02:30:00+00:00,-0.0970952610055329,-9.70952610055329,302.89137,330.65459,0.043891808273177464,0.043891808273177464,0.007529848489758878,9.0,9.0,-0.17162474224591984,-0.04930289629713913,-0.04930289629713913,-0.044760245333242854,-0.044760245333242854,6,horizon:1.0@2021-05-20T02:30:00+00:00,0.09166065048337302,0.0008,0.09086065048337302,9.086065048337302,4.0,5.0,24
BTCUSDT,15m,next_close,next_candle_close,pure_horizon_6,base,base,2021-05-20 00:30:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 01:00:00+00:00,2021-05-20 02:30:00+00:00,-0.04014778544787356,-4.014778544787356,35821.821959999994,37845.597735,0.020395008867387515,0.020395008867387515,0.0048660923892745,9.0,9.0,-0.17162474224591984,-0.006008131959005958,-0.006008131959005958,-0.01703327990176151,-0.01703327990176151,6,horizon:1.0@2021-05-20T02:30:00+00:00,0.05649561256989766,0.0008,0.05569561256989766,5.569561256989767,4.0,5.0,24
ETHUSDT,15m,next_close,next_candle_close,pure_horizon_6,base,base,2021-05-20 00:30:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 01:00:00+00:00,2021-05-20 02:30:00+00:00,-0.06799829826990766,-6.799829826990766,2232.17553,2416.3612150000004,0.02846706182159237,0.02846706182159237,0.007460106172262042,9.0,9.0,-0.17162474224591984,-0.04810871760270363,-0.04810871760270363,-0.03848572316472243,-0.03848572316472243,6,horizon:1.0@2021-05-20T02:30:00+00:00,0.08251397908658209,0.0008,0.0817139790865821,8.171397908658209,4.0,5.0,24
LINKUSDT,15m,next_close,next_candle_close,pure_horizon_6,base,base,2021-05-20 00:30:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 01:00:00+00:00,2021-05-20 02:30:00+00:00,-0.07358091206465267,-7.358091206465267,24.048018,26.0279795,0.03467177345995672,0.03467177345995672,0.009602377922643963,9.0,9.0,-0.17162474224591984,-0.07704959615268192,-0.07704959615268192,-0.04888229644363229,-0.04888229644363229,6,horizon:1.0@2021-05-20T02:30:00+00:00,0.0823336667495842,0.0008,0.0815336667495842,8.15336667495842,4.0,5.0,24
LTCUSDT,15m,next_close,next_candle_close,pure_horizon_6,base,base,2021-05-20 00:30:00+00:00,2021-05-20 00:30:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 00:45:00+00:00,2021-05-20 01:00:00+00:00,2021-05-20 02:30:00+00:00,-0.08545523644063202,-8.545523644063202,174.00695999999996,188.28581,0.035302058932874594,0.035302058932874594,0.010160954988783678,9.0,9.0,-0.17162474224591984,-0.08261498840946546,-0.08261498840946546,-0.05557869824928363,-0.05557869824928363,6,horizon:1.0@2021-05-20T02:30:00+00:00,0.0820590739588809,0.0008,0.0812590739588809,8.12590739588809,4.0,5.0,24
