section,feature,bucket,trade_count,avg_return_pct,median_return_pct,win_rate,cumulative_return_units,contribution_to_total_return,best_month,worst_month
edge_killers,realized_vol_bucket,mid_realized_vol,122,-0.09468091192156504,0.035235832242384996,0.5245901639344263,-0.11551071254430934,-0.05225766335662846,2025-10,2026-01
edge_killers,btc_vol_bucket,mid_btc_vol,126,-0.067872168560501,0.06312792637230501,0.5238095238095238,-0.08551893238623126,-0.03868922181173153,2025-05,2026-02
edge_killers,signal_month,2025-06,28,-0.046297491743597506,-0.23062807132622998,0.42857142857142855,-0.012963297688207302,-0.005864665117724365,2025-06,2025-06
largest_contributors,realized_vol_bucket,high_realized_vol,122,2.0576442818865286,1.202676122232645,0.6311475409836066,2.510326023901565,1.135684902143688,2025-10,2025-08
largest_contributors,ema50_slope_bucket,negative,258,0.9588381597966128,0.295733359897965,0.5697674418604651,2.473802452275261,1.1191614432489387,2025-10,2026-01
largest_contributors,btc_vol_bucket,high_btc_vol,118,2.0475047816895393,0.36381885391382995,0.576271186440678,2.4160556423936566,1.0930364780033601,2025-10,2025-12
largest_contributors,ema200_slope_bucket,negative,251,0.9597052916780825,0.25451859246651,0.5657370517928287,2.408860282111987,1.0897812585778464,2025-10,2025-12
largest_contributors,simultaneous_drop_bucket,5+ symbols,249,0.9603780200320078,0.21757083502939,0.5622489959839357,2.391341269879699,1.081855563865987,2025-10,2025-12
largest_contributors,atr_regime_bucket,high_atr_rel,122,1.938627826485492,0.824866057935055,0.639344262295082,2.3651259483123,1.0699956123595031,2025-10,2025-12
largest_contributors,prior_24h_bucket,negative,247,0.9282770052236685,0.22420402334447,0.5587044534412956,2.292844202902461,1.0372949646424532,2025-10,2026-01
largest_contributors,btc_24h_bucket,negative,297,0.7705733831980389,0.18444090162831,0.5454545454545454,2.2886029480981755,1.035376198314291,2025-10,2025-12
largest_contributors,event_drop_bucket,<= -4%,39,5.745159246316456,3.20523377679792,0.8461538461538461,2.240612106063418,1.013664885034222,2025-10,2025-05
largest_contributors,signal_month,2025-10,83,2.2766841378572176,1.02538800129589,0.6867469879518072,1.8896478344214906,0.854886773864379,2025-10,2025-10
largest_contributors,funding_change_bucket,flat,168,1.090368476694347,0.354041571229,0.5595238095238095,1.8318190408465032,0.828724718757997,2025-10,2026-02
largest_contributors,prior_6h_bucket,negative,255,0.687726516075005,0.08973773044064,0.5137254901960784,1.7537026159912628,0.793384430893851,2025-10,2026-01
largest_contributors,distance_ema200_bucket,below_ema200_far,123,1.2184653031981523,0.26606297373328996,0.6016260162601627,1.4987123229337271,0.6780254602815171,2025-10,2026-01
largest_contributors,funding_level_bucket,positive,162,0.9020026302770326,0.32332294995586,0.5432098765432098,1.4612442610487928,0.6610747089487596,2025-10,2026-02
largest_contributors,distance_ema50_bucket,below_ema50_far,123,0.926042662845419,0.13992080303394,0.5528455284552846,1.1390324752998653,0.5153043759785897,2025-10,2026-01
