feature,bucket,trade_count,avg_return_pct,median_return_pct,win_rate,cumulative_return_units,contribution_to_total_return,best_month,worst_month
prior_6h_bucket,flat,30,1.2737324631918991,1.004556939346055,0.7,0.38211973895756973,0.17287301100066832,2026-01,2025-07
prior_6h_bucket,positive,82,0.09095706290057007,0.10532837679922999,0.5609756097560976,0.07458479157846745,0.03374255810548082,2025-10,2025-12
realized_vol_bucket,high_realized_vol,122,2.0576442818865286,1.202676122232645,0.6311475409836066,2.510326023901565,1.135684902143688,2025-10,2025-08
realized_vol_bucket,mid_realized_vol,122,-0.09468091192156504,0.035235832242384996,0.5245901639344263,-0.11551071254430934,-0.05225766335662846,2025-10,2026-01
realized_vol_bucket,low_realized_vol,123,-0.14992533726012638,-0.17995002498749,0.4634146341463415,-0.18440816482995548,-0.08342723878705934,2026-01,2025-10
signal_month,2025-10,83,2.2766841378572176,1.02538800129589,0.6867469879518072,1.8896478344214906,0.854886773864379,2025-10,2025-10
signal_month,2025-05,40,0.6589417486239919,0.69340716494711,0.8,0.2635766994495968,0.11924350672847477,2025-05,2025-05
signal_month,2025-07,29,0.7278363809795113,0.41969013092494,0.5517241379310345,0.2110725504840583,0.09549034928504808,2025-07,2025-07
signal_month,2025-11,31,0.5821040645628589,0.09993208927249,0.5161290322580645,0.18045226001448628,0.08163756631803742,2025-11,2025-11
signal_month,2026-03,7,0.9786527096697287,1.17521967164323,0.8571428571428571,0.068505689676881,0.03099233993362178,2026-03,2026-03
signal_month,2026-02,50,0.05674927600733227,-0.88736866299468,0.38,0.028374638003666137,0.01283683779626058,2026-02,2026-02
signal_month,2026-04,7,-0.015397272539158482,-0.27712906192814996,0.2857142857142857,-0.0010778090777410938,-0.00048760658389763415,2026-04,2026-04
signal_month,2025-06,28,-0.046297491743597506,-0.23062807132622998,0.42857142857142855,-0.012963297688207302,-0.005864665117724365,2025-06,2025-06
signal_month,2025-08,15,-0.20799990891860132,-0.10783360838334,0.4666666666666667,-0.031199986337790198,-0.014115040474243628,2025-08,2025-08
signal_month,2025-09,9,-0.38490213912863885,-0.17995002498749,0.4444444444444444,-0.0346411925215775,-0.015671860533024957,2025-09,2025-09
signal_month,2026-01,49,-0.15183564821961448,-0.06300755974437999,0.4897959183673469,-0.0743994676276111,-0.033658716560203736,2026-01,2026-01
signal_month,2025-12,19,-1.4575830119471171,-1.8772407795770398,0.15789473684210525,-0.2769407722699523,-0.1252894846567272,2025-12,2025-12
simultaneous_drop_bucket,5+ symbols,249,0.9603780200320078,0.21757083502939,0.5622489959839357,2.391341269879699,1.081855563865987,2025-10,2025-12
