entry_mode,exit_model,friction_case,event_threshold,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,avg_net_return_pct,median_net_return_pct,win_rate,total_net_return_units,ev_per_trade_r,total_ev_r,max_drawdown_return_units,max_drawdown_r,max_losing_streak,profit_factor,average_win_pct,average_loss_pct,best_symbol,worst_symbol,best_month,worst_month,best_symbol_contribution,best_month_contribution
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2026-03,7,139.69721115537848,0.9782292485858657,1.17471758377458,0.8571428571428571,0.0684760474010106,4.928130819646957,34.496915737528695,0.0,0.0,1,13.896812967552368,1.2297596647627367,-0.5309532484753587,ADAUSDT,SOLUSDT,2026-03,2026-03,0.34512142061941364,1.0000000000000002
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2026-04,7,112.17915904936015,-0.015423113630145893,-0.2770502103033872,0.2857142857142857,-0.0010796179541102124,-0.4120976274778843,-2.88468339234519,-0.01385581889115002,-3.4798888161540997,5,0.9698969125451955,1.7392204736340682,-0.7172805485358316,ADAUSDT,AVAXUSDT,2026-04,2026-04,,
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-05,40,706.5793450881612,1.1276522852390496,1.2835583315641683,0.85,0.4510609140956198,1.6583028772400261,66.33211508960105,-0.021876872211221116,-1.8749797832077064,2,14.520789152426456,1.4247690015037084,-0.5560091069273521,AVAXUSDT,LINKUSDT,2025-05,2025-05,0.20109023040210408,1.0
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-06,25,537.7914110429448,-0.618764436439823,-0.8704086976205524,0.32,-0.15469110910995576,-1.0132082692771178,-25.330206731927948,-0.2127235890783091,-32.63905819476476,7,0.4416391725327633,1.5294243897666915,-1.629676825242889,ETHUSDT,AVAXUSDT,2025-06,2025-06,,
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-07,23,667.0570719602978,0.16224293037535756,-0.2881888088213947,0.391304347826087,0.03731587398633224,0.31024213136188905,7.135569021323448,-0.11204364068798899,-12.25912916425408,11,1.2663361082134532,1.971378652811294,-1.0007728911906015,AVAXUSDT,XRPUSDT,2025-07,2025-07,0.6393733506753646,0.9999999999999998
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-08,15,236.174225415357,-0.9371834453508782,-1.4134983625398536,0.26666666666666666,-0.14057751680263172,-1.1352811426431748,-17.02921713964762,-0.1434152830904432,-17.721019733131588,4,0.14527479920335906,0.5973373227727058,-1.4951909973958177,SOLUSDT,ADAUSDT,2025-08,2025-08,,
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-09,9,147.5343618513324,-0.26777488365778196,0.3599405457610618,0.5555555555555556,-0.02409973952920038,-0.7579921137618507,-6.821929023856656,-0.05128244466275725,-12.30653018009682,3,0.6249168121700566,0.8030395863834191,-1.6062929712092837,ADAUSDT,SOLUSDT,2025-09,2025-09,,
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-10,45,594.3050847457627,-0.919201622402096,0.955766513396852,0.6,-0.4136407300809432,-1.248522087065432,-56.183493917944446,-0.9441760372949982,-108.6885802661057,14,0.5841666104407173,2.15217163713629,-5.526261511709675,SOLUSDT,LTCUSDT,2025-10,2025-10,,
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-11,30,613.0069930069931,0.696634390029152,-0.15933121936509048,0.4666666666666667,0.2089903170087456,0.5017436802142773,15.052310406428319,-0.16732266968106368,-18.294768901303016,10,1.7882439467915652,3.386602684994889,-1.6570878680658676,XRPUSDT,LTCUSDT,2025-11,2025-11,0.4261827997781398,0.9999999999999999
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-12,18,214.24032586558044,-2.4596649103878057,-2.9830479348478636,0.1111111111111111,-0.442739683869805,-3.0901675972035076,-55.62301674966314,-0.4019404985370982,-48.37593082032562,11,0.14161272064060232,3.652056168350584,-3.2236300452301045,AVAXUSDT,ADAUSDT,2025-12,2025-12,,
