symbol,timeframe,event_type,event_threshold,entry_mode,exit_model,friction_case,signal_time,entry_time,exit_time,event_return,raw_entry,entry,raw_exit,exit,atr_at_signal,risk,stop,target,gross_return,fee_return,net_return,gross_r,fee_r,net_r,exit_reason,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side
SOLUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-16 22:30:00+00:00,2025-06-16 22:45:00+00:00,2025-06-17 01:45:00+00:00,-0.024047968361293637,152.9,152.97645,151.54,151.46423,0.6892857142857147,0.6892857142857147,,,-0.009885312412466152,0.0007960458750350136,-0.010681358287501165,-2.193894300518153,0.17667023917098434,-2.3705645396891373,horizon,12,,,4.0,5.0
ETHUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-20 17:15:00+00:00,2025-06-20 17:30:00+00:00,2025-06-20 20:30:00+00:00,-0.0251749944526255,2409.11,2410.314555,2430.49,2429.274755,15.547142857142846,15.547142857142846,,,0.007866276192320498,0.0008031465104769282,0.00706312968184357,1.2195295414867224,0.12451392141872654,1.095015620067996,horizon,12,,,4.0,5.0
LINKUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-20 17:15:00+00:00,2025-06-20 17:30:00+00:00,2025-06-20 20:30:00+00:00,-0.02042259052705997,12.435,12.4412175,12.703,12.6966485,0.09771428571428549,0.09771428571428549,,,0.02053102921800054,0.0008082124116872003,0.01972281680631334,2.614059941520471,0.10290354502924001,2.511156396491231,horizon,12,,,4.0,5.0
SOLUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-20 17:15:00+00:00,2025-06-20 17:30:00+00:00,2025-06-20 20:30:00+00:00,-0.027090111755552315,137.86,137.92893,141.17,141.099415,0.9957142857142836,0.9957142857142836,,,0.022986366964493854,0.0008091945467857976,0.022177172417708058,3.184131276900996,0.11209173113342923,3.072039545767567,horizon,12,,,4.0,5.0
ETHUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-21 21:15:00+00:00,2025-06-21 21:30:00+00:00,2025-06-22 00:30:00+00:00,-0.02333138417843106,2297.51,2298.658755,2296.36,2295.2118200000004,11.9864285714286,11.9864285714286,,,-0.0014995418491334789,0.0007994001832603467,-0.0022989420323938255,-0.28756981109583857,0.15330239687742056,-0.4408722079732591,horizon,12,,,4.0,5.0
ADAUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-22 13:15:00+00:00,2025-06-22 13:30:00+00:00,2025-06-22 16:30:00+00:00,-0.03098643197653106,0.5274,0.5276637,0.5225,0.52223875,0.004500000000000004,0.004500000000000004,,,-0.010281074858854211,0.0007958875700564583,-0.01107696242891067,-1.2055444444444399,0.09332466222222213,-1.298869106666662,horizon,12,,,4.0,5.0
AVAXUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-22 13:15:00+00:00,2025-06-22 13:30:00+00:00,2025-06-22 16:30:00+00:00,-0.024449285887194416,16.079,16.0870395,16.005,15.996997499999999,0.1332857142857145,0.1332857142857145,,,-0.005597176534563819,0.0007977611293861744,-0.006394937663949994,-0.6755562700964649,0.09628649903536961,-0.7718427691318345,horizon,12,,,4.0,5.0
ETHUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-22 13:15:00+00:00,2025-06-22 13:30:00+00:00,2025-06-22 16:30:00+00:00,-0.029090008272250056,2181.82,2182.91091,2181.54,2180.44923,13.56642857142856,13.56642857142856,,,-0.0011277052071720917,0.0007995489179171313,-0.001927254125089223,-0.181453798767959,0.12865169685673683,-0.3101054956246958,horizon,12,,,4.0,5.0
LINKUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-22 13:15:00+00:00,2025-06-22 13:30:00+00:00,2025-06-22 16:30:00+00:00,-0.03447984450266195,11.403,11.4087015,11.346,11.340327,0.09150000000000004,0.09150000000000004,,,-0.005993188620107115,0.0007976027245519572,-0.006790791344659072,-0.7472622950819572,0.09944930491803275,-0.8467115999999899,horizon,12,,,4.0,5.0
LTCUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-22 13:15:00+00:00,2025-06-22 13:30:00+00:00,2025-06-22 16:30:00+00:00,-0.023382407521959636,78.43,78.469215,78.02,77.98099,0.4557142857142864,0.4557142857142864,,,-0.006221866753732708,0.000797511253298507,-0.007019378007031215,-1.0713401253918478,0.13732306394984306,-1.2086631893416908,horizon,12,,,4.0,5.0
