entry_mode,exit_model,friction_case,event_threshold,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,avg_net_return_pct,median_net_return_pct,win_rate,total_net_return_units,ev_per_trade_r,total_ev_r,max_drawdown_return_units,max_drawdown_r,max_losing_streak,profit_factor,average_win_pct,average_loss_pct,best_symbol,worst_symbol,best_month,worst_month,best_symbol_contribution,best_month_contribution
next_open,stop_1atr_horizon_12,base,-0.02,12,1.0,,4.0,5.0,AVAXUSDT,39,40.08136467553784,0.3725092712120359,-0.6196539059423806,0.3076923076923077,0.14527861577269402,-0.04983508062828859,-1.943568144503255,-0.1136319783643967,-15.246908853744769,12,1.586723614369247,3.2740715370334663,-0.9170739580419331,AVAXUSDT,AVAXUSDT,2025-10,2026-02,0.9999999999999997,1.5414812497834935
next_open,stop_1atr_horizon_12,base,-0.02,12,1.0,,4.0,5.0,LTCUSDT,43,53.256755324785416,-0.2796174279214349,-0.7390005046085367,0.27906976744186046,-0.120235494006217,-0.2306840580042049,-9.919414494180812,-0.1867637687968717,-20.225250526805084,10,0.62789830414858,1.6907488738221133,-1.042339867306034,LTCUSDT,LTCUSDT,2025-05,2025-07,,
next_open,stop_1atr_horizon_12,base,-0.02,12,1.0,,4.0,5.0,XRPUSDT,35,46.66844126706468,0.6416339204062798,-0.5748126611899923,0.42857142857142855,0.22457187214219793,0.4170526694397158,14.596843430390052,-0.0814458334804618,-7.62800329862229,6,2.023610318416625,2.959758868629174,-1.0969597907608903,XRPUSDT,XRPUSDT,2026-02,2025-07,0.9999999999999999,0.490124807443206
next_open,stop_1atr_horizon_12,base,-0.02,12,1.0,,4.0,5.0,SOLUSDT,42,45.64917392517281,-0.09306740803272906,-0.7036170972895508,0.23809523809523808,-0.03908831137374621,-0.3530039109631896,-14.826164260453963,-0.14634893146892647,-19.364916186728397,13,0.8663106314406925,2.5329328781382,-0.9136924974611444,SOLUSDT,SOLUSDT,2025-10,2025-11,,
next_open,stop_1atr_horizon_12,base,-0.02,12,1.0,,4.0,5.0,BNBUSDT,19,51.33821376281112,1.2955715726853505,-0.5220239092830726,0.3684210526315789,0.2461585988102166,0.40045266691522025,7.608600671389184,-0.04760686770464634,-4.520808729732521,4,3.149694978400492,5.152388796369949,-0.9542384744639989,BNBUSDT,BNBUSDT,2025-10,2025-12,1.0000000000000002,0.697949430293603
next_open,stop_1atr_horizon_12,base,-0.02,12,1.0,,4.0,5.0,BTCUSDT,5,15.458954236839785,1.6108067195158349,-0.4143949798717002,0.4,0.08054033597579174,0.5438007663225195,2.7190038316125973,-0.015143895984639735,-2.588674870460876,2,4.845450532852598,5.074232661894788,-0.6981439087368005,BTCUSDT,BTCUSDT,2026-02,2026-01,1.0,0.7598084585881053
next_close,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,ADAUSDT,55,56.52500146550208,-0.20162472486101543,-0.8875136113257379,0.2545454545454545,-0.11089359867355848,-0.5022267998359246,-27.62247399097585,-0.21795990712706137,-33.036147502399416,8,0.7525248098460842,2.408616169999167,-1.0929264938376633,ADAUSDT,ADAUSDT,2025-10,2025-07,,
next_close,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,AVAXUSDT,40,41.109091974910605,-0.16915945055329687,-0.8629711043832046,0.25,-0.06766378022131875,-0.5403486360526696,-21.613945442106782,-0.15153512732159835,-22.8558385983432,8,0.7771863224935557,2.3601497495456902,-1.0122625172529591,AVAXUSDT,AVAXUSDT,2025-10,2025-05,,
next_close,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,LINKUSDT,49,52.996175200493525,-0.12331767014466555,-1.0056556338518552,0.2653061224489796,-0.06042565837088612,-0.6125478111333722,-30.01484274553524,-0.13925485393962578,-28.72388801475899,7,0.8465778100329875,2.5648191159723854,-1.094033731798045,LINKUSDT,LINKUSDT,2025-10,2026-01,,
next_close,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,LTCUSDT,42,52.018226131185756,-0.3196188197675766,-0.8652728837096342,0.2619047619047619,-0.1342399043023822,-0.6919882334136508,-29.06350580337333,-0.171330631713789,-27.755911466325585,11,0.5885169883936994,1.7454043053131942,-1.0523689609252695,LTCUSDT,LTCUSDT,2026-02,2025-07,,
