entry_mode,model,allow_stacking,friction_case,event_threshold,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_drawdown_pct,worst_drawdown_start,worst_drawdown_end,max_losing_streak,average_win_pct,average_loss_pct,positive_month_rate,positive_symbol_rate,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,average_concurrent_positions,max_concurrent_positions
next_open,scaled_exit_6_12_stacked,True,stress,-0.02,12,8.0,10.0,2025-07,29,838.990099009901,0.48885046267642784,0.19387635942421005,0.14176663417616409,0.5517241379310345,1.8350592405551147,1.4345805570615593,7.71621569951822,-0.09582932931107477,-9.582932931107477,2025-07-11T19:00:00+00:00,2025-07-23T16:45:00+00:00,8,1.7581931662895318,-1.073417480232007,1.0,0.8333333333333334,2025-07,2025-07,LTCUSDT,XRPUSDT,1.0,0.34637122617693344,3.5,11
next_open,scaled_exit_6_12_stacked,True,stress,-0.02,12,8.0,10.0,2025-08,15,236.174225415357,-0.7425892064444033,-1.0447160245270437,-0.1113883809666605,0.26666666666666666,1.035392402745276,-2.777725258565673,-11.021987351121268,-0.1167244080741465,-11.672440807414649,2025-08-10T10:45:00+00:00,2025-08-24T22:45:00+00:00,8,0.651977748412819,-1.2497044627561202,0.0,0.2857142857142857,2025-08,2025-08,SOLUSDT,ADAUSDT,,,1.9,7
next_open,scaled_exit_6_12_stacked,True,stress,-0.02,12,8.0,10.0,2025-09,9,147.5343618513324,-0.5563554722696888,-0.1252015051391174,-0.050071992504271995,0.4444444444444444,1.1377320063271,-1.4670119215484276,-5.939624358811181,-0.0584477778628138,-5.84477778628138,2025-09-01T23:45:00+00:00,2025-09-22T09:15:00+00:00,3,0.4630232012929645,-1.3718584111198115,0.0,0.3333333333333333,2025-09,2025-09,ADAUSDT,SOLUSDT,,,1.6111111111111112,5
next_open,scaled_exit_6_12_stacked,True,stress,-0.02,12,8.0,10.0,2025-10,83,1096.1627118644067,1.0310023803885826,1.1758701900971658,0.8557319757225236,0.6144578313253012,8.204420832280764,1.1448557915889719,4.1605356877436535,-1.4191402941530744,-141.91402941530745,2025-10-10T09:45:00+00:00,2025-10-11T00:15:00+00:00,18,4.778986713274816,-4.94234765014885,1.0,0.7777777777777778,2025-10,2025-10,ADAUSDT,LTCUSDT,0.9999999999999999,0.4316309078919043,13.283132530120483,43
next_open,scaled_exit_6_12_stacked,True,stress,-0.02,12,8.0,10.0,2025-11,31,633.4405594405595,0.48365447295240815,-0.30356206174079287,0.14993288661524654,0.45161290322580644,2.7476846817672014,0.980052098516561,4.430178754059212,-0.18592591168820452,-18.59259116882045,2025-11-09T15:00:00+00:00,2025-11-21T10:45:00+00:00,11,2.944882927810765,-1.5432395486956496,1.0,0.625,2025-11,2025-11,XRPUSDT,LTCUSDT,0.9999999999999998,0.5390301658440021,2.0483870967741935,7
next_open,scaled_exit_6_12_stacked,True,stress,-0.02,12,8.0,10.0,2025-12,19,226.14256619144604,-2.0892787605047003,-2.6476711629618017,-0.3969629644958931,0.15789473684210525,1.979247374516468,-4.601221201140027,-15.874039980940408,-0.3584845444085178,-35.84845444085178,2025-12-01T03:15:00+00:00,2025-12-31T19:45:00+00:00,10,1.8266034588386018,-2.82350667663157,0.0,0.0,2025-12,2025-12,AVAXUSDT,ADAUSDT,,,2.5526315789473686,8
next_open,scaled_exit_6_12_stacked,True,stress,-0.02,12,8.0,10.0,2026-01,49,712.3283582089551,-0.2123010680727435,0.031203014764240734,-0.1040275233556443,0.5102040816326531,1.7125425963593406,-0.8677784013480833,-3.3086506485458504,-0.23952626522192566,-23.952626522192567,2026-01-21T19:45:00+00:00,2026-01-31T20:15:00+00:00,12,1.097843689605124,-1.5770351906538553,0.0,0.3333333333333333,2026-01,2026-01,XRPUSDT,SOLUSDT,,,4.214285714285714,13
next_open,scaled_exit_6_12_stacked,True,stress,-0.02,12,8.0,10.0,2026-02,50,694.3366336633663,0.633963196661656,-0.6410863672659205,0.316981598330828,0.38,3.972405574557166,1.1284841564349353,4.205285674091131,-0.38264755810610074,-38.264755810610076,2026-02-02T06:30:00+00:00,2026-02-05T23:30:00+00:00,11,4.613813282902983,-1.8052997594217386,1.0,0.8888888888888888,2026-02,2026-02,BTCUSDT,LTCUSDT,1.0,0.19397178804555312,4.74,16
next_open,scaled_exit_6_12_stacked,True,stress,-0.02,12,8.0,10.0,2026-03,7,139.69721115537848,0.01623191862428109,0.002327750489676951,0.0011362343036996764,0.5714285714285714,0.499384742774181,0.08599706058842334,0.38417442968471543,-0.00936614985691963,-0.936614985691963,2026-03-07T17:15:00+00:00,2026-03-22T03:00:00+00:00,2,0.28845869375433186,-0.34673711488245335,1.0,0.6,2026-03,2026-03,ADAUSDT,SOLUSDT,0.9999999999999997,3.622849575035189,1.9285714285714286,5
next_open,scaled_exit_6_12_stacked,True,stress,-0.02,12,8.0,10.0,2026-04,7,112.17915904936015,-0.49542708172093186,-0.7613082565666295,-0.03467989572046523,0.2857142857142857,1.11931964070888,-1.171047843107557,-4.687936372126948,-0.03224050472648681,-3.224050472648681,2026-04-07T02:15:00+00:00,2026-04-12T04:45:00+00:00,5,0.9659184401052668,-1.0799652904514112,0.0,0.2,2026-04,2026-04,ADAUSDT,AVAXUSDT,,,1.5,4
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2025-05,40,706.5793450881612,0.00834478225283381,0.2951079387679601,0.003337912901133524,0.6,1.2916831311883632,0.040859120723870074,0.1717273585400778,-0.08059517772789693,-8.059517772789693,2025-05-09T17:30:00+00:00,2025-05-12T17:30:00+00:00,6,0.9013707015998401,-1.3311940967676759,1.0,0.7142857142857143,2025-05,2025-05,AVAXUSDT,LINKUSDT,1.0000000000000004,9.522346420531644,3.075,7
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2025-06,28,602.3263803680982,-0.23337636604428563,-0.9783346794287582,-0.06534538249239998,0.35714285714285715,1.593884879243496,-0.7747809574882484,-3.5934852348627433,-0.1498245838396395,-14.982458383963952,2025-06-05T23:45:00+00:00,2025-06-22T16:30:00+00:00,6,1.587652236533088,-1.2450589230317155,0.0,0.2857142857142857,2025-06,2025-06,LINKUSDT,ADAUSDT,,,2.2857142857142856,7
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2025-07,29,838.990099009901,-0.128995667703799,-0.8494175730035056,-0.03740874363410171,0.3448275862068966,2.134286677883134,-0.32547779883080563,-1.7506558895006175,-0.2805995978172289,-28.05995978172289,2025-07-11T19:00:00+00:00,2025-07-24T06:30:00+00:00,19,2.4319085418312714,-1.4768399885117311,0.0,0.16666666666666666,2025-07,2025-07,XRPUSDT,ADAUSDT,,,2.4655172413793105,6
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,2025-08,15,236.174225415357,-1.3788656412980858,-1.6804707062990734,-0.20682984619471287,0.13333333333333333,0.9500415418404397,-5.621147529043534,-22.304659819343176,-0.19666294046294264,-19.666294046294265,2025-08-05T14:15:00+00:00,2025-08-24T20:00:00+00:00,9,0.7540233394129815,-1.7070024075613268,0.0,0.0,2025-08,2025-08,SOLUSDT,ADAUSDT,,,1.9,7
