entry_mode,model,allow_stacking,friction_case,event_threshold,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_drawdown_pct,worst_drawdown_start,worst_drawdown_end,max_losing_streak,average_win_pct,average_loss_pct,positive_month_rate,positive_symbol_rate,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,average_concurrent_positions,max_concurrent_positions
next_open,pure_horizon_6_stacked,True,stress,-0.02,6,8.0,10.0,ADAUSDT,60,61.663637962365904,0.4244634401237872,0.038485909433676614,0.2546780640742723,0.5166666666666667,5.5600031486353325,0.591344929391571,0.5994870743139888,-0.33341231142241723,-33.341231142241725,2025-05-30T02:30:00+00:00,2025-10-10T22:45:00+00:00,8,2.719122916596391,-2.0284484140365837,0.5,1.0,2025-10,2025-12,ADAUSDT,ADAUSDT,1.0435951064864175,1.0,0.65,4
next_open,pure_horizon_6_stacked,True,stress,-0.02,6,8.0,10.0,AVAXUSDT,46,47.27545577114719,-0.24166241551814754,0.21403473099243414,-0.11116471113834787,0.5434782608695652,4.323624745015719,-0.3790879975078065,-0.3843076066743778,-0.36028144290612646,-36.028144290612644,2025-06-05T22:15:00+00:00,2025-10-10T22:45:00+00:00,5,1.8279860579597926,-2.70552964584903,0.3333333333333333,0.0,2026-02,2025-10,AVAXUSDT,AVAXUSDT,,,0.8043478260869565,5
next_open,pure_horizon_6_stacked,True,stress,-0.02,6,8.0,10.0,LINKUSDT,55,59.48550277606416,0.46592719153776274,-0.12710758639311134,0.2562599553457695,0.4727272727272727,5.224766265475417,0.6613517921006308,0.6877914270638694,-0.29603566630022793,-29.603566630022794,2025-06-05T22:15:00+00:00,2025-10-10T22:45:00+00:00,4,3.0929376100213917,-1.8893235284820433,0.5,1.0,2025-10,2025-06,LINKUSDT,LINKUSDT,0.8606605950807737,0.9999999999999998,0.7545454545454545,5
next_open,pure_horizon_6_stacked,True,stress,-0.02,6,8.0,10.0,LTCUSDT,50,61.92645967998305,-0.3174876892965865,-0.1931077250015077,-0.15874384464829325,0.48,4.66507698220465,-0.4812304253525298,-0.535557618079723,-0.39914910821506683,-39.91491082150668,2025-07-24T08:15:00+00:00,2025-10-10T22:45:00+00:00,6,2.06356495264781,-2.5153824357067993,0.3,0.0,2025-05,2025-10,LTCUSDT,LTCUSDT,,,0.82,5
next_open,pure_horizon_6_stacked,True,stress,-0.02,6,8.0,10.0,XRPUSDT,41,54.66874548427577,0.42446487759628343,0.25799491256193646,0.1740305998144762,0.6097560975609756,4.815429183996579,0.5644151833253624,0.6517429076649152,-0.23259888350577523,-23.259888350577523,2025-05-30T02:30:00+00:00,2025-10-10T22:30:00+00:00,2,2.4960873958142313,-2.812445307119261,0.7,1.0,2025-11,2025-12,XRPUSDT,XRPUSDT,0.4586662290745973,0.9999999999999999,0.6951219512195121,3
next_open,pure_horizon_6_stacked,True,stress,-0.02,6,8.0,10.0,ETHUSDT,41,44.34647418101055,-0.006266428060684176,-0.3404338622298673,-0.002569235504880512,0.3902439024390244,2.2626513287574785,-0.017733495606470848,-0.018443017210850596,-0.12469736294160719,-12.469736294160718,2025-10-29T20:15:00+00:00,2026-01-31T18:45:00+00:00,4,1.9672155431241252,-1.2692948896189622,0.4,0.0,2026-02,2025-12,ETHUSDT,ETHUSDT,,,0.6219512195121951,3
next_open,pure_horizon_6_stacked,True,stress,-0.02,6,8.0,10.0,SOLUSDT,47,51.08359939245529,0.1593717302594583,0.13873606200760963,0.0749047132219454,0.5957446808510638,2.468977648627798,0.4425303470585773,0.46135462061643034,-0.1211832552446751,-12.11832552446751,2025-05-30T02:30:00+00:00,2025-10-10T22:30:00+00:00,4,1.4734410235627033,-1.7771514388190073,0.5,1.0,2026-02,2025-06,SOLUSDT,SOLUSDT,1.0989348352334447,1.0000000000000004,0.6914893617021277,4
next_open,pure_horizon_6_stacked,True,stress,-0.02,6,8.0,10.0,BNBUSDT,22,59.44424751483393,0.5292158422778928,0.35868799421708186,0.1164274853011364,0.5454545454545454,4.098623974992986,0.6056282162290105,0.9955192844177155,-0.06413054941299838,-6.413054941299838,2025-10-11T03:00:00+00:00,2025-10-14T08:00:00+00:00,2,3.113009978497353,-2.571337121185459,0.8,1.0,2026-02,2025-12,BNBUSDT,BNBUSDT,0.5899190659277528,0.9999999999999998,0.9090909090909091,4
next_open,pure_horizon_6_stacked,True,stress,-0.02,6,8.0,10.0,BTCUSDT,5,15.458954236839785,2.1350248542922827,0.07970400099317945,0.10675124271461413,0.8,4.012190440956627,1.1898888594906398,2.0922397649192472,0.0,0.0,2025-10-10T22:30:00+00:00,2025-10-10T22:30:00+00:00,1,2.9895728904994083,-1.2831672905362201,1.0,1.0,2026-02,2026-01,BTCUSDT,BTCUSDT,0.8228332857589914,1.0,0.7,2
next_close,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,ADAUSDT,60,61.663637962365904,0.7898028518347162,-0.07580404087983487,0.47388171110082966,0.45,5.296442275706145,1.1550747209966163,1.1709787819044393,-0.18827533547392056,-18.827533547392054,2025-11-05T04:30:00+00:00,2026-02-05T23:30:00+00:00,8,3.3071841375554882,-1.2698727455731884,0.5833333333333334,1.0,2025-10,2025-12,ADAUSDT,ADAUSDT,1.0370705429712217,1.0000000000000004,0.75,5
