symbol,timeframe,entry_mode,model,allow_stacking,friction_case,event_threshold,signal_time,signal_return,entry_time,exit_time,entry_price,exit_price,atr_14_prior,stop,horizon_bars,exit_reason,exit_legs,gross_return,fee_return,net_return,net_return_pct,taker_fee_bps_per_side,slippage_bps_per_side
SOLUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-21 17:15:00+00:00,-0.034000231294090355,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,166.98345,169.99496000000002,1.6207142857142895,,12,horizon,horizon:1.0@2025-05-21T20:30:00+00:00,0.018034781291199842,0.0008,0.01723478129119984,1.7234781291199839,4.0,5.0
XRPUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-21 17:15:00+00:00,-0.025503634475597226,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,2.3466727499999998,2.3759114500000003,0.015271428571428634,,12,horizon,horizon:1.0@2025-05-21T20:30:00+00:00,0.012459640995959198,0.0008,0.0116596409959592,1.16596409959592,4.0,5.0
ADAUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-23 11:45:00+00:00,-0.02882703777335982,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,0.7705850999999999,0.7812092,0.004892857142857151,,12,horizon,horizon:1.0@2025-05-23T15:00:00+00:00,0.013787056095426964,0.0008,0.012987056095426965,1.2987056095426965,4.0,5.0
AVAXUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-23 11:45:00+00:00,-0.034353405725567665,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,24.050019,24.789599000000003,0.1970714285714286,,12,horizon,horizon:1.0@2025-05-23T15:00:00+00:00,0.03075174285725102,0.0008,0.029951742857251017,2.995174285725102,4.0,5.0
ETHUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-23 11:45:00+00:00,-0.024377999710962883,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,2544.05139,2574.122295,14.189285714285688,,12,horizon,horizon:1.0@2025-05-23T15:00:00+00:00,0.011820085521149881,0.0008,0.011020085521149883,1.1020085521149883,4.0,5.0
LINKUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-23 11:45:00+00:00,-0.033386704619581264,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,16.057024499999997,16.3088415,0.12321428571428582,,12,horizon,horizon:1.0@2025-05-23T15:00:00+00:00,0.015682668977680336,0.0008,0.014882668977680338,1.4882668977680338,4.0,5.0
LTCUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-23 11:45:00+00:00,-0.028628428927680805,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,96.31813499999998,98.940505,0.5371428571428579,,12,horizon,horizon:1.0@2025-05-23T15:00:00+00:00,0.027226129326528348,0.0008,0.026426129326528346,2.6426129326528347,4.0,5.0
SOLUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-23 11:45:00+00:00,-0.030890765459003044,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,176.037975,181.58916000000002,1.2257142857142813,,12,horizon,horizon:1.0@2025-05-23T15:00:00+00:00,0.03153401986133986,0.0008,0.030734019861339855,3.0734019861339856,4.0,5.0
XRPUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-23 11:45:00+00:00,-0.023885284515889227,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,2.3371679999999997,2.36371755,0.009249999999999916,,12,horizon,horizon:1.0@2025-05-23T15:00:00+00:00,0.011359709699944709,0.0008,0.01055970969994471,1.055970969994471,4.0,5.0
ADAUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-30 00:45:00+00:00,-0.04249134948096889,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,0.7040518499999999,0.7059468500000001,0.0037714285714285844,,12,horizon,horizon:1.0@2025-05-30T04:00:00+00:00,0.0026915631284829544,0.0008,0.0018915631284829543,0.18915631284829543,4.0,5.0
