entry_mode,model,allow_stacking,friction_case,event_threshold,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_drawdown_pct,worst_drawdown_start,worst_drawdown_end,max_losing_streak,average_win_pct,average_loss_pct,positive_month_rate,positive_symbol_rate,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,average_concurrent_positions,max_concurrent_positions
next_close,pure_horizon_6_stacked,True,stress,-0.02,6,8.0,10.0,367,377.1759188698048,0.3463070133704236,-0.12814443354411495,1.2709467390694544,0.4604904632152589,3.9130841239263434,1.695411538559375,1.71875542089264,-0.860156897044818,-86.0156897044818,2025-06-05T22:15:00+00:00,2025-10-10T22:30:00+00:00,14,2.4702677209700736,-1.4665685400858435,0.5833333333333334,0.8888888888888888,2025-10,2025-06,LINKUSDT,LTCUSDT,0.7384960056162579,0.29744731021116644,4.516348773841962,35
next_open,wide_stop_2atr_horizon_12_stacked,True,stress,-0.02,12,8.0,10.0,367,377.1759188698048,0.3265546567659767,-1.002163426680065,1.1984555903311347,0.3978201634877384,4.0901329622724125,1.5295070640778923,1.550566631103177,-1.114546358919953,-111.4546358919953,2025-06-05T23:45:00+00:00,2025-10-10T21:15:00+00:00,23,3.4324949433774297,-1.7253334963800506,0.25,0.6666666666666666,2025-10,2025-12,LINKUSDT,SOLUSDT,1.6239379483917726,0.377043514855929,3.6416893732970026,26
next_open,pure_horizon_12_stacked,True,stress,-0.02,12,8.0,10.0,367,377.1759188698048,0.264855992779212,-0.04486662666757888,0.972021493499708,0.49591280653950953,4.658827998284631,1.0890959907663669,1.1040915998440803,-1.4801774683841715,-148.01774683841714,2025-07-24T09:45:00+00:00,2025-10-11T00:15:00+00:00,21,3.0277141031699637,-2.453199013118716,0.4166666666666667,0.6666666666666666,2025-10,2025-12,LINKUSDT,LTCUSDT,1.280668200773637,0.4237913551347033,5.5272479564032695,43
next_open,scaled_exit_6_12_stacked,True,stress,-0.02,12,8.0,10.0,367,377.1759188698048,0.22923647992920984,0.002327750489676951,0.8412978813402001,0.5013623978201635,4.438656191555703,0.989384850749864,1.0030075512051442,-1.6582319127105747,-165.82319127105748,2025-06-05T23:45:00+00:00,2025-10-11T00:15:00+00:00,18,2.6301502978120577,-2.1847970855923418,0.5,0.6666666666666666,2025-10,2025-12,LINKUSDT,LTCUSDT,1.0171569365648818,0.39712108880603947,5.5272479564032695,43
next_close,wide_stop_2atr_horizon_12_stacked,True,stress,-0.02,12,8.0,10.0,367,377.1759188698048,0.21201689350794437,-0.9001178995931179,0.7781019991741558,0.4032697547683924,4.041777692810985,1.0049190437021631,1.0187556322690745,-1.2419642655704224,-124.19642655704224,2025-05-09T17:30:00+00:00,2025-10-10T22:00:00+00:00,27,3.049428323955811,-1.7055031599454078,0.4166666666666667,0.6666666666666666,2025-10,2025-08,LINKUSDT,SOLUSDT,1.9453033908243538,0.407838022424547,4.213896457765667,28
next_open,pure_horizon_6_stacked,True,stress,-0.02,6,8.0,10.0,367,377.1759188698048,0.19361696707920756,0.06137173535099475,0.7105742691806918,0.5204359673024523,4.401239670078144,0.8427551714212481,0.8543589485042594,-1.8550097242388859,-185.50097242388858,2025-06-05T22:15:00+00:00,2025-10-10T22:45:00+00:00,18,2.3266114771552346,-2.121166847832845,0.4166666666666667,0.6666666666666666,2026-02,2025-12,LINKUSDT,LTCUSDT,0.9388466491560321,0.3606378199442023,4.516348773841962,35
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,303,311.4013717099478,0.10220522430928701,0.019273749044792583,0.30968182965713964,0.5115511551155115,2.6355445070632535,0.6750315246801344,0.6843259385289201,-0.6301897928591185,-63.01897928591185,2025-06-05T23:45:00+00:00,2025-10-11T00:00:00+00:00,13,1.8064691683647056,-1.6826657981811848,0.4166666666666667,0.7777777777777778,2026-02,2025-12,ETHUSDT,LTCUSDT,1.2484326464424846,0.4137665858626018,2.740924092409241,9
next_open,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,303,311.4013717099478,-0.05190368537561289,0.007289428304204716,-0.15726816668810706,0.5016501650165016,3.2860433242488636,-0.27494525236745027,-0.2787309347657247,-1.22484757332366,-122.48475733236599,2025-06-05T23:45:00+00:00,2025-10-11T00:00:00+00:00,14,2.2166651466412146,-2.335496152041558,0.5,0.4444444444444444,2025-05,2025-12,XRPUSDT,LTCUSDT,,,2.740924092409241,9
next_close,pure_horizon_12_single_position,False,stress,-0.02,12,8.0,10.0,303,311.4013717099478,-0.07792696488651824,-0.16077555007934605,-0.23611870360615025,0.46204620462046203,2.6329102783534313,-0.5151966328128526,-0.5222903025805461,-0.9678077198970304,-96.78077198970304,2025-06-05T23:45:00+00:00,2026-02-05T23:30:00+00:00,14,1.8111674581967416,-1.700462052197294,0.3333333333333333,0.5555555555555556,2026-02,2025-12,ETHUSDT,LTCUSDT,,,2.740924092409241,9
next_open,pure_horizon_12_single_position,False,stress,-0.02,12,8.0,10.0,303,311.4013717099478,-0.231881842600704,-0.17274789248235653,-0.7026019830801331,0.47194719471947194,3.2827589214837958,-1.2295581326920662,-1.2464877451894905,-1.5932867812355052,-159.3286781235505,2025-06-05T23:45:00+00:00,2026-02-05T23:30:00+00:00,16,2.1697797474875142,-2.378366888742048,0.3333333333333333,0.2222222222222222,2025-05,2025-10,XRPUSDT,LTCUSDT,,,2.740924092409241,9
