timeframe,param_id,exit_model,friction_case,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
15m,fz2_react0_body0.25_cl0.6_cs0.4,model_b,base,2.0,0.0,0.25,0.6,0.4,1.2,2.0,1889,-0.44050377950130637,-832.1116394779677,-859.3365377662316,0.47223386279209145,1726,-0.45260991090757974,-781.2047062264826,-809.4469034304512,0.4481291983045641,-0.012106131406273368,-163
15m,fz2_react0_body0.25_cl0.6_cs0.4,model_b,stress,2.0,0.0,0.25,0.6,0.4,1.2,2.0,1980,-0.8767050948911232,-1735.8760878844241,-1744.7115331135085,0.24208442527235705,1818,-0.9016613280193397,-1639.2202943391596,-1646.4853121572826,0.21908430357933734,-0.024956233128216487,-162
15m,fz2_react0_body0.25_cl0.7_cs0.3,model_a,base,2.0,0.0,0.25,0.7,0.3,1.0,1.5,2202,-0.5283414624936024,-1163.4079004109124,-1189.1571894836777,0.38950300706623847,2029,-0.5248969068470495,-1065.0158239926634,-1085.015831985634,0.38497172947579944,0.0034445556465528826,-173
15m,fz2_react0_body0.25_cl0.7_cs0.3,model_a,stress,2.0,0.0,0.25,0.7,0.3,1.0,1.5,2316,-1.0350103719330803,-2397.084021397014,-2401.607331962413,0.16961971866651604,2091,-1.016917258962841,-2126.3739884913007,-2132.1960130749426,0.16790434647044558,0.0180931129702393,-225
15m,fz2_react0_body0.25_cl0.7_cs0.3,model_b,base,2.0,0.0,0.25,0.7,0.3,1.2,2.0,1777,-0.448517957649174,-797.0164107425823,-823.4329912897002,0.46629552159578636,1627,-0.45817972281812513,-745.4584090250896,-774.9423575124567,0.4442984128961224,-0.00966176516895112,-150
15m,fz2_react0_body0.25_cl0.7_cs0.3,model_b,stress,2.0,0.0,0.25,0.7,0.3,1.2,2.0,1850,-0.8805035577835948,-1628.9315818996504,-1640.6781946013703,0.24087445247615927,1705,-0.9043227286809078,-1541.8702524009477,-1551.345497855634,0.21928286237355363,-0.023819170897313002,-145
15m,fz2_react0_body0.5_cl0.6_cs0.4,model_a,base,2.0,0.0,0.5,0.6,0.4,1.0,1.5,1996,-0.525799003000044,-1049.4948099880878,-1062.9782062519087,0.3965037838063133,1851,-0.5188361411361412,-960.3656972429973,-965.5857988872747,0.3954189542628979,0.006962861863902825,-145
15m,fz2_react0_body0.5_cl0.6_cs0.4,model_a,stress,2.0,0.0,0.5,0.6,0.4,1.0,1.5,2089,-1.0437510018155294,-2180.395842792641,-2183.8916241708293,0.17240728184994794,1897,-1.0160916266097078,-1927.5258156786156,-1926.148095667258,0.1713085112227332,0.027659375205821624,-192
15m,fz2_react0_body0.5_cl0.6_cs0.4,model_b,base,2.0,0.0,0.5,0.6,0.4,1.2,2.0,1633,-0.4773431696663342,-779.5013960651238,-806.4825308867639,0.44308675838059514,1508,-0.45570438661710216,-687.2022150185901,-710.9416633965445,0.4520915983892841,0.021638783049232058,-125
15m,fz2_react0_body0.5_cl0.6_cs0.4,model_b,stress,2.0,0.0,0.5,0.6,0.4,1.2,2.0,1702,-0.9028657778747604,-1536.6775539428422,-1547.8499302050545,0.23478243135917198,1582,-0.8958454555544308,-1417.2275106871095,-1422.9350095957984,0.22609027403465137,0.007020322320329564,-120
15m,fz2_react0_body0.5_cl0.7_cs0.3,model_a,base,2.0,0.0,0.5,0.7,0.3,1.0,1.5,1857,-0.526136547901327,-977.0355694527642,-992.4858924601111,0.3963881330116894,1738,-0.5325384671088215,-925.5518558351317,-930.8397711919627,0.3838530330028943,-0.006401919207494444,-119
15m,fz2_react0_body0.5_cl0.7_cs0.3,model_a,stress,2.0,0.0,0.5,0.7,0.3,1.0,1.5,1938,-1.0387788930892128,-2013.1534948068945,-2016.6492761850832,0.1748486625165995,1779,-1.0277908617467817,-1828.4399430475248,-1827.0622230361644,0.16597993699006633,0.010988031342431093,-159
15m,fz2_react0_body0.5_cl0.7_cs0.3,model_b,base,2.0,0.0,0.5,0.7,0.3,1.2,2.0,1537,-0.47967931466898944,-737.2671066462368,-763.0227200776428,0.44267194957561284,1423,-0.47090905340228506,-670.1035829914516,-693.8814951218009,0.4386099957566487,0.008770261266704382,-114
15m,fz2_react0_body0.5_cl0.7_cs0.3,model_b,stress,2.0,0.0,0.5,0.7,0.3,1.2,2.0,1589,-0.897309964327551,-1425.8255333164784,-1437.0120871151048,0.23690918996354718,1489,-0.9044327341098968,-1346.7003410896364,-1352.4078399983237,0.2199742920667933,-0.007122769782345828,-100
1h,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,1.5,0.25,0.25,0.6,0.4,1.0,1.5,1239,-0.2138041136887594,-264.9032968603729,-277.99637287785634,0.6512953920802427,1141,-0.24911254407514577,-284.2374127897413,-291.8882924263224,0.5905091849047561,-0.03530843038638637,-98
1h,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,stress,1.5,0.25,0.25,0.6,0.4,1.0,1.5,1254,-0.4375120641104799,-548.6401283945418,-555.8621920525711,0.4203195779866844,1154,-0.45175366975692827,-521.3237348994952,-523.1230120903228,0.38905061770340765,-0.014241605646448385,-100
1h,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_b,base,1.5,0.25,0.25,0.6,0.4,1.2,2.0,1110,-0.16579597450847972,-184.0335317044125,-191.99642100840387,0.7236851924121175,1042,-0.1883409666951179,-196.25128729631285,-207.8141139481944,0.6747875026796805,-0.02254499218663819,-68
1h,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_b,stress,1.5,0.25,0.25,0.6,0.4,1.2,2.0,1120,-0.3537131777283861,-396.1587590557925,-402.5411598541047,0.5062239378335648,1052,-0.3665363698104624,-385.59626104060646,-391.62266099809625,0.4732150312998441,-0.012823192082076273,-68
1h,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,1.5,0.25,0.25,0.7,0.3,1.0,1.5,1113,-0.22191561061370177,-246.99207461305008,-255.6335765782778,0.6386409721400613,1038,-0.2243345587148007,-232.85927194596314,-238.49240395918866,0.6231331526177885,-0.002418948101098939,-75
1h,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,stress,1.5,0.25,0.25,0.7,0.3,1.0,1.5,1127,-0.4405922986261536,-496.5475205516751,-501.2943625306947,0.41610240777331875,1047,-0.42361685382620917,-443.52684595604103,-446.5668124137096,0.4154291546220834,0.01697544479994445,-80
1h,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_b,base,1.5,0.25,0.25,0.7,0.3,1.2,2.0,1014,-0.18239407631427074,-184.94759338267053,-191.01475179695464,0.6961390428012231,956,-0.16395678434435915,-156.74268583320733,-164.30563656407122,0.7102324236241563,0.01843729196991159,-58
1h,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_b,stress,1.5,0.25,0.25,0.7,0.3,1.2,2.0,1021,-0.36887658756367353,-376.6229959025107,-381.2140049900192,0.4856276407338239,961,-0.3413311565906248,-328.0192414835904,-334.04564144108065,0.49802562187165256,0.027545430973048735,-60
1h,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,1.5,0.25,0.5,0.6,0.4,1.0,1.5,1039,-0.2215946262422362,-230.2368166656834,-243.67897227356983,0.6416306146795684,972,-0.21752064886066452,-211.43007069256592,-218.762523089011,0.6286287588553754,0.0040739773815716696,-67
1h,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,stress,1.5,0.25,0.5,0.6,0.4,1.0,1.5,1048,-0.4404045597910199,-461.54397866098884,-467.4932272537982,0.41826020822562626,979,-0.4165987129555268,-407.85013998346074,-409.94973372401887,0.4141616213679366,0.023805846835493083,-69
1h,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_b,base,1.5,0.25,0.5,0.6,0.4,1.2,2.0,948,-0.17818166921741108,-168.9162224181057,-174.47217121452584,0.7037299572089046,901,-0.1679316241989395,-151.3063934032445,-167.81189623043963,0.7020870272453423,0.01025004501847157,-47
1h,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_b,stress,1.5,0.25,0.5,0.6,0.4,1.2,2.0,955,-0.3640863051588634,-347.7024214267146,-351.7283150138291,0.4910929727137528,910,-0.3398737072587708,-309.28507360548144,-314.8047803515311,0.4948351984720259,0.024212597900092614,-45
1h,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,1.5,0.25,0.5,0.7,0.3,1.0,1.5,956,-0.2275598410020589,-217.54720799796831,-229.39050676529746,0.631431946369877,903,-0.20842593512824042,-188.2086194208011,-195.06424764092526,0.6409714468784795,0.01913390587381847,-53
1h,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,stress,1.5,0.25,0.5,0.7,0.3,1.0,1.5,962,-0.43853241203576,-421.8681803784011,-425.33159528730675,0.4176352185478802,908,-0.4092369388610668,-371.5871404858487,-372.4376387262053,0.42100044281375526,0.029295473174693165,-54
1h,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_b,base,1.5,0.25,0.5,0.7,0.3,1.2,2.0,877,-0.18679128500669173,-163.81595695086864,-169.7470643853914,0.687892566930899,840,-0.15875962679038816,-133.35808650392605,-143.02258029732127,0.7151051947067742,0.028031658216303573,-37
1h,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_b,stress,1.5,0.25,0.5,0.7,0.3,1.2,2.0,883,-0.3686340977500217,-325.50390831326916,-329.5298019003838,0.4826587972161195,844,-0.32583472731228413,-275.00450985156783,-280.5242165976175,0.5082191674494467,0.04279937043773757,-39
1h,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,1.5,0.0,0.25,0.6,0.4,1.0,1.5,1306,-0.19955820819998954,-260.6230199091863,-271.6135120150777,0.667816705407871,1202,-0.2466632578329358,-296.48923591518883,-304.5090936197013,0.5927596183037236,-0.04710504963294626,-104
1h,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,stress,1.5,0.0,0.25,0.6,0.4,1.0,1.5,1326,-0.4283179977349886,-567.9496649965948,-575.5590013430163,0.42517862231874165,1217,-0.4477084498042551,-544.8611834117785,-547.0485322170455,0.3915037785407348,-0.01939045206926654,-109
1h,fz1.5_react0_body0.25_cl0.6_cs0.4,model_b,base,1.5,0.0,0.25,0.6,0.4,1.2,2.0,1152,-0.16709615570584985,-192.49477137313903,-200.6894827829443,0.718572263686109,1083,-0.18065372297588464,-195.64798198288307,-207.44329591376882,0.6837180285177646,-0.013557567270034793,-69
1h,fz1.5_react0_body0.25_cl0.6_cs0.4,model_b,stress,1.5,0.0,0.25,0.6,0.4,1.2,2.0,1162,-0.35390718758991013,-411.24015197947557,-417.85487498105044,0.5003335770436039,1096,-0.35858523064921155,-393.00941279153585,-399.2688007239948,0.47785093334190215,-0.004678043059301418,-66
1h,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,1.5,0.0,0.25,0.7,0.3,1.0,1.5,1169,-0.21743345592515442,-254.17970997650553,-262.9115773900166,0.6427092823193488,1094,-0.22489215476675448,-246.0320173148294,-252.05271785555365,0.6220504710962255,-0.007458698841600053,-75
1h,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,stress,1.5,0.0,0.25,0.7,0.3,1.0,1.5,1189,-0.4423400187584227,-525.9422823037646,-531.0763969711763,0.4132508148938922,1107,-0.42945414532171344,-475.4057388711368,-478.8337769432451,0.4096551415640669,0.012885873436709272,-82
1h,fz1.5_react0_body0.25_cl0.7_cs0.3,model_b,base,1.5,0.0,0.25,0.7,0.3,1.2,2.0,1054,-0.18602687851979754,-196.0723299598666,-202.37131047996462,0.6892066028099951,998,-0.16110156173909634,-160.77935861561815,-168.57479662548633,0.7130733589879226,0.0249253167807012,-56
1h,fz1.5_react0_body0.25_cl0.7_cs0.3,model_b,stress,1.5,0.0,0.25,0.7,0.3,1.2,2.0,1062,-0.36957675749800073,-392.49051646287677,-397.3138477536479,0.48170630631366057,1007,-0.3413885128145427,-343.7782324042445,-350.0376203367037,0.496001675401176,0.02818824468345804,-55
1h,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,1.5,0.0,0.5,0.6,0.4,1.0,1.5,1054,-0.21896231359905466,-230.78627853340362,-244.20047186030857,0.6435651337026461,983,-0.21398377726262194,-210.34605304915738,-216.26888334676687,0.6315044215158171,0.004978536336432721,-71
1h,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,stress,1.5,0.0,0.5,0.6,0.4,1.0,1.5,1064,-0.4392946612837809,-467.4095196059429,-473.35876819875233,0.41683114912690494,990,-0.41280022653916054,-408.67222427376896,-410.7718180143272,0.4152845614900263,0.026494434744620377,-74
1h,fz1.5_react0_body0.5_cl0.6_cs0.4,model_b,base,1.5,0.0,0.5,0.6,0.4,1.2,2.0,957,-0.17696145331358556,-169.35211082110138,-174.9080596175216,0.7037843963841766,910,-0.1638484519097915,-149.10209123791026,-164.06359273485452,0.7064512362893788,0.013113001403794067,-47
1h,fz1.5_react0_body0.5_cl0.6_cs0.4,model_b,stress,1.5,0.0,0.5,0.6,0.4,1.2,2.0,964,-0.36212805342360016,-349.0914435003506,-353.11733708746533,0.49083868455639806,919,-0.33525129139068005,-308.095936788035,-313.61564353408465,0.49730481534956666,0.02687676203292011,-45
1h,fz1.5_react0_body0.5_cl0.7_cs0.3,model_a,base,1.5,0.0,0.5,0.7,0.3,1.0,1.5,967,-0.22570022281810778,-218.25211546511022,-229.59570380950686,0.6327054925909603,912,-0.20374832609891946,-185.81847340221455,-191.05626917385865,0.6461451527950719,0.02195189671918832,-55
1h,fz1.5_react0_body0.5_cl0.7_cs0.3,model_a,stress,1.5,0.0,0.5,0.7,0.3,1.0,1.5,973,-0.4362006136803365,-424.42319711096746,-427.8866120198731,0.41842834105204046,917,-0.4038194088958893,-370.3023979575305,-371.1528961978871,0.42435088469998905,0.032381204784447226,-56
1h,fz1.5_react0_body0.5_cl0.7_cs0.3,model_b,base,1.5,0.0,0.5,0.7,0.3,1.2,2.0,885,-0.186280274773839,-164.8580431748475,-170.63348724677374,0.6875865516539104,849,-0.15508549220689974,-131.66758288365787,-139.8325732745526,0.7198686573197021,0.03119478256693925,-36
1h,fz1.5_react0_body0.5_cl0.7_cs0.3,model_b,stress,1.5,0.0,0.5,0.7,0.3,1.2,2.0,891,-0.3672327624972372,-327.2043913850383,-331.23028497215296,0.48265678388889244,853,-0.32138616197442194,-274.1423961641819,-279.66210291023157,0.5118027789120605,0.04584660052281525,-38
1h,fz2.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,2.5,0.25,0.25,0.6,0.4,1.0,1.5,317,-0.2128681527468659,-67.47920442075649,-76.1465232018695,0.6521669299058979,290,-0.1864149826885507,-54.060344979679705,-61.12613249849561,0.6766449687593629,0.026453170058315212,-27
1h,fz2.5_react0.25_body0.25_cl0.6_cs0.4,model_a,stress,2.5,0.25,0.25,0.6,0.4,1.0,1.5,319,-0.38542669963986964,-122.95111718511842,-130.36700167012177,0.4660883846096718,292,-0.35115005516332926,-102.53581610769214,-107.42780520439025,0.4811341592651773,0.034276644476540385,-27
1h,fz2.5_react0.25_body0.25_cl0.6_cs0.4,model_b,base,2.5,0.25,0.25,0.6,0.4,1.2,2.0,286,-0.16853115172008235,-48.19990939194355,-55.863780963285144,0.7225484493764374,267,-0.12813659872578378,-34.21247185978427,-43.1989170360353,0.7645892036876669,0.04039455299429856,-19
1h,fz2.5_react0.25_body0.25_cl0.6_cs0.4,model_b,stress,2.5,0.25,0.25,0.6,0.4,1.2,2.0,290,-0.3150942613456639,-91.37733579024253,-98.27236734038826,0.5499662130932116,270,-0.2912624876026024,-78.64087165270266,-82.16899439155172,0.5527659084361798,0.023831773743061446,-20
1h,fz2.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,2.5,0.25,0.25,0.7,0.3,1.0,1.5,287,-0.19243471857205696,-55.228764230180346,-62.528765720422214,0.6790758863728997,266,-0.12201854865553259,-32.45693394237167,-41.49295422047908,0.7763874912703268,0.07041616991652437,-21
1h,fz2.5_react0.25_body0.25_cl0.7_cs0.3,model_a,stress,2.5,0.25,0.25,0.7,0.3,1.0,1.5,288,-0.36444100487425746,-104.95900940378614,-111.14034953785013,0.4836781339967651,267,-0.2862716071023851,-76.43451909633681,-81.46477566876858,0.5536450615821243,0.07816939777187237,-21
1h,fz2.5_react0.25_body0.25_cl0.7_cs0.3,model_b,base,2.5,0.25,0.25,0.7,0.3,1.2,2.0,264,-0.14343756486324932,-37.86751712389782,-43.63565780553223,0.7579084158202296,248,-0.08581286854182174,-21.28159139837179,-34.946656103151945,0.8362402385821566,0.05762469632142758,-16
1h,fz2.5_react0.25_body0.25_cl0.7_cs0.3,model_b,stress,2.5,0.25,0.25,0.7,0.3,1.2,2.0,266,-0.28636582425822016,-76.17330925268656,-81.27694909202852,0.5794870742149623,250,-0.24427242194078902,-61.06810548519726,-64.59622822404634,0.6104292850266569,0.04209340231743114,-16
1h,fz2.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,2.5,0.25,0.5,0.6,0.4,1.0,1.5,266,-0.2101892165985583,-55.910331615216506,-65.80064316521383,0.6615452012951326,246,-0.15234000375551157,-37.47564092385585,-44.660944455862605,0.7262847502950192,0.05784921284304673,-20
1h,fz2.5_react0.25_body0.5_cl0.6_cs0.4,model_a,stress,2.5,0.25,0.5,0.6,0.4,1.0,1.5,267,-0.3697194076509643,-98.71508184280746,-105.8188675611031,0.48944219129896305,247,-0.3070586383054982,-75.84348366145805,-80.02314566140859,0.5271872978359876,0.0626607693454661,-20
1h,fz2.5_react0.25_body0.5_cl0.6_cs0.4,model_b,base,2.5,0.25,0.5,0.6,0.4,1.2,2.0,244,-0.13732281895515697,-33.5067678250583,-39.03164953625949,0.7716150269638258,233,-0.08892835720580335,-20.72030722895218,-33.222114480786814,0.8332145590032904,0.04839446174935362,-11
1h,fz2.5_react0.25_body0.5_cl0.6_cs0.4,model_b,stress,2.5,0.25,0.5,0.6,0.4,1.2,2.0,247,-0.2844297535285387,-70.25414912154906,-75.11358375713014,0.5894873856521455,235,-0.2417049178854228,-56.80065570307436,-59.755496626685705,0.6132702714768622,0.04272483564311591,-12
1h,fz2.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,2.5,0.25,0.5,0.7,0.3,1.0,1.5,245,-0.21227766803503575,-52.00802866858376,-59.281318613423046,0.6521239621112623,229,-0.14947528447286326,-34.22984014428569,-44.957540241793,0.7288636637186915,0.06280238356217249,-16
1h,fz2.5_react0.25_body0.5_cl0.7_cs0.3,model_a,stress,2.5,0.25,0.5,0.7,0.3,1.0,1.5,245,-0.3704379156591033,-90.7572893364803,-95.62729364800042,0.47903767430542915,230,-0.3066514791974355,-70.52984021541018,-74.06117982521053,0.5247415467059704,0.06378643646166776,-15
1h,fz2.5_react0.25_body0.5_cl0.7_cs0.3,model_b,base,2.5,0.25,0.5,0.7,0.3,1.2,2.0,228,-0.10671254126147246,-24.33045940761572,-29.855341118816924,0.8168492055621812,218,-0.05973194583007744,-13.021564190956882,-29.538043141854846,0.8843682546932533,0.046980595431395024,-10
1h,fz2.5_react0.25_body0.5_cl0.7_cs0.3,model_b,stress,2.5,0.25,0.5,0.7,0.3,1.2,2.0,230,-0.2520124127372643,-57.96285492957079,-62.82228956515181,0.6246709414617724,220,-0.21624111463043327,-47.57304521869532,-50.771359317346445,0.6456805489905243,0.03577129810683105,-10
1h,fz2.5_react0_body0.25_cl0.6_cs0.4,model_a,base,2.5,0.0,0.25,0.6,0.4,1.0,1.5,328,-0.19238282088025166,-63.101565248722544,-72.15565434950588,0.6794449913057042,302,-0.1795266292113052,-54.217042021814166,-61.19163717834265,0.6866455073851953,0.01285619166894647,-26
1h,fz2.5_react0_body0.25_cl0.6_cs0.4,model_a,stress,2.5,0.0,0.25,0.6,0.4,1.0,1.5,329,-0.359811064784999,-118.37784031426467,-126.18099748765982,0.49008632310134154,304,-0.342010963960872,-103.9713330441051,-109.2513937552429,0.49068310516438357,0.01780010082412703,-25
1h,fz2.5_react0_body0.25_cl0.6_cs0.4,model_b,base,2.5,0.0,0.25,0.6,0.4,1.2,2.0,292,-0.16101826769848962,-47.01733416795897,-54.91302784511435,0.730615987057514,276,-0.12138009642108781,-33.500906612220234,-42.08702065536295,0.7727025656282566,0.03963817127740181,-16
1h,fz2.5_react0_body0.25_cl0.6_cs0.4,model_b,stress,2.5,0.0,0.25,0.6,0.4,1.2,2.0,296,-0.3062461238353995,-90.64885265527825,-97.77620640868655,0.555839852174737,279,-0.28495283549083905,-79.5018411019441,-83.19347413598388,0.5564689106629311,0.021293288344560457,-17
1h,fz2.5_react0_body0.25_cl0.7_cs0.3,model_a,base,2.5,0.0,0.25,0.7,0.3,1.0,1.5,297,-0.17682645473317646,-52.517457055753404,-60.20422886566561,0.7011141029819855,278,-0.12667333591487798,-35.215187384336076,-42.189782540864606,0.768655995726422,0.05015311881829848,-19
1h,fz2.5_react0_body0.25_cl0.7_cs0.3,model_a,stress,2.5,0.0,0.25,0.7,0.3,1.0,1.5,298,-0.34835749540078753,-103.81053362943469,-110.3791464518905,0.5004967672658003,280,-0.2943163646603073,-82.40858210488605,-87.68864281602387,0.5447998867206317,0.054041130740480225,-18
1h,fz2.5_react0_body0.25_cl0.7_cs0.3,model_b,base,2.5,0.0,0.25,0.7,0.3,1.2,2.0,268,-0.12591157957167423,-33.74430332520869,-39.7442661126569,0.7829603078128206,256,-0.06974317698606895,-17.854253308433652,-33.02634704868198,0.8623576310342356,0.05616840258560528,-12
1h,fz2.5_react0_body0.25_cl0.7_cs0.3,model_b,stress,2.5,0.0,0.25,0.7,0.3,1.2,2.0,270,-0.26919164741516,-72.68174480209319,-78.01770684469766,0.5975292079233443,259,-0.23736896536616028,-61.478562029835516,-65.17019506387531,0.6138421557795491,0.03182268204899971,-11
1h,fz2.5_react0_body0.5_cl0.6_cs0.4,model_a,base,2.5,0.0,0.5,0.6,0.4,1.0,1.5,270,-0.21586346343876658,-58.28313512846698,-68.1734466784643,0.6523667274799455,248,-0.15250538477589046,-37.82133542442083,-44.97572507696309,0.7247203859757199,0.06335807866287613,-22
1h,fz2.5_react0_body0.5_cl0.6_cs0.4,model_a,stress,2.5,0.0,0.5,0.6,0.4,1.0,1.5,271,-0.3750493873409442,-101.63838396939587,-108.74216968769151,0.4823455574231421,249,-0.3068489547301213,-76.4053897278002,-80.58505172775074,0.5256830061558654,0.06820043261082287,-22
1h,fz2.5_react0_body0.5_cl0.6_cs0.4,model_b,base,2.5,0.0,0.5,0.6,0.4,1.2,2.0,247,-0.13983991954238179,-34.5404601269683,-40.065341838169495,0.7665169265250757,235,-0.08884718827628106,-20.87908924492605,-33.380896496760684,0.8324528660174777,0.050992731266100724,-12
1h,fz2.5_react0_body0.5_cl0.6_cs0.4,model_b,stress,2.5,0.0,0.5,0.6,0.4,1.2,2.0,250,-0.28630467312192776,-71.57616828048194,-76.43560291606305,0.5853898756901667,237,-0.24109504243274738,-57.139525056561126,-60.09436598017248,0.6124094071197412,0.04520963068918038,-13
1h,fz2.5_react0_body0.5_cl0.7_cs0.3,model_a,base,2.5,0.0,0.5,0.7,0.3,1.0,1.5,249,-0.2168538169765648,-53.99660042716464,-61.26989037200391,0.6437782573913751,232,-0.14881324720742184,-34.524673352121866,-44.774640902283295,0.7276984234949402,0.06804056976914297,-17
1h,fz2.5_react0_body0.5_cl0.7_cs0.3,model_a,stress,2.5,0.0,0.5,0.7,0.3,1.0,1.5,249,-0.37424556365541745,-93.18714535019895,-98.05714966171908,0.472666786155686,233,-0.30498530825160763,-71.06157682262457,-73.99214332237325,0.5235041182519645,0.06926025540380981,-16
1h,fz2.5_react0_body0.5_cl0.7_cs0.3,model_b,base,2.5,0.0,0.5,0.7,0.3,1.2,2.0,231,-0.10740520646808088,-24.810602694126683,-30.335484405327882,0.8141724633018979,221,-0.05924828874131854,-13.093871811831397,-29.43798458585306,0.8841695879108111,0.048156917726762345,-10
1h,fz2.5_react0_body0.5_cl0.7_cs0.3,model_b,stress,2.5,0.0,0.5,0.7,0.3,1.2,2.0,233,-0.25167647957391936,-58.64061974072322,-63.500054376304234,0.6223680467719117,223,-0.21454179204249463,-47.8428196254763,-51.04113372412742,0.6452247536639405,0.03713468753142474,-10
1h,fz2_react0.25_body0.25_cl0.6_cs0.4,model_a,base,2.0,0.25,0.25,0.6,0.4,1.0,1.5,598,-0.2635852293527961,-157.62396715297206,-170.9589571069106,0.5807305797413245,538,-0.2235275111762499,-120.25780101282244,-131.42673789003504,0.6211837342317783,0.040057718176546214,-60
1h,fz2_react0.25_body0.25_cl0.6_cs0.4,model_a,stress,2.0,0.25,0.25,0.6,0.4,1.0,1.5,606,-0.47261497024033533,-286.4046719656432,-295.651423588801,0.3849550553558236,545,-0.41861356551409606,-228.14439320518235,-233.55641575371578,0.4158133847846759,0.054001404726239266,-61
1h,fz2_react0.25_body0.25_cl0.6_cs0.4,model_b,base,2.0,0.25,0.25,0.6,0.4,1.2,2.0,535,-0.2084331108591208,-111.51171430962964,-120.93676290579171,0.6596248175375448,495,-0.17369537190858544,-85.97920909474979,-94.18840340525992,0.6890097019051902,0.03473773895053536,-40
1h,fz2_react0.25_body0.25_cl0.6_cs0.4,model_b,stress,2.0,0.25,0.25,0.6,0.4,1.2,2.0,541,-0.3781842839015422,-204.59769759073433,-212.06731553590384,0.474395198734968,501,-0.34964228729964747,-175.17078593712338,-181.4637538730583,0.4817668358514789,0.028541996601894715,-40
1h,fz2_react0.25_body0.25_cl0.7_cs0.3,model_a,base,2.0,0.25,0.25,0.7,0.3,1.0,1.5,537,-0.25780817470291567,-138.44298981546572,-150.78831526257932,0.5860547896361252,495,-0.20697559802138923,-102.45292102058767,-110.53759597779786,0.644105928685497,0.05083257668152644,-42
1h,fz2_react0.25_body0.25_cl0.7_cs0.3,model_a,stress,2.0,0.25,0.25,0.7,0.3,1.0,1.5,543,-0.4712717898545212,-255.900581891005,-263.9127891632233,0.3846662219343525,500,-0.3867498236427504,-193.3749118213752,-198.78693436990875,0.4450911344609948,0.08452196621177077,-43
1h,fz2_react0.25_body0.25_cl0.7_cs0.3,model_b,base,2.0,0.25,0.25,0.7,0.3,1.2,2.0,492,-0.21327578861143723,-104.93168799682712,-111.49778517564594,0.6492154609163018,462,-0.15537217597264252,-71.78194529936084,-78.36771077145436,0.7169781839012466,0.057903612638794705,-30
1h,fz2_react0.25_body0.25_cl0.7_cs0.3,model_b,stress,2.0,0.25,0.25,0.7,0.3,1.2,2.0,496,-0.38191276260269225,-189.42873025093536,-195.10695648530108,0.46587994114369763,466,-0.33278450486586914,-155.07757926749503,-160.58101368707835,0.4993698428493237,0.04912825773682311,-30
1h,fz2_react0.25_body0.5_cl0.6_cs0.4,model_a,base,2.0,0.25,0.5,0.6,0.4,1.0,1.5,510,-0.2820897757501118,-143.86578563255702,-155.93521590147395,0.5600412783983915,467,-0.2352040837794814,-109.84030712501782,-119.5967001353685,0.6014257667693856,0.04688569197063039,-43
1h,fz2_react0.25_body0.5_cl0.6_cs0.4,model_a,stress,2.0,0.25,0.5,0.6,0.4,1.0,1.5,515,-0.47938607761139024,-246.88382996986599,-255.57393461170284,0.37985031581043,470,-0.41861766060250977,-196.7503004831796,-203.24121988713247,0.40834904591535337,0.06076841700888047,-45
1h,fz2_react0.25_body0.5_cl0.6_cs0.4,model_b,base,2.0,0.25,0.5,0.6,0.4,1.2,2.0,467,-0.21262544453069232,-99.29608259583331,-105.24256369318141,0.6513302735849317,442,-0.1789417986634724,-79.0922750092548,-85.10485432269363,0.6783066886345875,0.03368364586721992,-25
