timeframe,param_id,exit_model,friction_case,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,1.5,0.0,0.25,0.7,0.3,1.0,1.5,4540,-0.5319010618707369,-2414.8308208931458,-2424.58069442656,0.38900939777470994,4124,-0.5146665807377654,-2122.4849789625446,-2127.022061797849,0.39313980006447174,0.017234481132971546,-416
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,stress,1.5,0.0,0.25,0.7,0.3,1.0,1.5,4753,-1.0406994873765165,-4946.444663500583,-4946.40209704949,0.16841010804835482,4270,-1.028188264597427,-4390.363889831013,-4388.134688809825,0.1653030817442409,0.01251122277908956,-483
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_b,base,1.5,0.0,0.25,0.7,0.3,1.2,2.0,3639,-0.4431888833678874,-1612.7643465757424,-1632.4293305911322,0.4733314719428116,3341,-0.43432602882961047,-1451.0832623197286,-1479.3683925842688,0.4712978900501774,0.008862854538276954,-298
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_b,stress,1.5,0.0,0.25,0.7,0.3,1.2,2.0,3807,-0.8900363761394903,-3388.3684839630396,-3387.7204637599957,0.23785592380824086,3480,-0.8685429170631641,-3022.529351379811,-3022.8654679387473,0.23833643574890173,0.02149345907632616,-327
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,1.5,0.0,0.5,0.6,0.4,1.0,1.5,4116,-0.5315632828758508,-2187.9144723170016,-2188.6702240941936,0.3917277846198007,3792,-0.5120982015423491,-1941.8763802485878,-1940.9218810676605,0.3972755795817343,0.019465081333501666,-324
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,stress,1.5,0.0,0.5,0.6,0.4,1.0,1.5,4294,-1.0461300380508634,-4492.082383390407,-4491.070427859159,0.1693028916636268,3899,-1.0305635385212146,-4018.167236694216,-4015.938035673039,0.1660687233600135,0.015566499529648725,-395
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_b,base,1.5,0.0,0.5,0.6,0.4,1.2,2.0,3365,-0.46510185684118965,-1565.0677482706033,-1588.7421320944745,0.4558167983759081,3117,-0.4298161529416296,-1339.7369487190595,-1352.7203934305498,0.47665206825141987,0.03528570389956004,-248
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_b,stress,1.5,0.0,0.5,0.6,0.4,1.2,2.0,3521,-0.9068346919365818,-3192.964950308705,-3192.498164448357,0.23275784603893848,3245,-0.8691320219150876,-2820.3334111144595,-2818.7827335634515,0.23910583394593968,0.03770267002149419,-276
15m,fz1.5_react0_body0.5_cl0.7_cs0.3,model_a,base,1.5,0.0,0.5,0.7,0.3,1.0,1.5,3833,-0.5287399821468813,-2026.6603515689962,-2027.4406531139266,0.3929970089207851,3542,-0.5066401348346392,-1794.5193575842923,-1793.7743325579447,0.4009209915420923,0.022099847312242127,-291
15m,fz1.5_react0_body0.5_cl0.7_cs0.3,model_a,stress,1.5,0.0,0.5,0.7,0.3,1.0,1.5,3992,-1.0445087965306543,-4169.679115750372,-4169.04998913747,0.16985087406727212,3643,-1.0264886042383545,-3739.4979852403258,-3737.507947824048,0.16666199455990863,0.018020192292299786,-349
