timeframe,param_id,exit_model,friction_case,entry_mode,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,funding_z_lookback,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r,best_symbol_ev_share,best_symbol_total_ev_r,best_month_ev_share,best_month_total_ev_r
1h,fz1.5_react0_body0.5_cl0.7_cs0.3,model_a,stress,next_close,1.5,0.0,0.5,0.7,0.3,90,1.0,1.5,6,8.0,10.0,917,1007.1948377396316,0.346782988004362,-0.4038194088958893,-370.3023979575305,-371.1528961978871,17,0.42435088469998905,0.8584137684187285,-1.073919826902648,,-22.964477652052484,,0.26319585141259916
1h,fz2_react0_body0.25_cl0.7_cs0.3,model_a,stress,next_close,2.0,0.0,0.25,0.7,0.3,90,1.0,1.5,6,8.0,10.0,529,582.3450960693206,0.3591682419659735,-0.4056381358318075,-214.58257385502617,-220.38266801799935,13,0.42734811479930396,0.8428143995332156,-1.105360795770906,,-12.022057021638837,,-21.7556677652002
1h,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,stress,next_close,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,6,8.0,10.0,908,997.3096103245207,0.3447136563876652,-0.4092369388610668,-371.5871404858487,-372.4376387262053,17,0.42100044281375526,0.8632183412577066,-1.0786125736126233,,-21.774732980435367,,0.26319585141259916
1h,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,stress,next_close,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,6,8.0,10.0,990,1087.3750156621977,0.3474747474747475,-0.41280022653916054,-408.67222427376896,-410.7718180143272,17,0.4152845614900263,0.8437580014232683,-1.0819272086120328,,-24.85792982496475,,-28.545424223251167
1h,fz2_react0_body0.5_cl0.6_cs0.4,model_a,stress,next_close,2.0,0.0,0.5,0.6,0.4,90,1.0,1.5,6,8.0,10.0,474,522.1266649912038,0.35232067510548526,-0.4145240407643823,-196.48439532231723,-201.695017007649,13,0.410965208003642,0.8208724917674093,-1.0865475617181581,,-37.36287336819554,,0.26319585141259916
1h,fz2_react0_body0.5_cl0.7_cs0.3,model_a,stress,next_close,2.0,0.0,0.5,0.7,0.3,90,1.0,1.5,6,8.0,10.0,446,491.28373963307365,0.3452914798206278,-0.4161025661183939,-185.58174448880368,-189.5061381359466,12,0.40879012073843507,0.8332460066991115,-1.0750055805495442,,-35.24984233325752,,0.26319585141259916
1h,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,stress,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,6,8.0,10.0,979,1075.2930710437288,0.34627170582226763,-0.4165987129555268,-407.85013998346074,-409.94973372401887,17,0.4141616213679366,0.8505364897859856,-1.0877843906576716,,-49.956742807686304,,-56.69277299335777
1h,fz2_react0.25_body0.25_cl0.6_cs0.4,model_a,stress,next_close,2.0,0.25,0.25,0.6,0.4,90,1.0,1.5,6,8.0,10.0,545,599.9585583322868,0.3486238532110092,-0.41861356551409606,-228.14439320518235,-233.55641575371578,16,0.4158133847846759,0.8546790563827174,-1.1000941237123907,,-50.17139820941989,,-5.932476940546596
1h,fz2_react0.25_body0.5_cl0.6_cs0.4,model_a,stress,next_close,2.0,0.25,0.5,0.6,0.4,90,1.0,1.5,6,8.0,10.0,470,517.7205327971852,0.35106382978723405,-0.41861766060250977,-196.7503004831796,-203.24121988713247,13,0.40834904591535337,0.8229954536661118,-1.0903100011084854,,-37.36287336819554,,0.26319585141259916
1h,fz2_react0_body0.25_cl0.6_cs0.4,model_a,stress,next_close,2.0,0.0,0.25,0.6,0.4,90,1.0,1.5,6,8.0,10.0,577,635.1854828582192,0.35008665511265163,-0.4201343250159945,-242.41750553422884,-248.21759969720196,15,0.4137533391667165,0.846981136911651,-1.102687187174353,,-17.12925673677418,,-19.519266861238933
