timeframe,param_id,exit_model,friction_case,entry_mode,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,funding_z_lookback,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_open,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-12,308,3682.1384248210024,0.3409090909090909,-0.5221477570324272,-160.82150916598758,,,0.4089921384663796,1.0599284185896936,-1.3404630202852483
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_open,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-01,389,4578.682779456193,0.2596401028277635,-0.7292940906232454,-283.6954012524424,,,0.2615474947343911,0.9948530100949996,-1.3339429002501297
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_open,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-02,373,4880.176119402985,0.4128686327077748,-0.23095131908722683,-86.1448420195356,,,0.6639867835189887,1.105380077828199,-1.1706546758222753
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_open,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-03,333,4105.594936708861,0.2882882882882883,-0.6558805417080675,-218.40822038878648,,,0.2984888730322541,0.96803560109203,-1.3136693590448159
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_open,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-04,295,3604.1393728222993,0.2983050847457627,-0.672786247027455,-198.47194287309924,,,0.2847680436695796,0.8979678549645166,-1.3405464449757327
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_open,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-05,21,2629.7999999999997,0.14285714285714285,-1.1811670091892044,-24.80450719297329,,,0.09351322753732294,0.8529447957951967,-1.5201856433532712
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-06,372,5107.207517619421,0.3951612903225806,-0.4337180990296048,-161.34313283901298,,,0.47207588945918505,0.9814619651607567,-1.3583024076339745
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-07,343,4093.584751531654,0.3323615160349854,-0.5966790230605553,-204.66090490977047,,,0.35363342794241426,0.9822102489571074,-1.382676302580265
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-08,589,6963.147673634525,0.35144312393887944,-0.45287821880932927,-266.74527087869495,,,0.4537420179387985,1.0703790129111042,-1.2783081846892501
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-09,490,5982.367688022285,0.2836734693877551,-0.7350575949823318,-360.17822154134257,,,0.2825321569187187,1.020394462971797,-1.4302366150838242
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-10,537,6611.435393258426,0.35195530726256985,-0.3906759565220824,-209.79298865235828,,,0.4867850022989269,1.0528512465370714,-1.1746605581835194
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-11,329,4356.516616314199,0.3617021276595745,-0.3449362328998124,-113.48402062403828,,,0.5460975948632864,1.1473489761746751,-1.190564518042022
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-12,423,5014.223123732252,0.3333333333333333,-0.5641781252448468,-238.64734697857017,,,0.3781376742435267,1.0291844125448955,-1.3608593941397178
