scenario_id,scenario_entry_mode,scenario_friction_mode,concurrent_cap,symbol_cap,selection_policy,account_allocation,trades_taken,trades_skipped,skip_rate,cumulative_return_units,average_trade_return_pct,median_trade_return_pct,win_rate,account_total_return_pct,cagr_pct,max_drawdown_pct,max_drawdown_units,sharpe_like,max_losing_streak,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,average_exposure_pct,max_exposure_pct,p95_exposure_pct,worst_month,worst_month_return_pct,best_month,best_month_contribution,best_symbol,best_symbol_contribution,positive_symbol_rate,liquidation_margin_risk_proxy
next_close_clusterstress_ccap15_scap2_symbol_order_alloc0.0025,next_close,cluster_stress,15,2,symbol_order,0.0025,768,198,0.20496894409937888,8.576648750501167,1.1167511393881728,0.733375885649525,0.5690104166666666,2.1659651206836106,0.3592962748954154,-0.6607412768717458,-2.6506787162930086,4.216976818242622,19,4.815104166666667,15,12.0,1.2037760416666667,3.75,3.0,2021-05,-0.2925163514916673,2022-05,0.2569349498333567,AVAXUSDT,0.18521991940675245,0.8888888888888888,low
next_close_clusterstress_ccap15_scap2_largest_drop_alloc0.0025,next_close,cluster_stress,15,2,largest_drop,0.0025,768,198,0.20496894409937888,8.837049787134456,1.1506575243664656,0.733375885649525,0.5690104166666666,2.232478038879493,0.37022887192412757,-0.6178441842252136,-2.477932879961245,4.317031274414311,19,4.815104166666667,15,12.0,1.2037760416666667,3.75,3.0,2025-02,-0.25165456783577955,2022-05,0.24928000631216238,XRPUSDT,0.191912695331519,0.7777777777777778,low
next_close_clusterstress_ccap15_scap2_liquidity_priority_alloc0.0025,next_close,cluster_stress,15,2,liquidity_priority,0.0025,768,198,0.20496894409937888,8.576648750501167,1.1167511393881728,0.733375885649525,0.5690104166666666,2.1659651206836106,0.3592962748954154,-0.6607412768717458,-2.6506787162930086,4.216976818242622,19,4.815104166666667,15,12.0,1.2037760416666667,3.75,3.0,2021-05,-0.2925163514916673,2022-05,0.2569349498333567,AVAXUSDT,0.18521991940675245,0.8888888888888888,low
next_close_clusterstress_ccap15_scapunlimited_symbol_order_alloc0.0025,next_close,cluster_stress,15,unlimited,symbol_order,0.0025,790,176,0.18219461697722567,9.275738701205896,1.1741441393931513,0.7985330675035051,0.5734177215189873,2.344621729059404,0.3886483056790846,-0.6126466766500416,-2.456913448155203,4.471442792327861,19,5.084810126582278,15,13.0,1.2712025316455695,3.75,3.25,2025-02,-0.24163734584856655,2022-05,0.23607252090892666,AVAXUSDT,0.2165018252693515,0.8888888888888888,low
next_close_clusterstress_ccap15_scapunlimited_largest_drop_alloc0.0025,next_close,cluster_stress,15,unlimited,largest_drop,0.0025,790,176,0.18219461697722567,9.563903222453924,1.210620661070117,0.7985330675035051,0.5721518987341773,2.41839141310487,0.40075570510169634,-0.5946676254865335,-2.3852409306795455,4.635908420823192,19,5.084810126582278,15,13.0,1.2712025316455695,3.75,3.25,2025-02,-0.24352866319330424,2022-05,0.22887145528121264,AVAXUSDT,0.2034980498159839,0.7777777777777778,low
next_close_clusterstress_ccap15_scapunlimited_liquidity_priority_alloc0.0025,next_close,cluster_stress,15,unlimited,liquidity_priority,0.0025,790,176,0.18219461697722567,9.275738701205896,1.1741441393931513,0.7985330675035051,0.5734177215189873,2.344621729059404,0.3886483056790846,-0.6126466766500416,-2.456913448155203,4.471442792327861,19,5.084810126582278,15,13.0,1.2712025316455695,3.75,3.25,2025-02,-0.24163734584856655,2022-05,0.23607252090892666,AVAXUSDT,0.2165018252693515,0.8888888888888888,low
next_close_clusterstress_ccap20_scap1_symbol_order_alloc0.0025,next_close,cluster_stress,20,1,symbol_order,0.0025,588,378,0.391304347826087,3.2024256919258605,0.5446302197152824,0.40005951935351003,0.5459183673469388,0.802992352432863,0.13395159795945855,-0.7337155052442812,-2.9450170881512836,1.9807681336392469,16,2.989795918367347,9,7.0,0.7474489795918368,2.25,1.7500000000000002,2021-05,-0.4872317116995539,2021-02,0.4270276729050226,BNBUSDT,0.2590035225054544,0.7777777777777778,low
next_close_clusterstress_ccap20_scap1_largest_drop_alloc0.0025,next_close,cluster_stress,20,1,largest_drop,0.0025,588,378,0.391304347826087,3.2024256919258605,0.5446302197152824,0.40005951935351003,0.5459183673469388,0.802992352432863,0.13395159795945855,-0.7337155052442812,-2.9450170881512836,1.9807681336392469,16,2.989795918367347,9,7.0,0.7474489795918368,2.25,1.7500000000000002,2021-05,-0.4872317116995539,2021-02,0.4270276729050226,BNBUSDT,0.2590035225054544,0.7777777777777778,low
next_close_clusterstress_ccap20_scap1_liquidity_priority_alloc0.0025,next_close,cluster_stress,20,1,liquidity_priority,0.0025,588,378,0.391304347826087,3.2024256919258605,0.5446302197152824,0.40005951935351003,0.5459183673469388,0.802992352432863,0.13395159795945855,-0.7337155052442812,-2.9450170881512836,1.9807681336392469,16,2.989795918367347,9,7.0,0.7474489795918368,2.25,1.7500000000000002,2021-05,-0.4872317116995539,2021-02,0.4270276729050226,BNBUSDT,0.2590035225054544,0.7777777777777778,low
next_close_clusterstress_ccap20_scap2_symbol_order_alloc0.0025,next_close,cluster_stress,20,2,symbol_order,0.0025,781,185,0.1915113871635611,9.476761175036373,1.2134137227959503,0.7972743260750301,0.5736235595390525,2.3960798692581164,0.397094604239423,-0.5971306309026647,-2.395151435705722,4.590461762880689,20,5.007042253521127,18,13.0,1.2517605633802817,4.5,3.25,2025-02,-0.25165456783577955,2022-05,0.23010751116939196,XRPUSDT,0.17955357474143707,0.8888888888888888,low
