scenario_id,scenario_entry_mode,scenario_friction_mode,concurrent_cap,symbol_cap,selection_policy,account_allocation,symbol,trades_taken,trades_skipped,skip_rate,cumulative_return_units,average_trade_return_pct,median_trade_return_pct,win_rate,account_total_return_pct,cagr_pct,max_drawdown_pct,max_drawdown_units,sharpe_like,max_losing_streak,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,average_exposure_pct,max_exposure_pct,p95_exposure_pct,worst_month,worst_month_return_pct,best_month,best_month_contribution,best_symbol,best_symbol_contribution,positive_symbol_rate,liquidation_margin_risk_proxy
next_close_base_ccapunlimited_scap1_liquidity_priority_alloc0.005,next_close,base,unlimited,1,liquidity_priority,0.005,ETHUSDT,59,0,0.0,0.4948133696366379,0.8386667281976914,0.48212186329800005,0.576271186440678,0.24740823008086998,0.041859738621896625,-0.1400889564029173,-0.28029490977771304,1.003101584964993,4,0.5,1,1.0,0.25,0.5,0.5,2021-04,-0.04790174831745819,2020-03,0.3766736299274507,ETHUSDT,0.9999999999999998,1.0,low
next_close_base_ccapunlimited_scap1_liquidity_priority_alloc0.005,next_close,base,unlimited,1,liquidity_priority,0.005,BNBUSDT,58,0,0.0,1.0253632388199496,1.767867653137844,1.0283584645034298,0.5517241379310345,0.5135881862869285,0.08679980566306256,-0.1617821649738227,-0.3237328600923405,1.8308332757756,6,0.5,1,1.0,0.25,0.5,0.5,2021-05,-0.12193552166190891,2020-03,0.3839846298000791,BNBUSDT,1.0,1.0,low
next_close_base_ccapunlimited_scap1_liquidity_priority_alloc0.005,next_close,base,unlimited,1,liquidity_priority,0.005,LINKUSDT,82,0,0.0,0.44708050120911036,0.5452201234257443,0.05110474783165406,0.5,0.22341190822130486,0.03780348934623312,-0.16947054941449657,-0.3390924494933223,0.8118356944399556,7,0.5,1,1.0,0.25,0.5,0.5,2020-03,-0.19084147056299683,2021-04,0.6039207694112366,LINKUSDT,0.9999999999999998,1.0,low
next_close_base_ccapunlimited_scap1_liquidity_priority_alloc0.005,next_close,base,unlimited,1,liquidity_priority,0.005,AVAXUSDT,79,0,0.0,1.03494803438608,1.3100608030203544,1.27490507173599,0.6075949367088608,0.5181275271388897,0.09950676196488484,-0.34769845407074396,-0.6961663829354161,1.4076525300966969,5,0.5,1,1.0,0.25,0.5,0.5,2021-05,-0.2479952349617176,2022-05,0.38791932059822753,AVAXUSDT,1.0000000000000002,1.0,low
next_close_base_ccapunlimited_scap1_liquidity_priority_alloc0.005,next_close,base,unlimited,1,liquidity_priority,0.005,SOLUSDT,60,0,0.0,0.8292661104298539,1.3821101840497565,0.3830945163529,0.5666666666666667,0.4149324531695253,0.0797215992443201,-0.18238977785367538,-0.364728874007981,1.245639341568086,3,0.5,1,1.0,0.25,0.5,0.5,2021-05,-0.09416506468764574,2021-04,0.2687644143288623,SOLUSDT,1.0,1.0,low
next_close_base_ccapunlimited_scap2_symbol_order_alloc0.005,next_close,base,unlimited,2,symbol_order,0.005,XRPUSDT,100,0,0.0,2.025734586971149,2.025734586971149,1.364323495856255,0.67,1.0174525862251427,0.16957652823865743,-0.09320256815444905,-0.1864051363088888,3.1719236764783743,3,0.76,2,2.0,0.38,1.0,1.0,2021-06,-0.017660361473159636,2021-12,0.17018220843708706,XRPUSDT,1.0,1.0,low
next_close_base_ccapunlimited_scap2_symbol_order_alloc0.005,next_close,base,unlimited,2,symbol_order,0.005,LTCUSDT,87,0,0.0,0.17576328637682284,0.20202676595037108,0.78208099692073,0.5862068965517241,0.08760729809220713,0.014664062269909017,-0.19213170109948496,-0.38420810363071245,0.3496575019814929,4,0.7758620689655172,2,2.0,0.3879310344827586,1.0,1.0,2020-03,-0.1446085841023459,2024-04,0.7501664525317189,LTCUSDT,0.9999999999999999,1.0,low
next_close_base_ccapunlimited_scap2_symbol_order_alloc0.005,next_close,base,unlimited,2,symbol_order,0.005,ADAUSDT,101,0,0.0,1.519645128016625,1.5045991366501237,1.42625663877304,0.6138613861386139,0.7619697537103454,0.12863713411759292,-0.18334839747647935,-0.3668720061852233,2.0024014042230527,4,0.7376237623762376,2,2.0,0.3688118811881188,1.0,1.0,2025-02,-0.18334839747646825,2025-10,0.2557661418148232,ADAUSDT,0.9999999999999999,1.0,low
next_close_base_ccapunlimited_scap2_symbol_order_alloc0.005,next_close,base,unlimited,2,symbol_order,0.005,BTCUSDT,38,0,0.0,0.2054861608237611,0.5407530547993713,0.9719881211731951,0.6842105263157895,0.1026964064948066,0.017385943584979913,-0.1296345447327596,-0.2593009008005734,0.7243035324131148,3,0.6842105263157895,2,2.0,0.34210526315789475,1.0,1.0,2020-03,-0.06499198303751008,2021-05,0.6062691133464253,BTCUSDT,1.0,1.0,low
next_close_base_ccapunlimited_scap2_symbol_order_alloc0.005,next_close,base,unlimited,2,symbol_order,0.005,ETHUSDT,76,0,0.0,0.8362614460051827,1.100344007901556,0.502092834523615,0.6052631578947368,0.4185705672204776,0.07076901592759643,-0.1655066542406325,-0.33116464289653025,1.4290423679792623,3,0.7368421052631579,2,2.0,0.3684210526315789,1.0,1.0,2021-04,-0.02269828198115942,2021-05,0.3603144768808227,ETHUSDT,1.0,1.0,low
next_close_base_ccapunlimited_scap2_symbol_order_alloc0.005,next_close,base,unlimited,2,symbol_order,0.005,BNBUSDT,78,0,0.0,1.5638211123491619,2.004898861986105,1.6426490947294954,0.6153846153846154,0.7843862450874317,0.13241823548844067,-0.20767217543543603,-0.4155503847493419,2.3518818043794743,5,0.8333333333333334,2,2.0,0.4166666666666667,1.0,1.0,2021-05,-0.03662693398118755,2021-02,0.2659866040735977,BNBUSDT,1.0000000000000004,1.0,low
next_close_base_ccapunlimited_scap2_symbol_order_alloc0.005,next_close,base,unlimited,2,symbol_order,0.005,LINKUSDT,110,0,0.0,1.996644554884504,1.8151314135313672,0.493017836049965,0.5454545454545454,1.0023514348195928,0.16906258530702267,-0.2671245959607882,-0.5347372688711852,2.3215376753507146,5,0.8090909090909091,2,2.0,0.40454545454545454,1.0,1.0,2020-03,-0.08238579339697738,2021-04,0.19643470405498356,LINKUSDT,0.9999999999999999,1.0,low
next_close_base_ccapunlimited_scap2_symbol_order_alloc0.005,next_close,base,unlimited,2,symbol_order,0.005,AVAXUSDT,107,0,0.0,2.0338973721878535,1.900838665596125,1.80350161257717,0.6355140186915887,1.021160073505878,0.19571902978516853,-0.42891294899568555,-0.8590928668979219,2.3610981268485154,5,0.8177570093457944,2,2.0,0.4088785046728972,1.0,1.0,2021-05,-0.29747673662091634,2022-05,0.41986872438239436,AVAXUSDT,1.0000000000000002,1.0,low
next_close_base_ccapunlimited_scap2_symbol_order_alloc0.005,next_close,base,unlimited,2,symbol_order,0.005,SOLUSDT,84,0,0.0,1.6534090319659032,1.9683440856736942,0.858218810887045,0.5833333333333334,0.8292140275533821,0.15905318477529296,-0.2288694239184763,-0.4579555794656901,1.971144998941455,4,0.8333333333333334,2,2.0,0.4166666666666667,1.0,1.0,2021-06,-0.08830786832736415,2024-08,0.23315188589634905,SOLUSDT,1.0,1.0,low
next_close_base_ccapunlimited_scap2_largest_drop_alloc0.005,next_close,base,unlimited,2,largest_drop,0.005,XRPUSDT,100,0,0.0,2.025734586971149,2.025734586971149,1.364323495856255,0.67,1.0174525862251427,0.16957652823865743,-0.09320256815444905,-0.1864051363088888,3.1719236764783743,3,0.76,2,2.0,0.38,1.0,1.0,2021-06,-0.017660361473159636,2021-12,0.17018220843708706,XRPUSDT,1.0,1.0,low
next_close_base_ccapunlimited_scap2_largest_drop_alloc0.005,next_close,base,unlimited,2,largest_drop,0.005,LTCUSDT,87,0,0.0,0.17576328637682284,0.20202676595037108,0.78208099692073,0.5862068965517241,0.08760729809220713,0.014664062269909017,-0.19213170109948496,-0.38420810363071245,0.3496575019814929,4,0.7758620689655172,2,2.0,0.3879310344827586,1.0,1.0,2020-03,-0.1446085841023459,2024-04,0.7501664525317189,LTCUSDT,0.9999999999999999,1.0,low
