scenario_entry_mode,scenario_friction_mode,concurrent_cap,symbol_cap,selection_policy,account_allocation,trades_taken,trades_skipped,skip_rate,account_total_return_pct,cagr_pct,max_drawdown_pct,max_exposure_pct,sharpe_like,best_month_contribution,best_symbol_contribution
next_open,stress,unlimited,unlimited,liquidity_priority,0.005,966,0,0.0,15.569457879976433,2.4514694361378986,-1.342855601628734,22.5,10.417462584576988,0.2565709818945864,0.16135062578515139
next_open,stress,unlimited,unlimited,largest_drop,0.005,966,0,0.0,15.569457879976433,2.4514694361378986,-1.342855601628734,22.5,10.417462584576988,0.2565709818945864,0.16135062578515139
next_open,stress,unlimited,unlimited,symbol_order,0.005,966,0,0.0,15.569457879976433,2.4514694361378986,-1.342855601628734,22.5,10.417462584576988,0.2565709818945864,0.16135062578515139
next_open,cluster_stress,20,unlimited,largest_drop,0.01,864,102,0.10559006211180125,15.079217154992586,2.37860150785294,-2.645767789192355,20.0,6.200195742599122,0.19221135160733807,0.2014580690178572
next_open,cluster_stress,unlimited,unlimited,symbol_order,0.005,966,0,0.0,14.776827192947417,2.333526178668688,-1.3558441513136121,22.5,9.9273141932035,0.2571776569723591,0.1625648397017254
next_open,cluster_stress,unlimited,unlimited,largest_drop,0.005,966,0,0.0,14.776827192947417,2.333526178668688,-1.3558441513136121,22.5,9.9273141932035,0.2571776569723591,0.1625648397017254
next_open,cluster_stress,unlimited,unlimited,liquidity_priority,0.005,966,0,0.0,14.776827192947417,2.333526178668688,-1.3558441513136121,22.5,9.9273141932035,0.2571776569723591,0.1625648397017254
next_open,cluster_stress,20,unlimited,liquidity_priority,0.01,864,102,0.10559006211180125,14.68441863947756,2.319731704203165,-2.6185047811226436,20.0,6.089285882885991,0.18915236974266184,0.2319101492424325
next_open,cluster_stress,20,unlimited,symbol_order,0.01,864,102,0.10559006211180125,14.68441863947756,2.319731704203165,-2.6185047811226436,20.0,6.089285882885991,0.18915236974266184,0.2319101492424325
next_close,stress,20,unlimited,liquidity_priority,0.01,864,102,0.10559006211180125,14.594089454075853,2.3062386840254856,-2.1260926302279493,20.0,6.066849458550615,0.17672341648257972,0.18929549542086407
next_close,stress,20,unlimited,symbol_order,0.01,864,102,0.10559006211180125,14.594089454075853,2.3062386840254856,-2.1260926302279493,20.0,6.066849458550615,0.17672341648257972,0.18929549542086407
next_close,stress,20,unlimited,largest_drop,0.01,864,102,0.10559006211180125,14.536697098755003,2.2976610370672557,-2.1260926302279493,20.0,6.095861799032832,0.18237320087388706,0.20200999667483602
next_close,base,unlimited,unlimited,symbol_order,0.005,966,0,0.0,14.38408432112488,2.2748346786367835,-0.9804641687658155,20.5,10.058192264355494,0.28606181163561545,0.16958940825788266
next_close,base,unlimited,unlimited,largest_drop,0.005,966,0,0.0,14.38408432112488,2.2748346786367835,-0.9804641687658155,20.5,10.058192264355494,0.28606181163561545,0.16958940825788266
next_close,base,unlimited,unlimited,liquidity_priority,0.005,966,0,0.0,14.38408432112488,2.2748346786367835,-0.9804641687658155,20.5,10.058192264355494,0.28606181163561545,0.16958940825788266
next_open,base,15,unlimited,largest_drop,0.01,790,176,0.18219461697722567,13.620264637230605,2.1602073203755623,-2.7752220277864947,15.0,6.004565380980645,0.18376865109128868,0.18144891759882065
next_close,stress,unlimited,unlimited,liquidity_priority,0.005,966,0,0.0,13.378688073762234,2.123820076172045,-0.9893015423586893,20.5,9.407231047902135,0.29045511784693645,0.17208392805209635
next_close,stress,unlimited,unlimited,symbol_order,0.005,966,0,0.0,13.378688073762234,2.123820076172045,-0.9893015423586893,20.5,9.407231047902135,0.29045511784693645,0.17208392805209635
next_close,stress,unlimited,unlimited,largest_drop,0.005,966,0,0.0,13.378688073762234,2.123820076172045,-0.9893015423586893,20.5,9.407231047902135,0.29045511784693645,0.17208392805209635
next_close,cluster_stress,20,unlimited,liquidity_priority,0.01,864,102,0.10559006211180125,13.217055087371033,2.099438197146908,-2.1718159197019915,20.0,5.530199793830215,0.18899327283240175,0.19911874184242936
next_close,cluster_stress,20,unlimited,symbol_order,0.01,864,102,0.10559006211180125,13.217055087371033,2.099438197146908,-2.1718159197019915,20.0,5.530199793830215,0.18899327283240175,0.19911874184242936
next_close,cluster_stress,20,unlimited,largest_drop,0.01,864,102,0.10559006211180125,13.160365129799768,2.0908798119519734,-2.1718159197019915,20.0,5.554615518644111,0.1952676435599776,0.20942548842105976
next_close,base,15,unlimited,largest_drop,0.01,790,176,0.18219461697722567,12.846291157354761,2.0433998262813002,-2.2701266192738823,15.0,5.862955957611771,0.1874808590255528,0.18925706961200495
next_close,base,20,2,symbol_order,0.01,781,185,0.1915113871635611,12.736613825391995,2.026793485318823,-2.283358406319258,18.0,5.809643615762573,0.18884747891519615,0.1693409786327305
next_close,base,20,2,largest_drop,0.01,781,185,0.1915113871635611,12.736613825391995,2.026793485318823,-2.283358406319258,18.0,5.809643615762573,0.18884747891519615,0.1693409786327305
next_close,base,20,2,liquidity_priority,0.01,781,185,0.1915113871635611,12.736613825391995,2.026793485318823,-2.283358406319258,18.0,5.809643615762573,0.18884747891519615,0.1693409786327305
next_close,base,unlimited,2,symbol_order,0.01,781,185,0.1915113871635611,12.736613825391995,2.026793485318823,-2.283358406319258,18.0,5.809643615762573,0.18884747891519615,0.1693409786327305
next_close,base,unlimited,2,largest_drop,0.01,781,185,0.1915113871635611,12.736613825391995,2.026793485318823,-2.283358406319258,18.0,5.809643615762573,0.18884747891519615,0.1693409786327305
next_close,base,unlimited,2,liquidity_priority,0.01,781,185,0.1915113871635611,12.736613825391995,2.026793485318823,-2.283358406319258,18.0,5.809643615762573,0.18884747891519615,0.1693409786327305
next_close,cluster_stress,unlimited,unlimited,symbol_order,0.005,966,0,0.0,12.602749912097666,2.006506794679286,-0.9964189224864972,20.5,8.897339573316724,0.29292226689263806,0.17411005538333524
