entry_mode,filter_name,event_threshold,min_simultaneous_drops,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,SOLUSDT,9,14.38949432310428,0.9929240244308903,-0.08019782792314065,0.08936316219878013,0.4444444444444444,3.966641136112905,0.7509557762040726,0.9495457045965906,-0.08167763103282366,5,4.276019830790094,-1.6335526206564734,2026-02,2026-01,SOLUSDT,SOLUSDT,0.6979089646899401,1.0,0.6,1.0,0.8333333333333334,3
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,ETHUSDT,6,18.55074508420774,1.8217250633275086,2.068011659690509,0.10930350379965051,0.6666666666666666,3.8449085500931526,1.1605729495656423,2.0406921670065086,-0.04947764148054847,2,3.9695286320049745,-2.4738820740274234,2025-10,2026-01,ETHUSDT,ETHUSDT,0.9169480958116497,1.0000000000000002,0.6666666666666666,1.0,0.6666666666666666,2
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,BNBUSDT,3,9.276190476190477,6.461756869393985,5.126913355073941,0.19385270608181954,1.0,5.809654308246581,1.9264642283553512,3.387545605916316,0.0,0,6.461756869393985,0.0,2025-10,2026-02,BNBUSDT,BNBUSDT,0.7355253141057508,0.9999999999999999,1.0,1.0,0.8333333333333334,2
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,BTCUSDT,1,365.25,5.082222378914718,5.082222378914718,0.05082222378914718,1.0,0.0,0.0,0.0,0.0,0,5.082222378914718,0.0,2026-02,2026-02,BTCUSDT,BTCUSDT,1.0,1.0,1.0,1.0,0.5,1
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,ADAUSDT,11,15.945429740791267,4.2328754534893855,1.153728054675156,0.4656162998838324,0.6363636363636364,12.448547145993333,1.1277508530823432,1.3577972847282536,-0.12763603628800865,3,8.536494920704397,-3.2984586141368877,2025-10,2025-06,ADAUSDT,ADAUSDT,0.7679842943905223,1.0,0.8333333333333334,1.0,1.0454545454545454,4
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,AVAXUSDT,12,17.395014262681382,0.1835378868910171,0.8440432026503509,0.022024546426922052,0.5833333333333334,8.108218665230158,0.07841351062034972,0.09440884173602748,-0.2975564417842151,3,4.922600035509485,-6.451149121174839,2026-02,2025-06,AVAXUSDT,AVAXUSDT,1.682699833426413,0.9999999999999981,0.6666666666666666,1.0,1.3333333333333333,5
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,LINKUSDT,13,18.8445987845715,2.5024390910826706,0.11168663591135013,0.3253170818407472,0.5384615384615384,10.577966398700383,0.8529685306745349,1.0269629606070163,-0.1464565605055525,3,7.444505110863293,-3.2633045986613882,2025-10,2025-06,LINKUSDT,LINKUSDT,0.8365728613495855,0.9999999999999998,0.7142857142857143,1.0,1.2692307692307692,5
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,LTCUSDT,7,10.147091653230806,1.882527662216149,1.1327252209405936,0.13177693635513044,0.7142857142857143,2.541708704085092,1.9595872738755,2.3593174612849706,-0.009831168300368481,2,2.832162093109978,-0.49155841501842373,2026-02,2026-01,LTCUSDT,LTCUSDT,0.4993461633732929,1.0,0.75,1.0,0.6428571428571429,2
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,XRPUSDT,9,13.046260697011038,4.345835571608581,2.141109721407646,0.3911252014447723,0.8888888888888888,7.644805875158493,1.7054071650387654,2.0532879329834297,-0.056694698979158534,1,5.597748755299136,-5.669469897915853,2025-10,2025-05,XRPUSDT,XRPUSDT,0.4836978749216643,1.0000000000000002,1.0,1.0,0.8333333333333334,3
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,SOLUSDT,9,14.38949432310428,0.929917799316732,0.07499373007374036,0.08369260193850588,0.5555555555555556,3.856034725432823,0.7234772497120234,0.9148004937253736,-0.04481596615221191,2,3.0842641819848993,-1.7630151790184772,2026-02,2026-01,SOLUSDT,SOLUSDT,0.6442635992569873,1.0,0.6,1.0,0.8333333333333334,3
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,ETHUSDT,6,18.55074508420774,1.4652725620192923,0.8750451096630798,0.08791635372115754,0.5,3.264344932984232,1.0995070020883795,1.9333169255498466,-0.02831525438023565,2,3.9751251433654704,-1.044580019326886,2026-02,2026-01,ETHUSDT,ETHUSDT,0.6988649570181144,1.0,0.6666666666666666,1.0,0.6666666666666666,2
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,BNBUSDT,3,9.276190476190477,6.322550114292759,6.227643462765369,0.18967650342878278,0.6666666666666666,6.777770898696519,1.615719710068915,2.8411242335441593,0.0,1,9.687459714748986,-0.4072690866196947,2025-10,2026-02,BNBUSDT,BNBUSDT,0.6716702727966702,1.0,1.0,1.0,0.8333333333333334,2
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,BTCUSDT,1,365.25,7.035189579526807,7.035189579526807,0.07035189579526807,1.0,0.0,0.0,0.0,0.0,0,7.035189579526807,0.0,2026-02,2026-02,BTCUSDT,BTCUSDT,1.0,1.0,1.0,1.0,0.5,1
next_close,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,ADAUSDT,11,15.945429740791267,4.3333329321038,0.9273689885198302,0.476666622531418,0.7272727272727273,11.130712741629733,1.2912056721872238,1.5545947501877184,-0.1014538691920562,2,7.385749002738046,-3.8064432562541857,2025-10,2026-01,ADAUSDT,ADAUSDT,0.7788067283308417,1.0,0.8333333333333334,1.0,1.0454545454545454,4
next_close,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,AVAXUSDT,12,17.395014262681382,0.5851568979987847,0.5825740594077611,0.07021882775985416,0.6666666666666666,6.419349500599125,0.31577077323448455,0.3801838831001253,-0.1436111469143197,2,3.6219372195945225,-5.488403745192691,2026-02,2025-06,AVAXUSDT,AVAXUSDT,1.2260817263701433,1.0,0.6666666666666666,1.0,1.0833333333333333,4
next_close,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,LINKUSDT,13,18.8445987845715,3.1637328584584874,1.4408084811404678,0.4112852715996034,0.6923076923076923,8.921609696885929,1.278581044295619,1.5393948632401055,-0.09748280905766069,2,6.112488245223816,-3.4709667617635,2025-10,2026-01,LINKUSDT,LINKUSDT,0.6368355356761247,1.0000000000000002,0.8571428571428571,1.0,1.0384615384615385,4
next_close,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,LTCUSDT,7,10.147091653230806,0.8569579271777759,0.19507182013961627,0.05998705490244432,0.5714285714285714,3.4528981731405146,0.6566360910943456,0.7905812698838877,-0.050574998553595506,2,2.8128192914358996,-1.7508572251663888,2026-02,2026-01,LTCUSDT,LTCUSDT,1.2643414807102376,1.0,0.75,1.0,0.6428571428571429,2
next_close,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,XRPUSDT,9,13.046260697011038,3.929120606383496,0.8841043372694781,0.35362085457451464,0.7777777777777778,7.215107883444174,1.633705553620041,1.966960130145691,-0.016258388098680604,1,5.335718318511911,-0.9939713860659595,2025-10,2025-05,XRPUSDT,XRPUSDT,0.671048760307538,1.0,1.0,1.0,0.8333333333333334,3
next_close,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,SOLUSDT,9,14.38949432310428,1.8591152986707327,0.7132907652039577,0.16732037688036594,0.5555555555555556,4.8366342009863175,1.1531461062064254,1.4580950924372915,-0.05299668313204485,3,4.548999353289008,-1.503239769602111,2026-02,2026-01,SOLUSDT,SOLUSDT,0.6754287551928072,1.0,0.8,1.0,0.8333333333333334,3
next_close,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,ETHUSDT,6,18.55074508420774,2.7995501869244794,1.9993642762097277,0.16797301121546876,0.8333333333333334,3.844990068537675,1.7834817112768957,3.1359831017638857,-0.01835293312030603,1,3.7265188867154957,-1.8352933120306039,2025-10,2026-01,ETHUSDT,ETHUSDT,0.6097338227717024,1.0,0.6666666666666666,1.0,0.6666666666666666,2
next_close,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,BNBUSDT,3,9.276190476190477,6.801872681272471,6.900850649410698,0.20405618043817414,1.0,6.024281229554708,1.9556173793449358,3.438809276987797,0.0,0,6.801872681272471,0.0,2025-10,2026-02,BNBUSDT,BNBUSDT,0.661816141290484,1.0,1.0,1.0,0.8333333333333334,2
next_close,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,BTCUSDT,1,365.25,6.9077043381831436,6.9077043381831436,0.06907704338183143,1.0,0.0,0.0,0.0,0.0,0,6.9077043381831436,0.0,2026-02,2026-02,BTCUSDT,BTCUSDT,1.0,1.0,1.0,1.0,0.5,1
