entry_mode,filter_name,event_threshold,min_simultaneous_drops,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions
next_close,drop3_breadth5,-0.03,5,pure_horizon_6,stress,6,8.0,10.0,2026-02,15,5478.75,5.0290952412681555,6.720770047523167,0.7543642861902233,0.8,4.468698547782473,4.3586744345482895,83.30087119794767,-0.03695793518706411,3,6.5943518448107294,-1.231931172902137,2026-02,2026-02,SOLUSDT,BNBUSDT,1.0,0.14488946335818215,1.0,1.0,3.3,9
next_open,drop3_breadth5,-0.03,5,pure_horizon_6,stress,6,8.0,10.0,2025-05,5,1826.25,1.9766992858507897,1.8465724042364955,0.09883496429253949,1.0,0.5053040606454954,8.747275785971972,167.17369111228234,0.0,0,1.9766992858507897,0.0,2025-05,2025-05,XRPUSDT,LTCUSDT,1.0,0.2550592841614459,1.0,1.0,2.5,5
next_open,drop3_breadth5,-0.03,5,pure_horizon_6,stress,6,8.0,10.0,2025-06,4,152.95092693565977,-0.7465602107681223,0.2902132652037749,-0.02986240843072489,0.5,2.6514650791390877,-0.5631303362369948,-3.482210211290774,-0.0024647673295666375,2,0.9454741824355063,-2.438594603971751,2025-06,2025-06,LINKUSDT,AVAXUSDT,,,0.0,0.5,1.25,3
next_open,drop3_breadth5,-0.03,5,pure_horizon_6,stress,6,8.0,10.0,2025-10,27,521.6132231404958,2.2615562213309524,1.41888126131811,0.6106201797593571,0.5555555555555556,12.631867694257679,0.930297175602793,4.0889718109327955,-0.6883625946254404,9,10.395057717654806,-7.905320649073866,2025-10,2025-10,ADAUSDT,AVAXUSDT,1.0000000000000004,0.3324309465744695,1.0,0.875,10.425925925925926,23
next_open,drop3_breadth5,-0.03,5,pure_horizon_6,stress,6,8.0,10.0,2025-11,4,1461.0,0.9066500991109051,0.860997582762706,0.0362660039644362,1.0,0.3530311105904205,5.136375078075099,98.16390859837732,0.0,0,0.9066500991109051,0.0,2025-11,2025-11,ADAUSDT,SOLUSDT,1.0,0.37998651782298515,1.0,1.0,2.0,4
next_open,drop3_breadth5,-0.03,5,pure_horizon_6,stress,6,8.0,10.0,2026-01,15,431.1147540983606,-0.12089131471169218,0.014846810711670735,-0.018133697206753827,0.5333333333333333,0.7551397127559588,-0.6200310229622589,-3.324024631042813,-0.049794331061080124,5,0.4254553956912089,-0.7452875551721505,2026-01,2026-01,XRPUSDT,ETHUSDT,,,0.0,0.42857142857142855,2.7,6
next_open,drop3_breadth5,-0.03,5,pure_horizon_6,stress,6,8.0,10.0,2026-02,15,5478.75,5.74807185481081,8.17686364829709,0.8622107782216215,0.8666666666666667,4.446959126681724,5.006159474889904,95.67529116393082,-0.0046455898195577145,1,6.69397304346485,-0.40028587144045985,2026-02,2026-02,XRPUSDT,BNBUSDT,1.0000000000000002,0.1487938956456992,1.0,1.0,3.3,9
next_close,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,2025-05,5,1826.25,0.6298954650718747,0.5336707729657575,0.03149477325359373,1.0,0.2355817767583532,5.9787692324958845,114.26333699318978,0.0,0,0.6298954650718747,0.0,2025-05,2025-05,XRPUSDT,LTCUSDT,1.0,0.3331733448501675,1.0,1.0,2.5,5
next_close,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,2025-06,4,152.95092693565977,-0.4913227823446698,-0.0558740169441246,-0.019652911293786792,0.5,1.754633217927508,-0.5600290446170827,-3.463032858106051,-0.004924928434531274,2,0.7329984772543647,-1.7156440419437042,2025-06,2025-06,SOLUSDT,AVAXUSDT,,,0.0,0.5,1.25,3
next_close,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,2025-10,27,521.6132231404958,5.205889694711844,2.8448755011240023,1.4055902175721977,0.7407407407407407,10.705001080930035,2.5269120614764398,11.106636093341075,-0.13204867712095522,2,8.696857572629476,-4.768304242195672,2025-10,2025-10,ADAUSDT,LTCUSDT,1.0,0.32332913546757625,1.0,1.0,12.537037037037036,26
next_close,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,2025-11,4,1461.0,1.5570264335360537,1.7740813631368944,0.06228105734144215,1.0,0.821124560593384,3.7924244585032794,72.47897636990352,0.0,0,1.5570264335360537,0.0,2025-11,2025-11,AVAXUSDT,SOLUSDT,1.0,0.36501171908003455,1.0,1.0,2.0,4
next_close,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,2026-01,15,431.1147540983606,-0.3869536539990459,-0.21052855268110285,-0.05804304809985688,0.3333333333333333,1.0727378111710162,-1.3970469224501814,-7.4896548865582,-0.08976893468537671,8,0.7150069443171848,-0.9379339531571612,2026-01,2026-01,XRPUSDT,SOLUSDT,,,0.0,0.2857142857142857,2.7,6
next_close,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,2026-02,15,5478.75,4.442911613497054,6.106551820163722,0.666436742024558,0.8,4.145853044096778,4.150490262129981,79.32215629448733,-0.03190731800926992,3,5.819533833615234,-1.063577266975664,2026-02,2026-02,XRPUSDT,AVAXUSDT,1.0,0.15637426529288348,1.0,1.0,3.3,9
