entry_mode,filter_name,event_threshold,min_simultaneous_drops,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions
next_open,drop3_breadth5,-0.03,5,pure_horizon_6,base,6,4.0,5.0,70,101.47091653230807,2.4109194945539763,1.109311731172882,1.6876436461877833,0.6857142857142857,8.320466200361261,2.424287197029259,2.918810094030097,-0.8786823300906101,9,5.636047122990719,-4.6257226038534665,2026-02,2025-06,ADAUSDT,AVAXUSDT,0.5274247001376667,0.2133957001876848,0.8333333333333334,0.8888888888888888,5.671428571428572,23
next_close,drop4_breadth4,-0.04,4,pure_horizon_6,stress,6,8.0,10.0,36,52.18504278804415,4.682114885664376,2.433590130654522,1.6855613588391753,0.8055555555555556,9.454365316183484,2.9713987533249506,3.5775252557622763,-0.31505975833528654,3,7.345267868311678,-6.350947471017306,2025-10,2026-01,ADAUSDT,AVAXUSDT,0.5742565076347118,0.272611794376089,1.0,1.0,6.833333333333333,20
next_close,drop4_breadth5,-0.04,5,pure_horizon_6,stress,6,8.0,10.0,36,52.18504278804415,4.682114885664376,2.433590130654522,1.6855613588391753,0.8055555555555556,9.454365316183484,2.9713987533249506,3.5775252557622763,-0.31505975833528654,3,7.345267868311678,-6.350947471017306,2025-10,2026-01,ADAUSDT,AVAXUSDT,0.5742565076347118,0.272611794376089,1.0,1.0,6.833333333333333,20
next_close,drop4_breadth4,-0.04,4,wide_stop_2atr_horizon_12,base,12,4.0,5.0,36,52.18504278804415,4.6408360380867135,1.594714395607035,1.670700973711217,0.6944444444444444,10.055600579648901,2.769105237222192,3.3339665068314064,-0.38555402109518383,10,8.275681681918774,-3.6201767888043364,2025-10,2025-11,ADAUSDT,BTCUSDT,0.6645676595890573,0.2785719440114936,1.0,1.0,5.555555555555555,12
next_close,drop4_breadth5,-0.04,5,wide_stop_2atr_horizon_12,base,12,4.0,5.0,36,52.18504278804415,4.6408360380867135,1.594714395607035,1.670700973711217,0.6944444444444444,10.055600579648901,2.769105237222192,3.3339665068314064,-0.38555402109518383,10,8.275681681918774,-3.6201767888043364,2025-10,2025-11,ADAUSDT,BTCUSDT,0.6645676595890573,0.2785719440114936,1.0,1.0,5.555555555555555,12
next_open,drop3_breadth4,-0.03,4,scaled_exit_6_12,stress,12,8.0,10.0,71,102.92050105419818,2.349225346190754,0.721291410539331,1.6679499957954351,0.6619718309859155,8.097984299173369,2.444426154292002,2.943057135310423,-0.7714503929467409,9,5.485276257123315,-3.7922076877188444,2025-10,2025-06,ADAUSDT,AVAXUSDT,0.5098605680422857,0.2414907339880983,0.7142857142857143,0.8888888888888888,6.401408450704225,26
next_open,drop4_breadth5,-0.04,5,pure_horizon_12,base,12,4.0,5.0,36,52.18504278804415,4.621876471096318,3.278169181057447,1.6638755295946746,0.75,10.901056605567012,2.543905589153253,3.0628290744508186,-0.6039473410080365,9,8.399343965195225,-6.710526011200406,2025-10,2025-11,ADAUSDT,AVAXUSDT,0.6072098824919521,0.28392538142286516,1.0,1.0,7.777777777777778,22
next_open,drop4_breadth4,-0.04,4,pure_horizon_12,base,12,4.0,5.0,36,52.18504278804415,4.621876471096318,3.278169181057447,1.6638755295946746,0.75,10.901056605567012,2.543905589153253,3.0628290744508186,-0.6039473410080365,9,8.399343965195225,-6.710526011200406,2025-10,2025-11,ADAUSDT,AVAXUSDT,0.6072098824919521,0.28392538142286516,1.0,1.0,7.777777777777778,22
next_open,drop3_breadth5,-0.03,5,scaled_exit_6_12,stress,12,8.0,10.0,70,101.47091653230807,2.371334980529003,0.6901692959713924,1.659934486370302,0.6571428571428571,8.154295538310077,2.433074909303261,2.929390384731718,-0.779465902371874,9,5.587096372658316,-3.7922076877188444,2025-10,2025-06,ADAUSDT,AVAXUSDT,0.512322588213686,0.24265684703066576,0.6666666666666666,0.8888888888888888,6.485714285714286,26
next_close,drop3_breadth4,-0.03,4,wide_stop_2atr_horizon_12,base,12,4.0,5.0,71,102.92050105419818,2.2895588961651283,0.3241529038026237,1.6255868162772409,0.5774647887323944,7.6773524565364335,2.5128670701018185,3.025459103260075,-0.42743745688059553,11,5.738933267823825,-2.4245860784350945,2025-10,2026-01,ADAUSDT,SOLUSDT,0.7415568809733373,0.2644184315132013,0.7142857142857143,1.0,4.809859154929577,15
next_close,drop3_breadth5,-0.03,5,wide_stop_2atr_horizon_12,base,12,4.0,5.0,70,101.47091653230807,2.317138637670662,0.2951079387679601,1.6219970463694633,0.5714285714285714,7.729241915401073,2.5082114071416926,3.0198537459166586,-0.431027226788373,11,5.873432174749977,-2.4245860784350945,2025-10,2026-01,ADAUSDT,SOLUSDT,0.7431980791383905,0.26500363685043204,0.6666666666666666,1.0,4.871428571428571,15
next_close,drop4_breadth4,-0.04,4,wide_stop_2atr_horizon_12,stress,12,8.0,10.0,36,52.18504278804415,4.47141473673865,1.413090442376057,1.609709305225914,0.6666666666666666,10.032684792357523,2.674108573695918,3.2195917657778512,-0.39818165307191716,10,8.427523764540974,-3.4408033188660037,2025-10,2025-11,ADAUSDT,BTCUSDT,0.6675537597088602,0.28162919734847025,1.0,1.0,5.555555555555555,12
next_close,drop4_breadth5,-0.04,5,wide_stop_2atr_horizon_12,stress,12,8.0,10.0,36,52.18504278804415,4.47141473673865,1.413090442376057,1.609709305225914,0.6666666666666666,10.032684792357523,2.674108573695918,3.2195917657778512,-0.39818165307191716,10,8.427523764540974,-3.4408033188660037,2025-10,2025-11,ADAUSDT,BTCUSDT,0.6675537597088602,0.28162919734847025,1.0,1.0,5.555555555555555,12
