friction_case,entry_mode,month,trades,total_r,ev_r
base,next_close,2025-09,150,-35.854387486407255,-0.2390292499093817
base,next_close,2025-10,146,-31.52661201928418,-0.2159356987622204
base,next_close,2025-11,130,-47.83200800577221,-0.3679385231213247
base,next_close,2025-12,104,-47.48582927104304,-0.45659451222156766
base,next_close,2026-01,152,-36.24891836400202,-0.23847972607896067
base,next_close,2026-02,120,1.6320873137008407,0.013600727614173672
base,next_close,2026-03,136,-21.64154841626618,-0.15912903247254542
base,next_close,2026-04,131,-39.13051682122268,-0.29870623527650897
base,next_open,2023-01,98,-34.33750417096965,-0.3503826956221393
base,next_open,2023-02,125,-14.24029233138209,-0.11392233865105672
base,next_open,2023-03,146,-25.62540782368807,-0.17551649194306898
base,next_open,2023-04,124,-15.448526101600509,-0.12458488791613313
base,next_open,2023-05,110,-53.342760923915165,-0.4849341902174106
base,next_open,2023-06,111,-15.44812531986919,-0.1391723001790017
base,next_open,2023-07,88,-32.35436533165755,-0.3676632424051994
base,next_open,2023-08,93,-22.67094021610456,-0.24377355071080173
base,next_open,2023-09,89,-38.368040717624865,-0.4311015810969086
base,next_open,2023-10,104,-8.635398189456856,-0.08303267489862362
base,next_open,2023-11,135,-10.80278206368731,-0.08002060787916526
base,next_open,2023-12,154,-15.004284936141111,-0.09743042166325397
base,next_open,2024-01,159,-15.296943327264922,-0.09620719073751523
base,next_open,2024-02,160,-33.02254603365289,-0.20639091271033055
base,next_open,2024-03,138,-34.58260925063208,-0.25059861775820347
base,next_open,2024-04,133,-38.08759688087138,-0.2863729088787322
base,next_open,2024-05,135,-26.620533278193363,-0.1971891353940249
base,next_open,2024-06,118,-42.008960424693356,-0.35600813919231655
base,next_open,2024-07,167,-11.736573171236103,-0.07027888126488684
base,next_open,2024-08,129,35.601808108878615,0.27598300859595826
base,next_open,2024-09,157,-15.151447569463237,-0.09650603547428813
base,next_open,2024-10,152,-25.760374245380774,-0.1694761463511893
base,next_open,2024-11,169,-26.77690148437417,-0.1584432040495513
base,next_open,2024-12,160,-51.36114626946952,-0.3210071641841845
base,next_open,2025-01,165,-10.570399631472364,-0.06406302806952949
base,next_open,2025-02,142,-32.82124905560248,-0.23113555672959493
base,next_open,2025-03,146,1.022994173827807,0.0070068094097795
base,next_open,2025-04,120,-30.3160717326976,-0.25263393110581334
base,next_open,2025-05,176,-44.94733298594652,-0.25538257378378704
base,next_open,2025-06,117,7.392797801886711,0.06318630599903172
base,next_open,2025-07,171,-28.061878665411477,-0.16410455359889753
base,next_open,2025-08,169,-18.065961729873045,-0.10689918183356832
base,next_open,2025-09,152,-31.055450263002832,-0.20431217278291336
base,next_open,2025-10,144,-8.30286998440853,-0.05765881933617034
base,next_open,2025-11,135,-4.131810697027575,-0.03060600516316722
base,next_open,2025-12,105,-18.59815900063538,-0.17712532381557505
base,next_open,2026-01,156,-68.41236329537705,-0.43854079035498106
base,next_open,2026-02,122,6.337413131126046,0.051946009271524964
base,next_open,2026-03,135,-3.7647280320457144,-0.027886874311449737
base,next_open,2026-04,131,-34.12253537249873,-0.2604773692557155
stress,next_close,2023-01,95,-41.17433415103134,-0.4334140436950667
stress,next_close,2023-02,118,-44.10620667577396,-0.373781412506559
stress,next_close,2023-03,149,-46.87529776768221,-0.3145993138770618
stress,next_close,2023-04,122,-33.3976680645382,-0.27375137757818196
stress,next_close,2023-05,109,-62.34320950231956,-0.571956050479996
stress,next_close,2023-06,108,-23.7729417526558,-0.22011983104310925
stress,next_close,2023-07,88,-42.46492948880969,-0.4825560169182919
stress,next_close,2023-08,90,-37.89177554405771,-0.4210197282673079
stress,next_close,2023-09,88,-53.76617363568428,-0.6109792458600487
stress,next_close,2023-10,104,-40.11056586290459,-0.38567851791254415
stress,next_close,2023-11,132,-42.932409061214955,-0.3252455231910224
stress,next_close,2023-12,149,-35.30214756936885,-0.23692716489509294
stress,next_close,2024-01,159,-59.07400348170761,-0.3715346130925007
stress,next_close,2024-02,159,-24.63616286422625,-0.15494442052972485
stress,next_close,2024-03,134,-36.18313640789276,-0.27002340602905045
stress,next_close,2024-04,132,-40.49662841536285,-0.3067926395103246
stress,next_close,2024-05,130,-41.459024774920884,-0.3189155751916991
stress,next_close,2024-06,119,-45.79580815838679,-0.3848387240200571
stress,next_close,2024-07,167,-30.073257195775895,-0.18007938440584367
stress,next_close,2024-08,128,4.3152891646669875,0.03371319659896084
stress,next_close,2024-09,153,-33.45386744931248,-0.21865272842687897
stress,next_close,2024-10,151,-57.63199739650824,-0.38166885693051816
stress,next_close,2024-11,166,-55.18035509577057,-0.3324117776853649
stress,next_close,2024-12,159,-65.47187482939678,-0.41177279766916214
stress,next_close,2025-01,163,-23.24944396970887,-0.142634625581036
stress,next_close,2025-02,140,-50.8468683766517,-0.36319191697608355
stress,next_close,2025-03,143,-6.200462324433335,-0.04335987639463871
stress,next_close,2025-04,117,-46.886290943140196,-0.4007375294285487
stress,next_close,2025-05,172,-43.41227233739443,-0.25239693219415366
stress,next_close,2025-06,114,-19.28477322422277,-0.1691646774054629
stress,next_close,2025-07,167,-74.14801860235883,-0.44400011139137024
stress,next_close,2025-08,165,-36.90637702146188,-0.2236750122512841
stress,next_close,2025-09,150,-67.09227082494665,-0.44728180549964436
stress,next_close,2025-10,146,-53.66288198625442,-0.36755398620722207
stress,next_close,2025-11,130,-65.66401601154439,-0.5051078154734184
stress,next_close,2025-12,104,-65.97165854208612,-0.6343428705969819
stress,next_close,2026-01,152,-65.49783672800392,-0.43090682057897317
stress,next_close,2026-02,120,-13.502516885749232,-0.11252097404791027
stress,next_close,2026-03,136,-43.19178263043313,-0.3175866369884789
stress,next_close,2026-04,131,-67.26103364244534,-0.513443004904163
stress,next_open,2023-01,98,-50.675008341939325,-0.5170919218565238
stress,next_open,2023-02,125,-33.48058466276424,-0.2678446773021139
stress,next_open,2023-03,146,-45.25081564737611,-0.30993709347517884
stress,next_open,2023-04,124,-37.68432501231281,-0.3039058468734904
stress,next_open,2023-05,110,-79.18552184783042,-0.7198683804348219
stress,next_open,2023-06,111,-35.641653751478124,-0.32109597974304616
stress,next_open,2023-07,88,-51.708730663315116,-0.5875992120831263
stress,next_open,2023-08,93,-44.764846568657816,-0.4813424362221271
stress,next_open,2023-09,89,-60.23608143524987,-0.6768099037668525
stress,next_open,2023-10,104,-29.42850953810538,-0.2829664378663979
stress,next_open,2023-11,135,-29.10556412737463,-0.21559677131388616
stress,next_open,2023-12,154,-36.00856987228225,-0.23382188228754708
stress,next_open,2024-01,159,-38.88100241646581,-0.24453460639286673
stress,next_open,2024-02,160,-61.04509206730576,-0.381531825420661
stress,next_open,2024-03,138,-48.665218501264185,-0.352646510878726
stress,next_open,2024-04,133,-55.675193761742804,-0.4186104794116
stress,next_open,2024-05,135,-49.10462192337878,-0.3637379401731761
stress,next_open,2024-06,118,-67.3817259537948,-0.571031575879617
stress,next_open,2024-07,167,-36.49259281514009,-0.21851851985113827
stress,next_open,2024-08,129,17.703616217757176,0.13723733502137345
stress,next_open,2024-09,157,-40.80289513892649,-0.2598910518402961
stress,next_open,2024-10,152,-54.52074849076147,-0.35868913480764125
stress,next_open,2024-11,169,-45.35670062118505,-0.2683828439123376
stress,next_open,2024-12,160,-70.22229253893909,-0.4388893283683693
stress,next_open,2025-01,165,-33.640799262944704,-0.20388363189663455
stress,next_open,2025-02,142,-51.14249811120499,-0.3601584374028521
stress,next_open,2025-03,146,-16.954011652344313,-0.11612336748181036
stress,next_open,2025-04,120,-48.13214346539512,-0.4011011955449593
stress,next_open,2025-05,176,-71.394665971893,-0.40565151120393755
stress,next_open,2025-06,117,-13.214404396226543,-0.11294362731817559
stress,next_open,2025-07,171,-55.64190115332991,-0.3253912348147948
stress,next_open,2025-08,169,-42.13192345974623,-0.24930132224701912
stress,next_open,2025-09,152,-62.6109005260057,-0.4119138192500375
stress,next_open,2025-10,144,-30.105739968817087,-0.20906763867234088
stress,next_open,2025-11,135,-22.57676307783341,-0.16723528205802524
stress,next_open,2025-12,105,-37.196318001270875,-0.35425064763115116
stress,next_open,2026-01,156,-98.32472659075403,-0.6302867089150899
stress,next_open,2026-02,122,-9.377191627216499,-0.07686222645259426
stress,next_open,2026-03,135,-25.02945606409143,-0.18540337825252912
stress,next_open,2026-04,131,-62.245070744997435,-0.47515321179387354
