timeframe,event_type,direction,param_name,param_value,horizon,symbols_with_event,total_occurrences,avg_forward_return,median_of_symbol_medians,weighted_win_rate,mean_std_forward_return,best_symbol_avg_return,worst_symbol_avg_return
1h,funding_extreme,positive,funding_z_abs,1.5,1,7,1845,-0.00018064297813154072,-0.0001996918419880367,0.4856368563685637,0.006440963211855625,0.00016566875020590223,-0.0006308469204198012
15m,large_return_atr,down,return_atr_abs,1.5,1,9,6259,-0.00019594585438778597,0.000341183026243308,0.5436970762102572,0.011006270316873991,0.00021036716141139368,-0.00048164986238437833
1h,funding_extreme,positive,funding_z_abs,2.5,1,4,289,-0.00024035364264632673,-0.003245771587234325,0.4740484429065744,0.014213718951666706,0.002206120972529788,-0.00856692352070944
15m,combo_volume_return,down,ret_atr_and_vol_z,1.5_1.5,1,9,4046,-0.00026210931386672634,0.0003496442385914067,0.5422639644092931,0.013218088210197446,0.00017251519869331667,-0.0006730285202785315
15m,combo_volume_return,down,ret_atr_and_vol_z,1.5_2,1,9,3516,-0.00030046259889802946,0.0003770959124141937,0.5420932878270762,0.01393558367159632,0.0001934644485285588,-0.0005557816468275891
1h,large_return_pct,down,return_pct_abs,0.01,1,9,4651,-0.0003496313420837184,0.000381898033225081,0.518168135884756,0.011721178695993617,4.009627110296228e-06,-0.0008375386621519128
1h,large_return_atr,down,return_atr_abs,1.0,1,9,4468,-0.0005780010264762739,0.00034738304770720596,0.5201432408236347,0.010472449339263216,1.578428820863827e-05,-0.000912366449595991
15m,large_return_atr,down,return_atr_abs,2.0,1,9,2438,-0.000621170054472669,0.00037412526703295423,0.5258408531583265,0.016380231056108027,-0.00015935842902580852,-0.001263483166813602
1h,large_return_pct,down,return_pct_abs,0.02,1,9,892,-0.0007010149707489903,0.0004816665663194275,0.5213004484304933,0.016693322816561648,0.0015883888947285773,-0.0029189266428568442
15m,large_return_pct,down,return_pct_abs,0.02,1,9,367,-0.0007518797428197561,0.0006268544443981394,0.4904632152588556,0.03762726935568453,0.0018805912156383113,-0.002643265999624611
1h,combo_volume_return,down,ret_atr_and_vol_z,1_1.5,1,9,1896,-0.0010556951684756945,0.0003583011877433817,0.5142405063291139,0.013011731661516793,-0.00045832130950277945,-0.0014300503663211637
1h,large_return_atr,down,return_atr_abs,1.5,1,9,1650,-0.0011137362570126665,0.00035961708795628766,0.5254545454545455,0.01354034942928494,-0.0005191705587993437,-0.0020516214427066253
1h,combo_volume_return,down,ret_atr_and_vol_z,1_2,1,9,1491,-0.0013170738200835009,0.0,0.5010060362173038,0.012592878447604415,-0.0005133234777405068,-0.002355338003983577
1h,combo_volume_return,down,ret_atr_and_vol_z,1.5_1.5,1,9,1110,-0.0013251636255163493,0.000269411067406633,0.5234234234234234,0.014900151592067827,-0.0008434364881321025,-0.0024836711069298944
1h,combo_volume_return,down,ret_atr_and_vol_z,1.5_2,1,9,958,-0.0014263996626028366,0.00030788657930203023,0.511482254697286,0.013859626509035832,0.0001318624384577862,-0.003278022660710932
1h,large_return_atr,down,return_atr_abs,2.0,1,9,723,-0.0020446946602080233,0.0006715086209582166,0.5311203319502075,0.015019965712562644,-0.0002579962974350898,-0.004894675682875606
15m,large_return_pct,down,return_pct_abs,0.02,3,9,367,0.004915319566088314,0.0017284539277624411,0.5722070844686649,0.03513556507177867,0.010977947741388383,-0.00018784127162047915
1h,large_return_atr,up,return_atr_abs,2.0,3,9,712,0.0017447791832503534,-0.00022930520522812525,0.5070224719101124,0.01650456788626954,0.004562051089847051,-0.0001006804773181339
1h,combo_volume_return,up,ret_atr_and_vol_z,1.5_1.5,3,9,1013,0.0013660250578964978,-0.0003125651177329214,0.5162882527147088,0.016289827627571387,0.003291719365277115,-0.00018067403782698406
1h,large_return_atr,up,return_atr_abs,1.5,3,9,1628,0.0013315165729688538,0.00016184480114722621,0.5116707616707616,0.015480678994684305,0.0025358278156903864,-3.670542134986145e-05
1h,large_return_pct,up,return_pct_abs,0.02,3,9,830,0.0011924775002085757,6.991035360615072e-05,0.5084337349397591,0.01988957012103695,0.002828674138603989,-0.0019082319590288026
1h,combo_volume_return,up,ret_atr_and_vol_z,1.5_2,3,9,861,0.0011673506878727236,-0.00012204051745168254,0.5145180023228804,0.01641526569958356,0.004067731714341783,-0.000871167453748787
1h,combo_volume_return,up,ret_atr_and_vol_z,1_2,3,9,1307,0.00048414127064489565,-0.00033900891174853953,0.49808722264728383,0.017015549784585925,0.0024840091662169613,-0.0008926228099225051
15m,large_return_pct,down,return_pct_abs,0.01,3,9,3219,0.00047188709779688484,0.0006875112974042974,0.5302889095992545,0.016787519050614978,0.0019395812010874,-0.00020979455756643274
1h,combo_volume_return,up,ret_atr_and_vol_z,1_1.5,3,9,1674,0.00043554261314081777,-0.00013848554155404535,0.4958183990442055,0.017010962576745177,0.00251223391583347,-0.0008083933637198645
1h,volume_spike,all,volume_z,3.0,3,9,2516,0.0003606351275030568,0.00016591143891375726,0.5095389507154213,0.01762640078209349,0.001108576284305593,-0.0008142401638770772
1h,large_return_atr,up,return_atr_abs,1.0,3,9,4335,0.00035269678289205094,-0.0003629764065335994,0.4918108419838524,0.01469792362160747,0.0013135308034624299,-0.0007090890061406355
1h,volume_spike,all,volume_z,2.5,3,9,3475,0.00031261503041904204,0.0004216626581474703,0.5102158273381295,0.017638417062511957,0.0013667326864772154,-0.0003719991190327972
1h,large_return_pct,up,return_pct_abs,0.01,3,9,4553,0.000269516743171431,-0.00032607008190899123,0.49132440149352075,0.016807479423847797,0.0012227389775691078,-0.0011082066725371198
15m,large_return_pct,up,return_pct_abs,0.02,3,9,373,0.0002416665729727749,0.0001418761913188904,0.5227882037533512,0.016693211308926214,0.0024009394876037676,-0.0029955086995978103
15m,combo_volume_return,up,ret_atr_and_vol_z,1.5_2,3,9,3221,0.00021692419732633134,-0.0003422909878657565,0.47407637379695744,0.009210826632511963,0.0010048660082362436,-0.0007285718495601895
15m,combo_volume_return,up,ret_atr_and_vol_z,1_2,3,9,5325,0.0002123157365335524,-0.0004263194414493854,0.4676056338028169,0.008986414118405027,0.0008551199670665125,-0.00038194101626515297
15m,combo_volume_return,up,ret_atr_and_vol_z,1.5_1.5,3,9,3753,0.00020142773564743322,-0.0002496007213733109,0.47428723687716495,0.009030823775790932,0.0009503154649976554,-0.0005082230045052021
1h,funding_extreme,negative,funding_z_abs,2.5,3,9,1856,0.00019348904030119072,0.00022926394162681163,0.5123922413793104,0.014610492585437753,0.002278563630972955,-0.0017922270916687461
1h,large_return_pct,down,return_pct_abs,0.005,3,9,13052,0.0001758540743910173,0.0005901311136499165,0.5244406987434876,0.015339632808065514,0.0004222426987264792,8.349593331709943e-05
1h,volume_spike,all,volume_z,2.0,3,9,4835,0.00016554704598627264,9.70887252249586e-05,0.49989658738366083,0.017311211066967834,0.0011620990565334006,-0.0006840535318241033
15m,volume_spike,all,volume_z,2.5,3,9,15910,0.00016052578898353507,4.7133682908206964e-05,0.5009428032683847,0.010332408470010164,0.0006898321542038907,-7.923922099105928e-05
1h,large_return_pct,up,return_pct_abs,0.005,3,9,13150,0.00015433710975810825,-0.00019823099023108526,0.49133079847908745,0.014425271711387596,0.0006815350580932186,-0.0004939130599515114
15m,funding_extreme,negative,funding_z_abs,2.5,3,9,7448,0.00015085319002873466,0.00023764258555147855,0.5153061224489796,0.007768880012566591,0.0009213761708000095,-0.0004050589306541329
1h,funding_extreme,negative,funding_z_abs,1.5,3,9,6554,0.0001398418453022431,0.0005336911605495764,0.5112908147696064,0.012792930907667251,0.001637290624812005,-0.0009100004169823707
15m,volume_spike,all,volume_z,3.0,3,9,12054,0.0001382220714506479,1.188622505399195e-05,0.5014932802389248,0.010859949809961793,0.000411065375195768,-3.0263662658788862e-05
15m,large_return_atr,up,return_atr_abs,2.0,3,9,2570,0.00013758420025917678,-0.0003295306473816706,0.47003891050583657,0.009063465871467842,0.00085106615315665,-0.0002864758143306158
