timeframe,param_id,friction_case,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
4h,n100_atr14_m1.2_vz1.5_cl0.8_cs0.2,stress,100,14,1.2,1.5,0.8,0.2,150,-0.2747657766606502,-41.21486649909753,-45.30708939707104,0.6095493662478099,147,-0.344925495543787,-50.70404784493669,-51.757405711271126,0.5160099305429067,-0.07015971888313677,-3
4h,n50_atr14_m2_vz1_cl0.7_cs0.3,stress,50,14,2.0,1.0,0.7,0.3,236,-0.10223245646670479,-24.126859726142328,-32.68043723450161,0.840062036607972,231,-0.1741296287578906,-40.22394424307273,-55.07396276453292,0.7310566487413402,-0.0718971722911858,-5
4h,n20_atr14_m1.2_vz2_cl0.7_cs0.3,stress,20,14,1.2,2.0,0.7,0.3,407,-0.11435410235013173,-46.542119656503615,-57.83627245445534,0.8176050931863837,397,-0.18625667923187228,-73.9439016550533,-87.13200711000788,0.7067636953247127,-0.07190257688174055,-10
4h,n100_atr14_m1.2_vz1.5_cl0.7_cs0.3,stress,100,14,1.2,1.5,0.7,0.3,189,-0.06940901689060629,-13.118304192324588,-28.626582136367308,0.8854798028729498,184,-0.14302847962219606,-26.317240250484076,-35.26222238435864,0.7692517766445076,-0.07361946273158977,-5
4h,n20_atr14_m1.5_vz1_cl0.7_cs0.3,stress,20,14,1.5,1.0,0.7,0.3,511,-0.12223607716888782,-62.46263543330168,-80.12988140257829,0.807679411877682,501,-0.19686047423027092,-98.62709758936573,-116.43289496739642,0.6927854117815332,-0.0746243970613831,-10
4h,n20_atr14_m2_vz1_cl0.8_cs0.2,stress,20,14,2.0,1.0,0.8,0.2,298,-0.15195683591738948,-45.28313710338207,-58.47128378013222,0.7722693031869232,294,-0.22876020399756317,-67.25549997528357,-92.84067328079152,0.6606251278244696,-0.07680336808017368,-4
4h,n100_atr14_m2_vz1.5_cl0.8_cs0.2,stress,100,14,2.0,1.5,0.8,0.2,114,-0.24903313494283233,-28.389777383482887,-30.56715324738084,0.6330284856233694,113,-0.3267645301098431,-36.92439190241227,-39.90921626358964,0.5373304869944896,-0.07773139516701075,-1
4h,n20_atr14_m1.2_vz1.5_cl0.8_cs0.2,stress,20,14,1.2,1.5,0.8,0.2,371,-0.14909270140560404,-55.313392221479106,-70.39754049456451,0.7718911665134157,366,-0.22863918576712408,-83.68194199076741,-102.41946297536953,0.6542682448361657,-0.07954648436152004,-5
4h,n100_atr14_m1.5_vz1_cl0.7_cs0.3,stress,100,14,1.5,1.0,0.7,0.3,193,-0.009642030376978616,-1.8609118627568728,-24.501069723214737,0.98363662762826,188,-0.09014957829170978,-16.948120718841437,-34.86748359599642,0.8525485638917191,-0.08050754791473116,-5
4h,n20_atr14_m1.2_vz2_cl0.75_cs0.25,stress,20,14,1.2,2.0,0.75,0.25,368,-0.1061465715201951,-39.061938319431796,-55.259024116607065,0.8319303485975503,359,-0.18695115578681284,-67.11546492746581,-80.89671866228575,0.706064090572715,-0.08080458426661774,-9
4h,n20_atr14_m1.2_vz1.5_cl0.7_cs0.3,stress,20,14,1.2,1.5,0.7,0.3,473,-0.11603668908899684,-54.8853539390955,-69.9663560909519,0.8152235131212071,462,-0.19763917980908643,-91.30930107179793,-108.27423666875463,0.688934381752997,-0.0816024907200896,-11
4h,n20_atr14_m2_vz1.5_cl0.8_cs0.2,stress,20,14,2.0,1.5,0.8,0.2,273,-0.14506978095587358,-39.60405020095349,-50.86960467713705,0.7814507506222093,268,-0.22885362667745665,-61.332771949558385,-83.9238160975419,0.6620211733178663,-0.08378384572158307,-5
