timeframe,param_id,friction_case,entry_mode,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,taker_fee_bps_per_side,slippage_bps_per_side,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
1h,n20_atr14_m1.2_vz1_cl0.7_cs0.3,base,next_close,20,14,1.2,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-11,3,63.064748201438846,0.0,-1.1140397635453432,-3.3421192906360293,,,0.0,0.0,-1.1140397635453432
1h,n20_atr14_m1.2_vz1_cl0.7_cs0.3,base,next_close,20,14,1.2,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-12,3,44.124161073825505,0.3333333333333333,-0.15105142303809252,-0.45315426911427753,,,0.6856628679262148,0.9884643717528389,-0.7208093204335582
1h,n20_atr14_m1.2_vz1_cl0.7_cs0.3,base,next_close,20,14,1.2,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-01,2,103.12941176470588,0.0,-1.1720570105701054,-2.3441140211402107,,,0.0,0.0,-1.1720570105701054
1h,n20_atr14_m1.2_vz1_cl0.7_cs0.3,base,next_close,20,14,1.2,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-02,2,104.35714285714286,0.5,0.32353401390959324,0.6470680278191865,,,1.5041986538703078,1.9304273205348474,-1.283359292715661
1h,n20_atr14_m1.2_vz1_cl0.7_cs0.3,base,next_close,20,14,1.2,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-03,1,365.25,0.0,-1.1041599401708353,-1.1041599401708353,,,0.0,0.0,-1.1041599401708353
1h,n20_atr14_m1.2_vz1_cl0.7_cs0.3,base,next_close,20,14,1.2,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-04,10,144.65346534653466,0.4,-0.06730944575924626,-0.6730944575924626,,,0.8824679475900467,1.263451697529349,-0.9544835412849765
1h,n20_atr14_m1.2_vz1_cl0.7_cs0.3,base,next_close,20,14,1.2,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-05,2,730.5,0.0,-0.6307703066147745,-1.261540613229549,,,0.0,0.0,-0.6307703066147745
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-05,1,365.25,1.0,1.8905791350605505,1.8905791350605505,,,inf,1.8905791350605505,0.0
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-06,3,50.76833976833977,0.0,-1.169396544860238,-3.508189634580714,,,0.0,0.0,-1.169396544860238
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-07,3,1095.75,0.3333333333333333,-0.1318434904442196,-0.39553047133265884,,,0.8251026573702838,1.8659702775383868,-1.130750374435523
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-08,3,65.25558312655086,0.3333333333333333,0.04550376014778079,0.13651128044334238,,,1.0762991753437907,1.9256692867815046,-0.8945790031690811
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-09,4,76.3921568627451,0.25,-0.8434322349680936,-3.3737289398723744,,,0.004861595515230262,0.01648183349147099,-1.1300702577879485
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-10,2,66.66159695817491,0.5,0.6671428160898059,1.3342856321796117,,,3.4600986138749814,1.8766564236000154,-0.5423707914204037
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-11,1,365.25,0.0,-1.0966031127100349,-1.0966031127100349,,,0.0,0.0,-1.0966031127100349
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-12,2,73.9746835443038,0.0,-0.7208093204335582,-1.4416186408671163,,,0.0,0.0,-0.7208093204335582
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-01,2,103.12941176470588,0.0,-1.1720570105701054,-2.3441140211402107,,,0.0,0.0,-1.1720570105701054
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-02,1,365.25,0.0,-1.283359292715661,-1.283359292715661,,,0.0,0.0,-1.283359292715661
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-03,1,365.25,0.0,-1.1041599401708353,-1.1041599401708353,,,0.0,0.0,-1.1041599401708353
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-04,8,124.12035398230088,0.5,0.14878836698718884,1.1903069358975107,,,1.308090327633222,1.263451697529349,-0.9658749635549714
1h,n20_atr14_m1.2_vz2_cl0.75_cs0.25,base,next_close,20,14,1.2,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-06,2,182.625,0.0,-1.2140675742181009,-2.4281351484362017,,,0.0,0.0,-1.2140675742181009
1h,n20_atr14_m1.2_vz2_cl0.75_cs0.25,base,next_close,20,14,1.2,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-07,4,1461.0,0.25,-0.3744887399847764,-1.4979549599391055,,,0.5547002819056771,1.8659702775383868,-1.1213084124924975
1h,n20_atr14_m1.2_vz2_cl0.75_cs0.25,base,next_close,20,14,1.2,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-08,3,65.25558312655086,0.3333333333333333,-0.22883938166746778,-0.6865181450024034,,,0.6162898175731903,1.1026398613357589,-0.8945790031690811
