symbol,timeframe,param_id,friction_case,entry_mode,signal_time,entry_time,exit_time,side,raw_entry,entry,raw_exit,exit,stop,target,atr_at_signal,risk,room_structure,available_room_r,ema_200_at_signal,ema_200_slope_at_signal,ema_distance_atr_at_signal,gross_r,fee_r,net_r,exit_reason,taker_fee_bps_per_side,slippage_bps_per_side,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr
ADAUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-01-12 02:00:00+00:00,2026-01-12 03:00:00+00:00,2026-01-12 07:00:00+00:00,long,0.3974,0.39759869999999997,0.38999155714285716,0.38979656136428575,0.38999155714285716,0.41281298571428565,0.005071428571428556,0.007607142857142833,0.3972,2.0000000000000018,0.39221607062011826,6.058753755322499e-05,1.8700705819485177,-1.0256332478873182,0.04140294332056352,-1.0670361912078818,stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-01-12 02:00:00+00:00,2026-01-12 03:00:00+00:00,2026-01-12 08:00:00+00:00,long,3151.18,3152.7555899999998,3121.72809,3120.167225955,3121.72809,3214.8105899999996,20.684999999999913,31.02749999999987,3147.0,2.000000000000003,3113.509414578517,1.121377031668544,2.076895596880978,-1.0503058269277203,0.08086920075358991,-1.1311750276813102,stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LTCUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-02-16 05:00:00+00:00,2026-02-16 06:00:00+00:00,2026-02-16 13:00:00+00:00,short,54.09,54.06295500000001,54.82688357142858,54.85429701321429,54.82688357142858,52.535097857142866,0.5092857142857145,0.7639285714285717,54.16,2.0000000000000004,54.89195253977073,-0.020912448713453102,2.026274271639578,-1.0358848232819038,0.05703007118036464,-1.0929148944622684,stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
SOLUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-02-16 13:00:00+00:00,2026-02-16 14:00:00+00:00,2026-02-16 20:00:00+00:00,short,83.98,83.93801,85.35765285714287,85.40033168357144,85.35765285714287,81.0987242857143,0.9464285714285714,1.4196428571428572,84.4,1.9999999999999956,86.17469310568275,-0.09155560623200643,2.192128564494986,-1.0300630727044047,0.04771294155612579,-1.0777760142605304,stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-02-18 19:00:00+00:00,2026-02-18 20:00:00+00:00,2026-02-19 08:00:00+00:00,short,1.421,1.4202895000000002,1.4157,1.41640785,1.4422002142857144,1.3764680714285717,0.01460714285714285,0.021910714285714276,1.4261,1.9999999999999956,1.462746958998824,-0.0004055875238870854,2.77583093390483,0.17715762021191234,0.05178648788916058,0.12537113232275177,time_stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-03-10 14:00:00+00:00,2026-03-10 15:00:00+00:00,2026-03-10 18:00:00+00:00,long,0.2712,0.27133559999999995,0.26594631428571425,0.2658133411285714,0.26594631428571425,0.28211417142857137,0.0035928571428571316,0.005389285714285697,0.2683,2.000000000000004,0.2628850489867908,0.00010808406931600567,2.5091314947301884,-1.0246736143141133,0.03986791345685897,-1.0645415277709722,stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LTCUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-03-10 14:00:00+00:00,2026-03-10 15:00:00+00:00,2026-03-10 18:00:00+00:00,long,54.73,54.75736499999999,54.107007857142854,54.07995435321428,54.107007857142854,56.05807928571428,0.43357142857142755,0.6503571428571413,54.72,2.000000000000004,54.10224771811309,0.0060158191916599435,1.7246345875480678,-1.0415979192751188,0.0669400316724878,-1.1085379509476065,stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-03-19 12:00:00+00:00,2026-03-19 13:00:00+00:00,2026-03-20 01:00:00+00:00,short,2136.67,2135.601665,2149.76,2150.83488,2166.850950714286,2073.103093571429,20.8328571428571,31.24928571428565,2141.79,1.999999999999999,2177.6095248732213,-0.2904645014596099,2.2209879593536903,-0.48747402226335884,0.054867641893529114,-0.542341664156888,time_stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
SOLUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-03-19 12:00:00+00:00,2026-03-19 13:00:00+00:00,2026-03-20 01:00:00+00:00,short,88.45,88.405775,89.55863214285715,89.60341145892858,89.55863214285715,86.10006071428572,0.7685714285714279,1.152857142857142,88.51,2.0000000000000036,90.1307623317319,-0.053201540662598745,2.668278126788724,-1.0388420337670388,0.061762790840768335,-1.100604824607807,stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-04-06 09:00:00+00:00,2026-04-06 10:00:00+00:00,2026-04-06 17:00:00+00:00,long,1.3524,1.3530762,1.3379690571428573,1.3373000726142859,1.3379690571428573,1.3832904857142858,0.010071428571428573,0.01510714285714286,1.3486,2.0000000000000018,1.3286669239894806,0.0011173971101678948,2.3167593201934236,-1.0442826638297822,0.07123454906212764,-1.1155172128919097,stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-04-12 01:00:00+00:00,2026-04-12 02:00:00+00:00,2026-04-12 14:00:00+00:00,short,0.2443,0.24417785,0.2383,0.23841915,0.24805642142857143,0.23642070714285712,0.0025857142857142923,0.0038785714285714387,0.2463,2.0000000000000004,0.25066807212669245,-3.75513380438397e-05,2.6561604909860295,1.484747697974215,0.049770593001841494,1.4349771049723734,time_stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LTCUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-04-19 22:00:00+00:00,2026-04-19 23:00:00+00:00,2026-04-20 01:00:00+00:00,short,54.01,53.982995,54.49942357142857,54.526673283214286,54.49942357142857,52.95013785714286,0.3442857142857143,0.5164285714285715,54.45,1.9999999999999931,55.11874428582515,-0.027493504688919757,2.9590082990771993,-1.0527656936376175,0.0840462160976487,-1.1368119097352662,stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
AVAXUSDT,1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,2026-04-22 02:00:00+00:00,2026-04-22 03:00:00+00:00,2026-04-22 15:00:00+00:00,long,9.557,9.561778499999999,9.542,9.537229,9.412099928571427,9.86113564285714,0.09978571428571405,0.14967857142857108,9.532,1.9999999999999973,9.343154553148302,0.0010622484336479943,2.383562101591816,-0.16401479360533924,0.05104005821999535,-0.2150548518253346,time_stop,4.0,5.0,50,14,1.5,1.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
