timeframe,param_id,friction_case,entry_mode,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,taker_fee_bps_per_side,slippage_bps_per_side,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
1h,n100_atr14_m1.5_vz1.5_cl0.75_cs0.25,base,next_close,100,14,1.5,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,17,18.909021697754092,0.35294117647058826,-0.311307556914392,-5.292228467544664,-5.68306810226629,4,0.4756407828299229,0.8000875509232214,-0.9175230702803631
1h,n50_atr14_m1.5_vz2_cl0.7_cs0.3,base,next_close,50,14,1.5,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,35,37.18909090909091,0.3142857142857143,-0.3157186156327431,-11.050151547146008,-10.0700717786718,6,0.48064258800953225,0.9296756678888333,-0.8865243289134656
1h,n50_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,50,14,1.5,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,56,59.50254545454545,0.30357142857142855,-0.3161971748647297,-17.707041792424864,-17.69335679086772,10,0.49388083049364584,1.0164042538182239,-0.8970747207008889
1h,n50_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,50,14,1.2,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,46,48.8770909090909,0.30434782608695654,-0.3272756778674144,-15.054681181901064,-14.010543711650314,8,0.4730078377212928,0.9651786528398426,-0.8927244475518393
1h,n100_atr14_m2_vz1_cl0.7_cs0.3,base,next_close,100,14,2.0,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,14,16.063350785340315,0.2857142857142857,-0.3281858560296249,-4.594601984414749,-3.773059866241163,5,0.4419901744498168,0.9098266910518393,-0.8233908748622106
1h,n50_atr14_m1.2_vz2_cl0.8_cs0.2,base,next_close,50,14,1.2,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,27,28.68872727272727,0.3333333333333333,-0.32975902703436394,-8.903493729927826,-7.859356259677081,3,0.4398524076568417,0.7768236656033936,-0.8830503733532427
1h,n50_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,50,14,2.0,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,19,20.887133182844245,0.3157894736842105,-0.33275897847713215,-6.322420591065511,-5.611239933590116,5,0.45298343559731663,0.8725975247688568,-0.8890773645906656
1h,n50_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,50,14,2.0,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,22,24.18510158013544,0.3181818181818182,-0.33309976285470616,-7.328194782803536,-6.375392216360729,5,0.47651103853333054,0.9529374647979306,-0.9332504690926033
1h,n100_atr14_m2_vz1_cl0.75_cs0.25,base,next_close,100,14,2.0,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,13,14.915968586387434,0.3076923076923077,-0.33674029179519255,-4.377623793337503,-3.5560816751639175,5,0.4539526366212999,0.9098266910518393,-0.890770061949429
1h,n50_atr14_m2_vz1.5_cl0.8_cs0.2,base,next_close,50,14,2.0,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,22,24.18510158013544,0.3181818181818182,-0.3377333326058882,-7.430133317329541,-7.834864966237133,6,0.46086690029095184,0.9073567792851611,-0.9187753848217113
1h,n50_atr14_m1.5_vz1.5_cl0.75_cs0.25,base,next_close,50,14,1.5,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,42,44.62690909090909,0.30952380952380953,-0.33796242847049945,-14.194421995760976,-13.15028452551023,7,0.4497915725502428,0.892603193261716,-0.8895952933849408
1h,n100_atr14_m1.2_vz1.5_cl0.7_cs0.3,base,next_close,100,14,1.2,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,21,23.35820327369623,0.3333333333333333,-0.3387810380908425,-7.114401799907692,-7.505241434629318,4,0.407412558797817,0.6987508003245667,-0.857546957298547
1h,n50_atr14_m1.2_vz2_cl0.7_cs0.3,base,next_close,50,14,1.2,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,37,39.314181818181815,0.2972972972972973,-0.3443767606291956,-12.741940143280237,-11.697802673029493,7,0.44523974657777804,0.9296756678888333,-0.8833989419252847
