event_definition,dislocation_definition,entry_mode,exit_model,friction_case,symbol,total_trades,trades_year,avg_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,profit_factor,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate
breadth_down_1pct_ge_6,rel_btc_le_1%,next_open,scaled_exit_6_12,base,ETHUSDT,40,6.311015118790497,-0.08003154510073322,0.10659571497760265,0.55,-0.03201261804029329,-0.10530401527685732,-0.2722635961235089,0.8909657507485392,,,0.6363636363636364,0.0
breadth_down_1pct_ge_6,symbol_zscore_le_-1,next_open,scaled_exit_6_12,base,ETHUSDT,194,30.60842332613391,-0.09126709204319278,0.05953697572479385,0.5257731958762887,-0.17705815856379398,-0.3564117011207141,-0.6945791987645562,0.8737941682624203,,,0.5,0.0
breadth_down_1pct_ge_6,symbol_zscore_le_-2,next_open,scaled_exit_6_12,base,ETHUSDT,175,27.610691144708422,-0.10092533885107245,0.05426198230812592,0.52,-0.17661934298937682,-0.36616375544264823,-0.7360928240089025,0.8589303920991065,,,0.4166666666666667,0.0
breadth_down_2pct_ge_4,rel_btc_le_1%,next_open,scaled_exit_6_12,base,ETHUSDT,19,2.997732181425486,0.007040685938257535,0.16118653410887257,0.5789473684210527,0.0013377303282689317,-0.062308648315961265,0.017424157501980606,1.0099400974521469,31.904093778701654,1.0,0.5714285714285714,1.0
breadth_down_2pct_ge_4,symbol_zscore_le_-1,next_open,scaled_exit_6_12,base,ETHUSDT,42,6.626565874730022,0.3801508207105303,0.23545547267021186,0.5714285714285714,0.15966334469842272,-0.08865523624324367,1.076971461394519,1.5877344931871398,0.65345804843503,1.0,0.6666666666666666,1.0
breadth_down_2pct_ge_4,symbol_zscore_le_-2,next_open,scaled_exit_6_12,base,ETHUSDT,38,5.995464362850972,0.32358991074234345,0.1752586982410565,0.5526315789473685,0.12296416608209051,-0.09031318400511554,0.8709012314807997,1.480087906075542,0.9121834582795334,1.0,0.5833333333333334,1.0
breadth_down_2pct_ge_5,rel_btc_le_1%,next_open,scaled_exit_6_12,base,ETHUSDT,18,2.8399568034557237,-0.10453427452640333,0.13986067087407525,0.5555555555555556,-0.0188161694147526,-0.062308648315961265,-0.2546036403783045,0.8601851556279098,,,0.5714285714285714,0.0
breadth_down_2pct_ge_5,symbol_zscore_le_-1,next_open,scaled_exit_6_12,base,ETHUSDT,37,5.8376889848812095,0.31566331114687657,0.16118653410887257,0.5405405405405406,0.11679542512434432,-0.10880913598626522,0.796424543816285,1.4412572330294224,0.788111756556389,1.0,0.7,1.0
breadth_down_2pct_ge_5,symbol_zscore_le_-2,next_open,scaled_exit_6_12,base,ETHUSDT,33,5.20658747300216,0.2427158985091276,0.1185348076392779,0.5151515151515151,0.0800962465080121,-0.11046708374813713,0.5745521020321871,1.3214685716759749,1.2470051049206847,1.0,0.6,1.0
basket_return_le_1%,rel_btc_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,87,13.726457883369331,-0.07276603871601843,0.05426198230812592,0.5287356321839081,-0.06330645368293604,-0.2121377773752036,-0.410586964184116,0.8887718205804308,,,0.5833333333333334,0.0
breadth_down_1pct_ge_4,rel_btc_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,105,16.566414686825055,-0.2123732463539844,0.010749595883288238,0.5047619047619047,-0.22299190867168364,-0.31387575032595016,-1.3312779948143942,0.701167073941707,,,0.3333333333333333,0.0
breadth_down_1pct_ge_5,rel_btc_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,87,13.726457883369331,-0.07276603871601843,0.05426198230812592,0.5287356321839081,-0.06330645368293604,-0.2121377773752036,-0.410586964184116,0.8887718205804308,,,0.5833333333333334,0.0
breadth_down_1pct_ge_6,rel_btc_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,75,11.833153347732182,-0.11702799194530802,0.05426198230812592,0.52,-0.08777099395898103,-0.234770799751369,-0.6340867599598773,0.8195655972910951,,,0.5,0.0
basket_return_le_2%,rel_btc_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,23,3.6288336933045358,0.2760423850649673,0.28158008296718334,0.6521739130434783,0.06348974856494248,-0.03581300623282004,0.7549724584732854,1.5008149394932215,0.6722199222453914,1.0,0.7777777777777778,1.0
breadth_down_2pct_ge_4,rel_btc_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,27,4.259935205183585,0.3484156228084344,0.5763517081273117,0.6666666666666666,0.0940722181582773,-0.03398171193385824,1.0856739290685666,1.703375262025599,0.45368414479073066,1.0,0.7272727272727273,1.0
breadth_down_2pct_ge_5,rel_btc_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,23,3.6288336933045358,0.2760423850649673,0.28158008296718334,0.6521739130434783,0.06348974856494248,-0.03581300623282004,0.7549724584732854,1.5008149394932215,0.6722199222453914,1.0,0.7777777777777778,1.0
breadth_down_2pct_ge_6,rel_btc_le_1%,next_open,scaled_exit_6_12,base,ETHUSDT,12,1.8933045356371492,0.2619682804023694,0.13986067087407525,0.5833333333333334,0.03143619364828433,-0.062308648315961265,0.5126091423271052,1.4610320112583797,2.00899519320842,1.0,0.4,1.0
breadth_down_2pct_ge_6,symbol_zscore_le_-1,next_open,scaled_exit_6_12,base,ETHUSDT,25,3.9443844492440605,0.5664261461091945,0.1185348076392779,0.52,0.14160653652729863,-0.07569566263347793,1.1381327864067474,1.9660156871193013,0.7402623649114182,1.0,0.5555555555555556,1.0
breadth_down_2pct_ge_6,symbol_zscore_le_-2,next_open,scaled_exit_6_12,base,ETHUSDT,24,3.7866090712742984,0.6547377636651218,0.13986067087407525,0.5416666666666666,0.15713706327962923,-0.07569566263347793,1.2822074005161805,2.198991367507807,0.7659333441580645,1.0,0.5555555555555556,1.0
breadth_down_2pct_ge_6,rel_btc_le_-1_atr_equiv,next_open,scaled_exit_6_12,base,ETHUSDT,16,2.524406047516199,0.6273870221138343,0.3828412852502761,0.6875,0.1003819235382135,-0.028341781593318377,1.6379742000487065,3.056083552000303,0.6291487521468969,1.0,0.8333333333333334,1.0
basket_return_le_1%,bottom_3_performer,next_open,scaled_exit_6_12,base,ETHUSDT,101,15.935313174946005,-0.10920749748093128,0.09465662231592739,0.5346534653465347,-0.1102995724557406,-0.16735846730003298,-0.6000677339582178,0.8561420931446793,,,0.5,0.0
breadth_down_1pct_ge_4,bottom_3_performer,next_open,scaled_exit_6_12,base,ETHUSDT,126,19.879697624190065,-0.2840801774282289,-0.0014878575119147554,0.5,-0.3579410235595684,-0.417223211600633,-1.734642040828641,0.6682867626961112,,,0.25,0.0
breadth_down_1pct_ge_5,bottom_3_performer,next_open,scaled_exit_6_12,base,ETHUSDT,101,15.935313174946005,-0.10920749748093128,0.09465662231592739,0.5346534653465347,-0.1102995724557406,-0.16735846730003298,-0.6000677339582178,0.8561420931446793,,,0.5,0.0
basket_return_le_1%,bottom_1_performer,next_open,scaled_exit_6_12,base,ETHUSDT,35,5.522138228941685,0.16028181480351467,0.28158008296718334,0.5428571428571428,0.056098635181230136,-0.0826745230035669,0.4640015090431988,1.2306298484041884,1.3091870385557502,1.0,0.5,1.0
