event_definition,dislocation_definition,exit_model,friction_case,total_trades_next_open,avg_return_pct_next_open,median_return_pct_next_open,cumulative_return_units_next_open,total_trades_next_close,avg_return_pct_next_close,median_return_pct_next_close,cumulative_return_units_next_close,avg_return_delta_close_minus_open_pct,cum_return_delta_close_minus_open
basket_return_le_1%,symbol_zscore_le_-1,fixed_horizon_12,stress,2014,-0.24404070839279796,-0.08719347967033983,-4.914979867030951,2014,-0.26703285974301644,-0.17288191836709696,-5.378041795224351,-0.02299215135021848,-0.4630619281934001
basket_return_le_1%,symbol_zscore_le_-1,fixed_horizon_6,base,2014,-0.06201744172133865,0.061621487793952566,-1.2490312762677604,2014,-0.08587551868812991,-0.05708991412347368,-1.7295329463789364,-0.023858076966791264,-0.48050167011117595
basket_return_le_1%,symbol_zscore_le_-1,fixed_horizon_6,stress,2014,-0.2419854902393828,-0.11847013792679148,-4.8735877734211694,2014,-0.26581972104036694,-0.2370628877090562,-5.35360918175299,-0.023834230800984152,-0.4800214083318206
basket_return_le_1%,symbol_zscore_le_-1,scaled_exit_6_12,base,2014,-0.06304607892169876,0.08066459327387651,-1.2697480294830132,2014,-0.08648269491254604,-0.07072836705294454,-1.7417614755386772,-0.023436615990847273,-0.472013446055664
basket_return_le_1%,symbol_zscore_le_-1,scaled_exit_6_12,stress,2014,-0.24301309931609033,-0.09944606604506231,-4.894283820226059,2014,-0.26642629039169163,-0.25068770899459397,-5.365825488488669,-0.023413191075601303,-0.4715416682626099
basket_return_le_1%,symbol_zscore_le_-2,fixed_horizon_12,base,1717,-0.1137906974893663,0.05229986687055551,-1.9537862758924192,1717,-0.11266770163357567,-0.01894594516148367,-1.9345044370484943,0.0011229958557906206,0.01928183884392487
basket_return_le_1%,symbol_zscore_le_-2,fixed_horizon_12,stress,1717,-0.2937069985994726,-0.1277824418830907,-5.042949165952944,1717,-0.292585125178881,-0.19895704367260497,-5.023686599321387,0.001121873420591557,0.01926256663155712
basket_return_le_1%,symbol_zscore_le_-2,fixed_horizon_6,base,1717,-0.09134477596872174,0.048654208364942234,-1.5683898033829522,1717,-0.09128672201680843,-0.0823983872331379,-1.5673930170286008,5.805395191331442e-05,0.0009967863543514088
basket_return_le_1%,symbol_zscore_le_-2,fixed_horizon_6,stress,1717,-0.27128351179420845,-0.1314244565503174,-4.657937897506558,1717,-0.27122551586726346,-0.2623460649808627,-4.656942107440914,5.799592694499811e-05,0.0009957900656445418
basket_return_le_1%,symbol_zscore_le_-2,scaled_exit_6_12,base,1717,-0.10256773672904405,0.07325438994489017,-1.7610880396376862,1717,-0.10197721182519205,-0.08247206307892323,-1.7509487270385478,0.0005905249038520022,0.010139312599138472
basket_return_le_1%,symbol_zscore_le_-2,scaled_exit_6_12,stress,1717,-0.2824952551968405,-0.10684886287029668,-4.850443531729751,1717,-0.2819053205230722,-0.262419667187581,-4.84031435338115,0.0005899346737682776,0.010129178348600831
basket_return_le_2%,bottom_1_performer,fixed_horizon_12,base,38,1.656006334999828,0.922004718127958,0.6292824072999347,38,2.00118831998006,0.32332294995586436,0.7604515615924229,0.3451819849802322,0.1311691542924882
basket_return_le_2%,bottom_1_performer,fixed_horizon_12,stress,38,1.474321120429507,0.7410531387237286,0.5602420257632127,38,1.819158095757081,0.1429697534275733,0.6912800763876907,0.34483697532757396,0.13103805062447804
basket_return_le_2%,bottom_1_performer,fixed_horizon_6,base,38,1.1764487603102298,0.48010050391674947,0.4470505289178873,38,1.5194378974665552,0.3357981581004111,0.577386401037291,0.3429891371563254,0.13033587211940367
basket_return_le_2%,bottom_1_performer,fixed_horizon_6,stress,38,0.9952428638951781,0.2995906081057977,0.3781922882801677,38,1.337889183151887,0.15543249259223807,0.5083978895977171,0.34264631925670896,0.13020560131754944
basket_return_le_2%,bottom_1_performer,scaled_exit_6_12,base,38,1.416227547655029,0.6662228983733748,0.538166468108911,38,1.760313108723308,0.47836405466732074,0.668918981314857,0.3440855610682789,0.13075251320594605
basket_return_le_2%,bottom_1_performer,scaled_exit_6_12,stress,38,1.234781992162343,0.4855269730896689,0.4692171570216903,38,1.5785236394544842,0.2978558944386774,0.599838982992704,0.3437416472921411,0.13062182597101368
basket_return_le_2%,bottom_2_performer,fixed_horizon_12,base,76,1.3511431931668394,0.6723206145487626,1.026868826806798,76,1.4682880629500508,0.2635743664011226,1.1158989278420386,0.11714486978321137,0.08903010103524056
basket_return_le_2%,bottom_2_performer,fixed_horizon_12,stress,76,1.169762689535237,0.49161859459318397,0.8890196440467802,76,1.2867904729333157,0.08328088862687336,0.9779607594293199,0.11702778339807862,0.08894111538253968
basket_return_le_2%,bottom_2_performer,fixed_horizon_6,base,76,0.9094472248095629,0.4303330830680597,0.6911798908552678,76,1.0271694064264203,0.33051639441448405,0.7806487488840794,0.11772218161685744,0.08946885802881166
basket_return_le_2%,bottom_2_performer,fixed_horizon_6,stress,76,0.7285081966293281,0.24987292983153403,0.5536662294382894,76,0.8461127148374414,0.1501560080330579,0.6430456632764554,0.11760451820811335,0.08937943383816604
basket_return_le_2%,bottom_2_performer,scaled_exit_6_12,base,76,1.130295208988201,0.4961757111467536,0.8590243588310328,76,1.2477287346882355,0.3644516319184688,0.9482738383630589,0.11743352570003451,0.08924947953202611
basket_return_le_2%,bottom_2_performer,scaled_exit_6_12,stress,76,0.9491354430822827,0.3156497481541166,0.7213429367425349,76,1.0664515938853785,0.1840573272417258,0.8105032113528876,0.11731615080309576,0.0891602746103527
basket_return_le_2%,bottom_3_performer,fixed_horizon_12,base,114,1.1012816503032237,0.6723206145487626,1.255461081345675,114,1.3970887118013853,0.24264489120671365,1.5926811314535791,0.2958070614981616,0.3372200501079041
basket_return_le_2%,bottom_3_performer,fixed_horizon_12,stress,114,0.9201508834709542,0.49161859459318397,1.0489720071568878,114,1.2156622855894785,0.062372332458598,1.3858550055720054,0.29551140211852434,0.3368829984151176
