event_definition,dislocation_definition,occurrences,symbols,first_signal,last_signal,avg_event_return_pct,avg_rel_to_btc_pct,avg_rel_to_basket_pct,avg_forward_1_pct,median_forward_1_pct,win_rate_forward_1,avg_forward_3_pct,median_forward_3_pct,win_rate_forward_3,avg_forward_6_pct,median_forward_6_pct,win_rate_forward_6,avg_forward_12_pct,median_forward_12_pct,win_rate_forward_12
basket_return_le_3%,symbol_zscore_le_-1,64,8,2025-05-21T17:15:00+00:00,2026-02-06T00:00:00+00:00,-5.964409859190971,-3.8448120819056157,-0.17506514594086003,-0.5711528325525121,0.41124688353597616,0.609375,1.596508978163053,0.658687266936675,0.765625,1.0960279374178914,0.48835260982919015,0.671875,2.2425738728176334,1.422284145319186,0.6875
basket_return_le_3%,symbol_zscore_le_-2,64,8,2025-05-21T17:15:00+00:00,2026-02-06T00:00:00+00:00,-5.964409859190971,-3.8448120819056157,-0.17506514594086003,-0.5711528325525121,0.41124688353597616,0.609375,1.596508978163053,0.658687266936675,0.765625,1.0960279374178914,0.48835260982919015,0.671875,2.2425738728176334,1.422284145319186,0.6875
basket_return_le_3%,rel_btc_le_-1_atr_equiv,47,8,2025-05-21T17:15:00+00:00,2026-02-06T00:00:00+00:00,-6.926250668900015,-4.975791236831716,-0.8051782659999679,-0.9566752406589083,0.03992972368629388,0.5106382978723404,1.4707718867242667,0.6082400994494863,0.723404255319149,0.8273083889209745,0.5078419998467698,0.7021276595744681,2.2958332293085566,1.5942254764501174,0.7021276595744681
basket_return_le_1%,rel_basket_le_1%,49,8,2025-05-30T00:45:00+00:00,2026-02-06T00:00:00+00:00,-5.563399407256134,-4.345851049887927,-2.241884237112628,0.48711487416831245,-0.05813953488371659,0.46938775510204084,1.910112380527355,0.7392608072646301,0.7142857142857143,2.371891856764617,0.7786741494212546,0.6122448979591837,2.9868908326020978,1.034261289393834,0.6122448979591837
basket_return_le_1%,rel_btc_le_3%,27,7,2025-05-30T00:45:00+00:00,2026-02-06T00:00:00+00:00,-9.572749066862505,-7.664748602169882,-2.130015697784192,-1.0960245986462145,-0.9937709285997243,0.48148148148148145,3.7137208934633272,2.3128071697022357,0.6666666666666666,3.5232197438243706,2.703093379589494,0.7037037037037037,4.967940668385415,3.2053801476047195,0.6666666666666666
basket_return_le_1%,rel_basket_le_-1_atr_equiv,80,8,2025-05-11T07:30:00+00:00,2026-04-29T18:00:00+00:00,-3.949562442843694,-2.8491494479121147,-1.4108849950521094,0.17849343954930638,-0.2729060575590192,0.3375,0.26548261576095844,0.10682107646587946,0.5375,0.25142614484141207,-0.05102125465512586,0.4875,0.6863797755533914,-0.21138209191553514,0.4875
basket_return_le_2%,rel_basket_le_1%,21,7,2025-05-30T00:45:00+00:00,2026-02-06T00:00:00+00:00,-9.409429302947563,-7.410694052717617,-3.398596243007094,1.9410768626708457,0.826304011017398,0.6190476190476191,4.40944324264574,1.7808618012422395,0.8571428571428571,4.687870310678147,2.703093379589494,0.7142857142857143,6.687046784357059,3.9357166284027523,0.8095238095238095
basket_return_le_2%,rel_btc_le_3%,24,7,2025-05-30T00:45:00+00:00,2026-02-06T00:00:00+00:00,-10.341024959421063,-8.183873502271931,-2.127493011566899,-0.8461429793786862,0.7757799918568176,0.5416666666666666,4.028105042897166,3.060511612673733,0.6666666666666666,3.370388406093498,2.285802745158072,0.6666666666666666,5.271587251179131,3.570548388003736,0.6666666666666666
basket_return_le_2%,rel_basket_le_-1_atr_equiv,26,7,2025-05-30T00:45:00+00:00,2026-03-21T23:45:00+00:00,-7.552096342043265,-5.83937285529222,-2.5137518833578745,1.3672575738039705,-0.22143653308430156,0.34615384615384615,1.964266099901783,0.306095042782617,0.6923076923076923,1.570012862643183,0.2645044561902399,0.5769230769230769,3.0340787750685028,0.7266873361259862,0.6538461538461539
basket_return_le_3%,rel_basket_le_1%,11,6,2025-05-30T00:45:00+00:00,2026-02-06T00:00:00+00:00,-14.150518479505914,-11.587085392751145,-4.985269827428926,2.8970279545450213,0.7252559726962371,0.5454545454545454,6.758393167104791,4.315352697095443,0.7272727272727273,6.866065578858,7.401877133105805,0.7272727272727273,9.563527811148424,5.463347164591981,0.7272727272727273
basket_return_le_3%,rel_btc_le_2%,35,7,2025-05-30T00:45:00+00:00,2026-02-06T00:00:00+00:00,-8.428341932322255,-6.269597097607919,-1.3193284709421902,-0.9165598648190147,0.6234507624126806,0.5714285714285714,2.6023582628712556,1.237830319888733,0.7142857142857143,2.102098798645678,1.4011489421325463,0.7142857142857143,3.592354487282476,1.9226614819615406,0.7142857142857143
basket_return_le_3%,rel_btc_le_3%,21,7,2025-05-30T00:45:00+00:00,2026-02-06T00:00:00+00:00,-11.116621072008837,-8.816011432229924,-2.068872136729101,-1.2584877781446009,-1.6597510373444035,0.47619047619047616,3.9414215931739647,2.3128071697022357,0.6190476190476191,3.04595568403143,1.6481223922114152,0.6190476190476191,5.135244681770977,2.4573576178086087,0.6190476190476191
